Event Day,ShipType,CommodityType,Constraint
0,CONT-SS,GEN-RESUPPLY,true
0,CONT-SS,GEN-AMMO,true
0,CONT-SS,GEN-POL,true
0,FSS,AF-AIRCRAFT,true
0,FSS,AF-SUPPORT,true
0,FSS,AF-PREPO,true
0,FSS,MARINE-PREPO,true
0,FSS,ARMY-PREPO,true
0,FSS,AIRBORNE,true
0,FSS,ARMOR,true
0,FSS,MECH-INFANTR,true
0,FSS,AIRMOBILE,true
0,FSS,CBAC,true
0,FSS,INFANTRY,true
0,FSS,ARMOR-CAV,true
0,FSS,AMPH-MARINES,true
0,FSS,MARINES,true
0,FSS,CS-ENGINEER,true
0,FSS,CS-ARTILLERY,true
0,FSS,CS-OTHER,true
0,FSS,CSS-ENGINEER,true
0,FSS,CSS-MEDICAL,true
0,FSS,CSS-SIGNAL,true
0,FSS,CSS-SUPPLY,true
0,FSS,CSS-TRANSPOR,true
0,FSS,CSS-OTHER,true
0,FSS,NAVY-UE,true
0,FSS,RESUPPLY,true
0,FSS,AMMUNITION,true
0,FSS,POL,true
0,FSS,GEN-RESUPPLY,true
0,FSS,GEN-AMMO,true
0,FSS,GEN-POL,true
0,PAX,AF-AIRCRAFT,true
0,PAX,AF-SUPPORT,true
0,PAX,AF-PREPO,true
0,PAX,MARINE-PREPO,true
0,PAX,ARMY-PREPO,true
0,PAX,AIRBORNE,true
0,PAX,ARMOR,true
0,PAX,MECH-INFANTR,true
0,PAX,AIRMOBILE,true
0,PAX,CBAC,true
0,PAX,INFANTRY,true
0,PAX,ARMOR-CAV,true
0,PAX,AMPH-MARINES,true
0,PAX,MARINES,true
0,PAX,CS-ENGINEER,true
0,PAX,CS-ARTILLERY,true
0,PAX,CS-OTHER,true
0,PAX,CSS-ENGINEER,true
0,PAX,CSS-MEDICAL,true
0,PAX,CSS-SIGNAL,true
0,PAX,CSS-SUPPLY,true
0,PAX,CSS-TRANSPOR,true
0,PAX,CSS-OTHER,true
0,PAX,NAVY-UE,true
0,PAX,RESUPPLY,true
0,PAX,AMMUNITION,true
0,PAX,POL,true
0,PAX,GEN-RESUPPLY,true
0,PAX,GEN-AMMO,true
0,PAX,GEN-POL,true
0,POL TANKER,AF-AIRCRAFT,true
0,POL TANKER,AF-SUPPORT,true
0,POL TANKER,AF-PREPO,true
0,POL TANKER,MARINE-PREPO,true
0,POL TANKER,ARMY-PREPO,true
0,POL TANKER,AIRBORNE,true
0,POL TANKER,ARMOR,true
0,POL TANKER,MECH-INFANTR,true
0,POL TANKER,AIRMOBILE,true
0,POL TANKER,CBAC,true
0,POL TANKER,INFANTRY,true
0,POL TANKER,ARMOR-CAV,true
0,POL TANKER,AMPH-MARINES,true
0,POL TANKER,MARINES,true
0,POL TANKER,CS-ENGINEER,true
0,POL TANKER,CS-ARTILLERY,true
0,POL TANKER,CS-OTHER,true
0,POL TANKER,CSS-ENGINEER,true
0,POL TANKER,CSS-MEDICAL,true
0,POL TANKER,CSS-SIGNAL,true
0,POL TANKER,CSS-SUPPLY,true
0,POL TANKER,CSS-TRANSPOR,true
0,POL TANKER,CSS-OTHER,true
0,POL TANKER,NAVY-UE,true
0,POL TANKER,RESUPPLY,true
0,POL TANKER,AMMUNITION,true
0,POL TANKER,POL,true
0,POL TANKER,GEN-RESUPPLY,true
0,POL TANKER,GEN-AMMO,true
0,POL TANKER,GEN-POL,true
0,RO/RO,AF-AIRCRAFT,true
0,RO/RO,AF-SUPPORT,true
0,RO/RO,AF-PREPO,true
0,RO/RO,MARINE-PREPO,true
0,RO/RO,ARMY-PREPO,true
0,RO/RO,AIRBORNE,true
0,RO/RO,ARMOR,true
0,RO/RO,MECH-INFANTR,true
0,RO/RO,AIRMOBILE,true
0,RO/RO,CBAC,true
0,RO/RO,INFANTRY,true
0,RO/RO,ARMOR-CAV,true
0,RO/RO,AMPH-MARINES,true
0,RO/RO,MARINES,true
0,RO/RO,CS-ENGINEER,true
0,RO/RO,CS-ARTILLERY,true
0,RO/RO,CS-OTHER,true
0,RO/RO,CSS-ENGINEER,true
0,RO/RO,CSS-MEDICAL,true
0,RO/RO,CSS-SIGNAL,true
0,RO/RO,CSS-SUPPLY,true
0,RO/RO,CSS-TRANSPOR,true
0,RO/RO,CSS-OTHER,true
0,RO/RO,NAVY-UE,true
0,RO/RO,RESUPPLY,true
0,RO/RO,AMMUNITION,true
0,RO/RO,POL,true
0,RO/RO,GEN-RESUPPLY,true
0,RO/RO,GEN-AMMO,true
0,RO/RO,GEN-POL,true
0,RO/RO(T-AKR),AF-AIRCRAFT,true
0,RO/RO(T-AKR),AF-SUPPORT,true
0,RO/RO(T-AKR),AF-PREPO,true
0,RO/RO(T-AKR),MARINE-PREPO,true
0,RO/RO(T-AKR),ARMY-PREPO,true
0,RO/RO(T-AKR),AIRBORNE,true
0,RO/RO(T-AKR),ARMOR,true
0,RO/RO(T-AKR),MECH-INFANTR,true
0,RO/RO(T-AKR),AIRMOBILE,true
0,RO/RO(T-AKR),CBAC,true
0,RO/RO(T-AKR),INFANTRY,true
0,RO/RO(T-AKR),ARMOR-CAV,true
0,RO/RO(T-AKR),AMPH-MARINES,true
0,RO/RO(T-AKR),MARINES,true
0,RO/RO(T-AKR),CS-ENGINEER,true
0,RO/RO(T-AKR),CS-ARTILLERY,true
0,RO/RO(T-AKR),CS-OTHER,true
0,RO/RO(T-AKR),CSS-ENGINEER,true
0,RO/RO(T-AKR),CSS-MEDICAL,true
0,RO/RO(T-AKR),CSS-SIGNAL,true
0,RO/RO(T-AKR),CSS-SUPPLY,true
0,RO/RO(T-AKR),CSS-TRANSPOR,true
0,RO/RO(T-AKR),CSS-OTHER,true
0,RO/RO(T-AKR),NAVY-UE,true
0,RO/RO(T-AKR),RESUPPLY,true
0,RO/RO(T-AKR),AMMUNITION,true
0,RO/RO(T-AKR),POL,true
0,RO/RO(T-AKR),GEN-RESUPPLY,true
0,RO/RO(T-AKR),GEN-AMMO,true
0,RO/RO(T-AKR),GEN-POL,true
0,T-ACS,AF-AIRCRAFT,true
0,T-ACS,AF-SUPPORT,true
0,T-ACS,AF-PREPO,true
0,T-ACS,MARINE-PREPO,true
0,T-ACS,ARMY-PREPO,true
0,T-ACS,AIRBORNE,true
0,T-ACS,ARMOR,true
0,T-ACS,MECH-INFANTR,true
0,T-ACS,AIRMOBILE,true
0,T-ACS,CBAC,true
0,T-ACS,INFANTRY,true
0,T-ACS,ARMOR-CAV,true
0,T-ACS,AMPH-MARINES,true
0,T-ACS,MARINES,true
0,T-ACS,CS-ENGINEER,true
0,T-ACS,CS-ARTILLERY,true
0,T-ACS,CS-OTHER,true
