Event Day,Port,Fleet,Restriction
0,WPVT,FF-LINER,true
0,WQZM,FF-LINER,true
0,WTJG,FF-LINER,true
0,WYKZ,FF-LINER,true
0,XEXW,FF-LINER,true
0,XRVJ,FF-LINER,true
0,XUDT,FF-LINER,true
0,XVMN,FF-LINER,true
0,XVRV,FF-LINER,true
0,XYNK,FF-LINER,true
0,YRTK,FF-LINER,true
0,ZBES,FF-LINER,true
0,ZMJJ,FF-LINER,true
0,ZNMC,FF-LINER,true
0,ZSJC,FF-LINER,true
0,00A1,FLOW,true
0,00IO,FLOW,true
0,00XT,FLOW,true
0,AAPV,FLOW,true
0,ABFL,FLOW,true
0,ADKH,FLOW,true
0,ADLS,FLOW,true
0,AELU,FLOW,true
0,AEQT,FLOW,true
0,AJGX,FLOW,true
0,ALRF,FLOW,true
0,AMCQ,FLOW,true
0,APFD,FLOW,true
0,APGW,FLOW,true
0,AVBU,FLOW,true
0,AVYX,FLOW,true
0,BBNQ,FLOW,true
0,BBNV,FLOW,true
0,BQWA,FLOW,true
0,BSRL,FLOW,true
0,CHCY,FLOW,true
0,CWCP,FLOW,true
0,CWGV,FLOW,true
0,DKSD,FLOW,true
0,DRUG,FLOW,true
0,EDME,FLOW,false
0,EGNN,FLOW,false
0,ENCN,FLOW,true
0,EZMU,FLOW,true
0,FGDB,FLOW,true
0,FGDD,FLOW,true
0,FGTW,FLOW,true
0,FMAZ,FLOW,true
0,FNLD,FLOW,true
0,FNSH,FLOW,true
0,FQZF,FLOW,true
0,GPEN,FLOW,true
0,GWZP,FLOW,true
0,HAGC,FLOW,true
0,HMGB,FLOW,true
0,HNTS,FLOW,true
0,HUPR,FLOW,true
0,JJRP,FLOW,true
0,JSSN,FLOW,true
0,JTVH,FLOW,true
0,JWJY,FLOW,true
0,JWTD,FLOW,true
0,JXKM,FLOW,true
0,JYPN,FLOW,true
0,KZPH,FLOW,true
0,KZTZ,FLOW,true
0,LCMT,FLOW,true
0,LKPE,FLOW,false
0,LRNC,FLOW,true
0,LSGM,FLOW,true
0,LUTP,FLOW,true
0,LWEV,FLOW,true
0,LYAP,FLOW,true
0,LYRV,FLOW,false
0,LYTM,FLOW,true
0,MKAG,FLOW,true
0,MLDL,FLOW,true
0,MMGH,FLOW,true
0,MZJK,FLOW,true
0,NBDY,FLOW,true
0,NLFL,FLOW,true
0,NNWH,FLOW,true
0,NPTU,FLOW,false
0,NSAN,FLOW,true
0,PAXM,FLOW,true
0,PCFC,FLOW,false
0,PCFG,FLOW,true
0,PKVP,FLOW,true
0,PPSH,FLOW,true
0,QCFF,FLOW,true
0,QHPB,FLOW,true
0,QHPD,FLOW,true
0,QHPF,FLOW,true
0,QNPW,FLOW,true
0,QTUP,FLOW,true
0,RCYQ,FLOW,true
0,RCYT,FLOW,true
0,RELG,FLOW,true
0,REPV,FLOW,true
0,RGJW,FLOW,true
0,RQNK,FLOW,true
0,RRHU,FLOW,true
0,RRRK,FLOW,true
0,RUAM,FLOW,true
0,RUAQ,FLOW,true
0,RULV,FLOW,true
0,SBEA,FLOW,true
0,SBEQ,FLOW,true
0,SEA1,FLOW,true
0,SERU,FLOW,false
0,SMXS,FLOW,true
0,STRM,FLOW,true
0,SVCN,FLOW,true
0,SYZZ,FLOW,true
0,TGWS,FLOW,true
0,TKDW,FLOW,true
0,TNVX,FLOW,true
0,TNZY,FLOW,true
0,TPPR,FLOW,true
0,TPRW,FLOW,true
0,TQKG,FLOW,true
0,TRZP,FLOW,true
0,TVJD,FLOW,true
0,TVXA,FLOW,true
0,TZL4,FLOW,true
0,TZYR,FLOW,true
0,UMXA,FLOW,true
0,UNAP,FLOW,true
0,UTAC,FLOW,false
0,UTVT,FLOW,true
0,UULA,FLOW,true
0,UULB,FLOW,true
0,UULX,FLOW,true
0,UYQR,FLOW,true
0,UZXJ,FLOW,true
0,VFVN,FLOW,true
0,VKNP,FLOW,true
0,VPRF,FLOW,true
0,VSNF,FLOW,false
0,WMPT,FLOW,false
0,WPAU,FLOW,true
0,WPVT,FLOW,false
0,WQZM,FLOW,true
0,WTJG,FLOW,true
0,WYKZ,FLOW,true
0,XEXW,FLOW,true
0,XRVJ,FLOW,true
0,XUDT,FLOW,false
0,XVMN,FLOW,true
0,XVRV,FLOW,false
0,XYNK,FLOW,true
0,YRTK,FLOW,true
0,ZBES,FLOW,true
0,ZMJJ,FLOW,true
0,ZNMC,FLOW,true
0,ZSJC,FLOW,true
0,00A1,MSC,true
0,00IO,MSC,true
0,00XT,MSC,true
0,AAPV,MSC,true
0,ABFL,MSC,true
0,ADKH,MSC,true
0,ADLS,MSC,true
0,AELU,MSC,true
0,AEQT,MSC,true
0,AJGX,MSC,true
0,ALRF,MSC,true
0,AMCQ,MSC,true
0,APFD,MSC,false
0,APGW,MSC,true
0,AVBU,MSC,true
0,AVYX,MSC,true
0,BBNQ,MSC,true
0,BBNV,MSC,true
0,BQWA,MSC,true
0,BSRL,MSC,true
0,CHCY,MSC,true
0,CWCP,MSC,true
0,CWGV,MSC,true
0,DKSD,MSC,true
0,DRUG,MSC,true
0,EDME,MSC,false
0,EGNN,MSC,true
0,ENCN,MSC,true
0,EZMU,MSC,true
0,FGDB,MSC,true
0,FGDD,MSC,true
0,FGTW,MSC,true
0,FMAZ,MSC,true
0,FNLD,MSC,true
0,FNSH,MSC,true
0,FQZF,MSC,true
0,GPEN,MSC,true
0,GWZP,MSC,true
0,HAGC,MSC,true
0,HMGB,MSC,true
0,HNTS,MSC,true
0,HUPR,MSC,true
0,JJRP,MSC,true
0,JSSN,MSC,true
0,JTVH,MSC,true
0,JWJY,MSC,true
0,JWTD,MSC,true
0,JXKM,MSC,true
0,JYPN,MSC,true
0,KZPH,MSC,true
0,KZTZ,MSC,true
0,LCMT,MSC,true
0,LKPE,MSC,true
0,LRNC,MSC,true
0,LSGM,MSC,true
0,LUTP,MSC,true
0,LWEV,MSC,true
0,LYAP,MSC,true
0,LYRV,MSC,false
0,LYTM,MSC,true
0,MKAG,MSC,true
0,MLDL,MSC,true
0,MMGH,MSC,true
0,MZJK,MSC,true
0,NBDY,MSC,true
0,NLFL,MSC,true
0,NNWH,MSC,true
0,NPTU,MSC,true
0,NSAN,MSC,true
