Seaport,Contains,Commodity Type
CWGV,true,AMMUNITION
CWGV,true,POL
CWGV,true,GEN-RESUPPLY
CWGV,true,GEN-AMMO
CWGV,true,GEN-POL
DKSD,true,AF-AIRCRAFT
DKSD,true,AF-SUPPORT
DKSD,true,AF-PREPO
DKSD,true,MARINE-PREPO
DKSD,true,ARMY-PREPO
DKSD,true,AIRBORNE
DKSD,true,ARMOR
DKSD,true,MECH-INFANTR
DKSD,true,AIRMOBILE
DKSD,true,CBAC
DKSD,true,INFANTRY
DKSD,true,ARMOR-CAV
DKSD,true,AMPH-MARINES
DKSD,true,MARINES
DKSD,true,CS-ENGINEER
DKSD,true,CS-ARTILLERY
DKSD,true,CS-OTHER
DKSD,true,CSS-ENGINEER
DKSD,true,CSS-MEDICAL
DKSD,true,CSS-SIGNAL
DKSD,true,CSS-SUPPLY
DKSD,true,CSS-TRANSPOR
DKSD,true,CSS-OTHER
DKSD,true,NAVY-UE
DKSD,true,RESUPPLY
DKSD,true,AMMUNITION
DKSD,true,POL
DKSD,true,GEN-RESUPPLY
DKSD,true,GEN-AMMO
DKSD,true,GEN-POL
DRUG,true,AF-AIRCRAFT
DRUG,true,AF-SUPPORT
DRUG,true,AF-PREPO
DRUG,true,MARINE-PREPO
DRUG,true,ARMY-PREPO
DRUG,true,AIRBORNE
DRUG,true,ARMOR
DRUG,true,MECH-INFANTR
DRUG,true,AIRMOBILE
DRUG,true,CBAC
DRUG,true,INFANTRY
DRUG,true,ARMOR-CAV
DRUG,true,AMPH-MARINES
DRUG,true,MARINES
DRUG,true,CS-ENGINEER
DRUG,true,CS-ARTILLERY
DRUG,true,CS-OTHER
DRUG,true,CSS-ENGINEER
DRUG,true,CSS-MEDICAL
DRUG,true,CSS-SIGNAL
DRUG,true,CSS-SUPPLY
DRUG,true,CSS-TRANSPOR
DRUG,true,CSS-OTHER
DRUG,true,NAVY-UE
DRUG,true,RESUPPLY
DRUG,true,AMMUNITION
DRUG,true,POL
DRUG,true,GEN-RESUPPLY
DRUG,true,GEN-AMMO
DRUG,true,GEN-POL
EDME,true,AF-AIRCRAFT
EDME,true,AF-SUPPORT
EDME,true,AF-PREPO
EDME,true,MARINE-PREPO
EDME,true,ARMY-PREPO
EDME,true,AIRBORNE
EDME,true,ARMOR
EDME,true,MECH-INFANTR
EDME,true,AIRMOBILE
EDME,true,CBAC
EDME,true,INFANTRY
EDME,true,ARMOR-CAV
EDME,true,AMPH-MARINES
EDME,true,MARINES
EDME,true,CS-ENGINEER
EDME,true,CS-ARTILLERY
EDME,true,CS-OTHER
EDME,true,CSS-ENGINEER
EDME,true,CSS-MEDICAL
EDME,true,CSS-SIGNAL
EDME,true,CSS-SUPPLY
EDME,true,CSS-TRANSPOR
EDME,true,CSS-OTHER
EDME,true,NAVY-UE
EDME,true,RESUPPLY
EDME,true,AMMUNITION
EDME,true,POL
EDME,true,GEN-RESUPPLY
EDME,true,GEN-AMMO
EDME,true,GEN-POL
EGNN,true,AF-AIRCRAFT
EGNN,true,AF-SUPPORT
EGNN,true,AF-PREPO
EGNN,true,MARINE-PREPO
EGNN,true,ARMY-PREPO
EGNN,true,AIRBORNE
EGNN,true,ARMOR
EGNN,true,MECH-INFANTR
EGNN,true,AIRMOBILE
EGNN,true,CBAC
EGNN,true,INFANTRY
EGNN,true,ARMOR-CAV
EGNN,true,AMPH-MARINES
EGNN,true,MARINES
EGNN,true,CS-ENGINEER
EGNN,true,CS-ARTILLERY
EGNN,true,CS-OTHER
EGNN,true,CSS-ENGINEER
EGNN,true,CSS-MEDICAL
EGNN,true,CSS-SIGNAL
EGNN,true,CSS-SUPPLY
EGNN,true,CSS-TRANSPOR
EGNN,true,CSS-OTHER
EGNN,true,NAVY-UE
EGNN,true,RESUPPLY
EGNN,true,AMMUNITION
EGNN,true,POL
EGNN,true,GEN-RESUPPLY
EGNN,true,GEN-AMMO
EGNN,true,GEN-POL
