Event Day,Aircraft Fleet,Aircraft Fleet Index,Aircraft Type,Airport,Usable
0,STRATEGIC,2,C-17,NKAK,0
0,STRATEGIC,2,C-17,NNGX,0
0,STRATEGIC,2,C-17,NRCH,0
0,STRATEGIC,2,C-17,NUEX,0
0,STRATEGIC,2,C-17,NVZR,0
0,STRATEGIC,2,C-17,NWXN,0
0,STRATEGIC,2,C-17,NZAS,0
0,STRATEGIC,2,C-17,OPA1,0
0,STRATEGIC,2,C-17,PCZP,0
0,STRATEGIC,2,C-17,PJVY,0
0,STRATEGIC,2,C-17,PNQS,0
0,STRATEGIC,2,C-17,PQWY,0
0,STRATEGIC,2,C-17,PRQE,0
0,STRATEGIC,2,C-17,PSXE,0
0,STRATEGIC,2,C-17,PTFL,0
0,STRATEGIC,2,C-17,QFQE,0
0,STRATEGIC,2,C-17,QJKL,0
0,STRATEGIC,2,C-17,QJVF,0
0,STRATEGIC,2,C-17,QKJA,0
0,STRATEGIC,2,C-17,QSEU,0
0,STRATEGIC,2,C-17,QYZH,0
0,STRATEGIC,2,C-17,RDRD,0
0,STRATEGIC,2,C-17,RKMF,0
0,STRATEGIC,2,C-17,RZQH,0
0,STRATEGIC,2,C-17,SBDW,0
0,STRATEGIC,2,C-17,SCEY,0
0,STRATEGIC,2,C-17,SEA1,0
0,STRATEGIC,2,C-17,SGBP,0
0,STRATEGIC,2,C-17,SHYQ,0
0,STRATEGIC,2,C-17,SMYU,0
0,STRATEGIC,2,C-17,STRL,0
0,STRATEGIC,2,C-17,SXHT,0
0,STRATEGIC,2,C-17,TDHV,0
0,STRATEGIC,2,C-17,THWA,0
0,STRATEGIC,2,C-17,TKXA,0
0,STRATEGIC,2,C-17,TMKH,0
0,STRATEGIC,2,C-17,TYFR,0
0,STRATEGIC,2,C-17,UGZX,0
0,STRATEGIC,2,C-17,UHGN,0
0,STRATEGIC,2,C-17,UHHZ,0
0,STRATEGIC,2,C-17,ULLT,0
0,STRATEGIC,2,C-17,UMXB,0
0,STRATEGIC,2,C-17,VDYD,0
0,STRATEGIC,2,C-17,VGHV,0
0,STRATEGIC,2,C-17,VKAG,0
0,STRATEGIC,2,C-17,VLSB,0
0,STRATEGIC,2,C-17,VRJT,0
0,STRATEGIC,2,C-17,VSMR,0
0,STRATEGIC,2,C-17,VWLB,0
0,STRATEGIC,2,C-17,VYHK,0
0,STRATEGIC,2,C-17,WEAS,0
0,STRATEGIC,2,C-17,WSVC,0
0,STRATEGIC,2,C-17,WWYK,0
0,STRATEGIC,2,C-17,XBGX,0
0,STRATEGIC,2,C-17,XDAT,0
0,STRATEGIC,2,C-17,XLWU,0
0,STRATEGIC,2,C-17,XQDT,0
0,STRATEGIC,2,C-17,XUMU,0
