Event Day,Airport,AC Type,Enroute Loaded
0,QJVF,CH47,false
0,QJVF,KC-10,false
0,QKJA,B-747P,false
0,QKJA,C-17,false
0,QKJA,C-5A,false
0,QKJA,CH47,false
0,QKJA,KC-10,false
0,QSEU,B-747P,false
0,QSEU,C-17,false
0,QSEU,C-5A,false
0,QSEU,CH47,false
0,QSEU,KC-10,false
0,QYZH,B-747P,false
0,QYZH,C-17,false
0,QYZH,C-5A,false
0,QYZH,CH47,false
0,QYZH,KC-10,false
0,RDRD,B-747P,false
0,RDRD,C-17,false
0,RDRD,C-5A,false
0,RDRD,CH47,false
0,RDRD,KC-10,false
0,RKMF,B-747P,false
0,RKMF,C-17,false
0,RKMF,C-5A,false
0,RKMF,CH47,false
0,RKMF,KC-10,false
0,RZQH,B-747P,false
0,RZQH,C-17,false
0,RZQH,C-5A,false
0,RZQH,CH47,false
0,RZQH,KC-10,false
0,SBDW,B-747P,false
0,SBDW,C-17,false
0,SBDW,C-5A,false
0,SBDW,CH47,false
0,SBDW,KC-10,false
0,SCEY,B-747P,false
0,SCEY,C-17,false
0,SCEY,C-5A,false
0,SCEY,CH47,false
0,SCEY,KC-10,false
0,SEA1,B-747P,false
0,SEA1,C-17,false
0,SEA1,C-5A,false
0,SEA1,CH47,false
0,SEA1,KC-10,false
0,SGBP,B-747P,false
0,SGBP,C-17,false
0,SGBP,C-5A,false
0,SGBP,CH47,false
0,SGBP,KC-10,false
0,SHYQ,B-747P,false
0,SHYQ,C-17,false
0,SHYQ,C-5A,false
0,SHYQ,CH47,false
0,SHYQ,KC-10,false
0,SMYU,B-747P,false
0,SMYU,C-17,false
0,SMYU,C-5A,false
0,SMYU,CH47,false
0,SMYU,KC-10,false
0,STRL,B-747P,false
0,STRL,C-17,false
0,STRL,C-5A,false
0,STRL,CH47,false
0,STRL,KC-10,false
0,SXHT,B-747P,false
0,SXHT,C-17,false
0,SXHT,C-5A,false
0,SXHT,CH47,false
0,SXHT,KC-10,false
0,TDHV,B-747P,false
0,TDHV,C-17,false
0,TDHV,C-5A,false
0,TDHV,CH47,false
0,TDHV,KC-10,false
0,THWA,B-747P,false
0,THWA,C-17,false
0,THWA,C-5A,false
0,THWA,CH47,false
0,THWA,KC-10,false
0,TKXA,B-747P,false
0,TKXA,C-17,false
0,TKXA,C-5A,false
0,TKXA,CH47,false
0,TKXA,KC-10,false
0,TMKH,B-747P,false
0,TMKH,C-17,false
0,TMKH,C-5A,false
0,TMKH,CH47,false
0,TMKH,KC-10,false
0,TYFR,B-747P,true
0,TYFR,C-17,true
0,TYFR,C-5A,true
0,TYFR,CH47,true
0,TYFR,KC-10,true
0,UGZX,B-747P,false
0,UGZX,C-17,false
0,UGZX,C-5A,false
0,UGZX,CH47,false
0,UGZX,KC-10,false
0,UHGN,B-747P,false
0,UHGN,C-17,false
0,UHGN,C-5A,false
0,UHGN,CH47,false
0,UHGN,KC-10,false
0,UHHZ,B-747P,false
0,UHHZ,C-17,false
