Type,ParkingType,WeightCapacity,PAXCapacity,ContainerCapacity,OnloadTime,OffloadTime,EnrouteTime,ExpeditedTime,RecoveryTime,FuelTime,FuelCapacity,NauticalAir,DefaultAvail,StratUsable,LIN,DoorHeight,DoorWidth,CargoBayWidth,CargoBayLength,BlockSpeed500,BlockSpeed1000,BlockSpeed1500,Display_Color,FuelConsumptionRate
DC862-archive,N,0.0,160.0,0.0,1.5,2.0,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC863-73,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC863-CF-P,N,0.0,219.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC871,N,0.0,160.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC9-30-F,N,0.0,160.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
ENCE,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
ENPE,N,0.0,110.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
EWC,W,67.9,0.0,1.0,5.0,2.0,2.25,0.75,5.0,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
EWCE,W,68.1,0.0,1.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
EWME,W,0.0,237.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
EWP,W,0.0,328.0,0.0,3.0,2.0,2.25,0.75,3.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
EWPE,W,0.0,401.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
GRT,W,229.5,584.0,16.0,4.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,90.0,1,,112.0,168.0,100.0,906.0,390.0,440.0,450.0,blue,5.0
IN130P,S,0.0,92.0,0.0,1.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,cyan,5.0
KC-10,W,26.4,0.0,1.0,4.25,2.0,2.25,0.75,3.25,2.0,340000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KC-135,W,26.4,0.0,1.0,4.25,2.0,2.25,0.75,3.25,2.0,340000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KC10,W,50.0,0.0,1.0,4.25,2.0,2.25,0.75,3.25,2.0,340000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,blue,5.0
KC10-S,W,0.0,0.0,1.0,4.25,2.0,2.25,0.75,3.25,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KC10-T,W,0.0,0.0,1.0,4.25,2.0,2.25,0.75,3.25,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KC135-T,W,0.0,0.0,0.0,3.5,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KN130P,S,0.0,110.0,0.0,1.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,cyan,5.0
