Ship Type,Berth Type,Commodity Class,Transfer Rate
CAR TRANS,RORO/CONTNR,2,4600
CAR TRANS,RORO/CONTNR,3,4600
CAR TRANS,RORO/CONTNR,4,0
CAR TRANS,RORO/CONTNR,5,0
CAR TRANS,RORO/CONTNR,6,0
CAR TRANS,TANKER,1,0
CAR TRANS,TANKER,2,0
CAR TRANS,TANKER,3,0
CAR TRANS,TANKER,4,0
CAR TRANS,TANKER,5,0
CAR TRANS,TANKER,6,0
CAR TRANS,VISA,1,0
CAR TRANS,VISA,2,0
CAR TRANS,VISA,3,0
CAR TRANS,VISA,4,0
CAR TRANS,VISA,5,0
CAR TRANS,VISA,6,0
CLF,ALL-PURPOSE,1,0
CLF,ALL-PURPOSE,2,1800
CLF,ALL-PURPOSE,3,1800
CLF,ALL-PURPOSE,4,3500
CLF,ALL-PURPOSE,5,5000
CLF,ALL-PURPOSE,6,0
CLF,BARGE,1,0
CLF,BARGE,2,0
CLF,BARGE,3,0
CLF,BARGE,4,0
CLF,BARGE,5,0
CLF,BARGE,6,0
CLF,BBULK/AMMO,1,0
CLF,BBULK/AMMO,2,0
CLF,BBULK/AMMO,3,0
CLF,BBULK/AMMO,4,3500
CLF,BBULK/AMMO,5,0
CLF,BBULK/AMMO,6,0
CLF,BBULK/CONTNR,1,0
CLF,BBULK/CONTNR,2,1800
CLF,BBULK/CONTNR,3,1800
CLF,BBULK/CONTNR,4,0
CLF,BBULK/CONTNR,5,0
CLF,BBULK/CONTNR,6,0
CLF,BBULK/RORO,1,0
CLF,BBULK/RORO,2,1800
CLF,BBULK/RORO,3,1800
CLF,BBULK/RORO,4,0
CLF,BBULK/RORO,5,0
CLF,BBULK/RORO,6,0
CLF,BREAKBULK,1,0
CLF,BREAKBULK,2,1800
CLF,BREAKBULK,3,1800
CLF,BREAKBULK,4,0
CLF,BREAKBULK,5,0
CLF,BREAKBULK,6,0
CLF,CONT/AMMO,1,0
CLF,CONT/AMMO,2,0
CLF,CONT/AMMO,3,0
CLF,CONT/AMMO,4,3500
CLF,CONT/AMMO,5,0
CLF,CONT/AMMO,6,0
CLF,CONTAINER,1,0
CLF,CONTAINER,2,1800
CLF,CONTAINER,3,1800
CLF,CONTAINER,4,3500
CLF,CONTAINER,5,0
CLF,CONTAINER,6,0
CLF,DOCK,1,0
CLF,DOCK,2,0
CLF,DOCK,3,0
CLF,DOCK,4,0
CLF,DOCK,5,0
CLF,DOCK,6,0
CLF,GENERAL PURP,1,0
CLF,GENERAL PURP,2,1800
CLF,GENERAL PURP,3,1800
CLF,GENERAL PURP,4,3500
CLF,GENERAL PURP,5,5000
CLF,GENERAL PURP,6,0
CLF,INTRA WATER,1,0
CLF,INTRA WATER,2,0
CLF,INTRA WATER,3,0
CLF,INTRA WATER,4,0
CLF,INTRA WATER,5,0
CLF,INTRA WATER,6,0
CLF,JLOTS,1,0
CLF,JLOTS,2,0
CLF,JLOTS,3,0
CLF,JLOTS,4,0
CLF,JLOTS,5,0
CLF,JLOTS,6,0
CLF,LIGHTER,1,0
CLF,LIGHTER,2,0
CLF,LIGHTER,3,0
CLF,LIGHTER,4,0
CLF,LIGHTER,5,0
CLF,LIGHTER,6,0
CLF,OTHER,1,0
CLF,OTHER,2,0
CLF,OTHER,3,0
CLF,OTHER,4,0
CLF,OTHER,5,0
CLF,OTHER,6,0
CLF,RORO,1,0
CLF,RORO,2,1800
CLF,RORO,3,1800
CLF,RORO,4,0
CLF,RORO,5,0
CLF,RORO,6,0
CLF,RORO/CONTNR,1,0
CLF,RORO/CONTNR,2,1800
CLF,RORO/CONTNR,3,1800
CLF,RORO/CONTNR,4,0
CLF,RORO/CONTNR,5,0
CLF,RORO/CONTNR,6,0
CLF,TANKER,1,0
CLF,TANKER,2,0
CLF,TANKER,3,0
CLF,TANKER,4,0
CLF,TANKER,5,0
CLF,TANKER,6,0
CLF,VISA,1,0
CLF,VISA,2,0
CLF,VISA,3,0
CLF,VISA,4,0
CLF,VISA,5,0
CLF,VISA,6,0
COMBO,ALL-PURPOSE,1,0
COMBO,ALL-PURPOSE,2,7000
COMBO,ALL-PURPOSE,3,7000
COMBO,ALL-PURPOSE,4,4600
COMBO,ALL-PURPOSE,5,5000
COMBO,ALL-PURPOSE,6,0
COMBO,BARGE,1,0
COMBO,BARGE,2,0
COMBO,BARGE,3,0
COMBO,BARGE,4,0
COMBO,BARGE,5,0
COMBO,BARGE,6,0
COMBO,BBULK/AMMO,1,0
COMBO,BBULK/AMMO,2,0
COMBO,BBULK/AMMO,3,0
COMBO,BBULK/AMMO,4,2800
COMBO,BBULK/AMMO,5,0
COMBO,BBULK/AMMO,6,0
COMBO,BBULK/CONTNR,1,0
COMBO,BBULK/CONTNR,2,0
COMBO,BBULK/CONTNR,3,0
COMBO,BBULK/CONTNR,4,0
COMBO,BBULK/CONTNR,5,0
COMBO,BBULK/CONTNR,6,0
COMBO,BBULK/RORO,1,0
COMBO,BBULK/RORO,2,4600
COMBO,BBULK/RORO,3,4600
COMBO,BBULK/RORO,4,0
COMBO,BBULK/RORO,5,0
COMBO,BBULK/RORO,6,0
COMBO,BREAKBULK,1,0
COMBO,BREAKBULK,2,0
COMBO,BREAKBULK,3,0
COMBO,BREAKBULK,4,0
COMBO,BREAKBULK,5,0
COMBO,BREAKBULK,6,0
COMBO,CONT/AMMO,1,0
COMBO,CONT/AMMO,2,0
COMBO,CONT/AMMO,3,0
COMBO,CONT/AMMO,4,7000
COMBO,CONT/AMMO,5,0
COMBO,CONT/AMMO,6,0
COMBO,CONTAINER,1,0
COMBO,CONTAINER,2,7000
COMBO,CONTAINER,3,7000
COMBO,CONTAINER,4,4600
COMBO,CONTAINER,5,0
COMBO,CONTAINER,6,0
COMBO,DOCK,1,0
COMBO,DOCK,2,0
COMBO,DOCK,3,0
COMBO,DOCK,4,0
COMBO,DOCK,5,0
COMBO,DOCK,6,0
COMBO,GENERAL PURP,1,0
COMBO,GENERAL PURP,2,7000
COMBO,GENERAL PURP,3,7000
COMBO,GENERAL PURP,4,4600
COMBO,GENERAL PURP,5,5000
COMBO,GENERAL PURP,6,0
COMBO,INTRA WATER,1,0
COMBO,INTRA WATER,2,0
COMBO,INTRA WATER,3,0
COMBO,INTRA WATER,4,0
COMBO,INTRA WATER,5,0
COMBO,INTRA WATER,6,0
COMBO,JLOTS,1,0
COMBO,JLOTS,2,2400
COMBO,JLOTS,3,2400
COMBO,JLOTS,4,2400
COMBO,JLOTS,5,0
COMBO,JLOTS,6,0
COMBO,LIGHTER,1,0
COMBO,LIGHTER,2,0
COMBO,LIGHTER,3,0
COMBO,LIGHTER,4,0
COMBO,LIGHTER,5,0
COMBO,LIGHTER,6,0
COMBO,OTHER,1,0
COMBO,OTHER,2,0
COMBO,OTHER,3,0
COMBO,OTHER,4,0
COMBO,OTHER,5,0
COMBO,OTHER,6,0
COMBO,RORO,1,0
COMBO,RORO,2,4600
COMBO,RORO,3,4600
COMBO,RORO,4,0
COMBO,RORO,5,0
COMBO,RORO,6,0
COMBO,RORO/CONTNR,1,0
COMBO,RORO/CONTNR,2,7000
COMBO,RORO/CONTNR,3,7000
COMBO,RORO/CONTNR,4,0
COMBO,RORO/CONTNR,5,0
COMBO,RORO/CONTNR,6,0
COMBO,TANKER,1,0
COMBO,TANKER,2,0
COMBO,TANKER,3,0
COMBO,TANKER,4,0
COMBO,TANKER,5,0
COMBO,TANKER,6,0
COMBO,VISA,1,0
COMBO,VISA,2,0
COMBO,VISA,3,0
COMBO,VISA,4,0
COMBO,VISA,5,0
COMBO,VISA,6,0
CONT-NSS,ALL-PURPOSE,1,0
CONT-NSS,ALL-PURPOSE,2,3000
CONT-NSS,ALL-PURPOSE,3,5600
CONT-NSS,ALL-PURPOSE,4,7000
CONT-NSS,ALL-PURPOSE,5,5000
CONT-NSS,ALL-PURPOSE,6,0
CONT-NSS,BARGE,1,0
CONT-NSS,BARGE,2,0
CONT-NSS,BARGE,3,0
CONT-NSS,BARGE,4,0
CONT-NSS,BARGE,5,0
CONT-NSS,BARGE,6,0
CONT-NSS,BBULK/AMMO,1,0
CONT-NSS,BBULK/AMMO,2,0
CONT-NSS,BBULK/AMMO,3,0
CONT-NSS,BBULK/AMMO,4,2800
CONT-NSS,BBULK/AMMO,5,0
CONT-NSS,BBULK/AMMO,6,0
CONT-NSS,BBULK/CONTNR,1,0
CONT-NSS,BBULK/CONTNR,2,3000
CONT-NSS,BBULK/CONTNR,3,5600
CONT-NSS,BBULK/CONTNR,4,0
CONT-NSS,BBULK/CONTNR,5,0
CONT-NSS,BBULK/CONTNR,6,0
CONT-NSS,BBULK/RORO,1,0
CONT-NSS,BBULK/RORO,2,0
CONT-NSS,BBULK/RORO,3,0
CONT-NSS,BBULK/RORO,4,0
CONT-NSS,BBULK/RORO,5,0
CONT-NSS,BBULK/RORO,6,0
CONT-NSS,BREAKBULK,1,0
CONT-NSS,BREAKBULK,2,0
CONT-NSS,BREAKBULK,3,0
CONT-NSS,BREAKBULK,4,0
CONT-NSS,BREAKBULK,5,0
CONT-NSS,BREAKBULK,6,0
CONT-NSS,CONT/AMMO,1,0
CONT-NSS,CONT/AMMO,2,0
CONT-NSS,CONT/AMMO,3,0
CONT-NSS,CONT/AMMO,4,7000
CONT-NSS,CONT/AMMO,5,0
CONT-NSS,CONT/AMMO,6,0
CONT-NSS,CONTAINER,1,0
CONT-NSS,CONTAINER,2,3000
CONT-NSS,CONTAINER,3,5600
CONT-NSS,CONTAINER,4,7000
CONT-NSS,CONTAINER,5,0
CONT-NSS,CONTAINER,6,0
CONT-NSS,DOCK,1,0
CONT-NSS,DOCK,2,0
CONT-NSS,DOCK,3,0
CONT-NSS,DOCK,4,0
CONT-NSS,DOCK,5,0
CONT-NSS,DOCK,6,0
CONT-NSS,GENERAL PURP,1,0
CONT-NSS,GENERAL PURP,2,3000
CONT-NSS,GENERAL PURP,3,5600
CONT-NSS,GENERAL PURP,4,7000
CONT-NSS,GENERAL PURP,5,5000
CONT-NSS,GENERAL PURP,6,0
CONT-NSS,INTRA WATER,1,0
CONT-NSS,INTRA WATER,2,0
CONT-NSS,INTRA WATER,3,0
CONT-NSS,INTRA WATER,4,0
CONT-NSS,INTRA WATER,5,0
CONT-NSS,INTRA WATER,6,0
CONT-NSS,JLOTS,1,0
CONT-NSS,JLOTS,2,0
CONT-NSS,JLOTS,3,0
CONT-NSS,JLOTS,4,0
CONT-NSS,JLOTS,5,0
CONT-NSS,JLOTS,6,0
CONT-NSS,LIGHTER,1,0
CONT-NSS,LIGHTER,2,0
CONT-NSS,LIGHTER,3,0
CONT-NSS,LIGHTER,4,0
