GeolocCode,Name,Latitude,Longitude,Fuel Dest,CONUS Airport,MilitaryGateway,CRAFGateway,DirectDelivery,MOGConstrained,Fuel Org,CrewRestAllowed
DPNB,OHARE,41.978054,-87.90611,,true,false,false,false,false,"",true
DVLK,DIOSDADO MACAPAGA,15.186111,120.56028,,false,false,false,false,false,"",true
DYCS,CLEVELAND HOPKINS,41.409443,-81.855,,true,false,false,false,false,"",true
ETZB,CP PENDLETON,33.316666,-117.38333,,true,false,false,false,false,"",true
EYBD,SUBIC BAY INTL,14.794444,120.271385,,false,false,false,false,true,"",true
FAXN,DARMSTADT AAF,49.853333,8.5847225,,false,false,false,false,false,"",true
FBNV,DAVIS MONTHAN AFB,32.16639,-110.88306,,true,false,false,false,true,"",true
FGDC,DIEGO GARCIA NSF,-7.3133335,72.41111,,false,false,false,false,true,"",true
FGWB,DOBBINS ARB,33.91528,-84.51639,,true,false,false,false,false,"",true
FJXT,DOVER AFB,39.129444,-75.465836,,true,false,false,false,true,"",true
FNWZ,DYESS AFB,32.418335,-99.85667,,true,false,false,false,true,"",true
FTEP,DUKE FLD,30.648611,-86.52194,,true,false,false,false,false,"",true
FTEV,HURLBURT FLD,30.427778,-86.68916,,true,false,false,false,false,"",true
FTFA,EGLIN AFB,30.483334,-86.525276,,true,false,false,false,true,"",true
FTZH,EL BORMA,31.703888,9.254167,,false,false,false,false,true,"",true
FUQN,THYNA,34.71639,10.691667,,false,false,false,false,true,"",true
FUZD,EL TORO MCAS,33.673332,-117.73,,true,false,false,false,false,"",true
FXSB,JB ELMENDORF-RICH,61.25139,-149.8064,,false,false,false,false,true,"",true
GAMH,ALEXANDRIA INTL,31.3275,-92.548615,,true,false,false,false,true,"",true
GHLN,FRANCIS E WARREN,41.133335,-104.867226,,true,false,false,false,false,"",true
GJKZ,FAIRCHILD AFB,47.615,-117.65583,,true,false,false,false,false,"",true
GKVB,FAIRFORD,51.683334,-1.79,,false,false,false,false,true,"",true
GUQE,FORBES FLD,38.950832,-95.66361,,true,false,false,false,true,"",true
GYRZ,FRANKFURT MAIN,50.033333,8.570556,,false,false,false,false,false,"",true
HNTK,MATMATA,33.733334,9.919167,,false,false,false,false,true,"",true
HPBF,GAFSA,34.426388,8.828055,,false,false,false,false,false,"",true
HTUX,GENERAL MITCHELL,42.946945,-87.89694,,true,false,false,false,false,"",true
HUUA,SOUTHERN CALIFORN,34.5975,-117.38306,,true,false,false,false,false,"",true
JEAH,DJERBA,33.875557,10.777223,,false,false,false,false,true,"",true
JFSD,GRAND FORKS AFB,47.961113,-97.40111,,true,false,false,false,true,"",true
JREZ,GRIFFISS INTL,43.23389,-75.406944,,true,false,false,false,true,"",true
KJGW,HAYWARD EXECUTIVE,37.65889,-122.121666,,true,false,false,false,false,"",true
KNMD,JBPH-H HICKAM FLD,21.31611,-157.92667,,false,false,false,false,true,"",true
KRSM,HILL AFB,41.12389,-111.97305,,true,false,false,false,false,"",true
KWRD,HOLLOMAN AFB,32.852222,-106.10917,,true,false,false,false,false,"",true
KYJL,HOMESTEAD AFB,25.488056,-80.38389,,true,false,false,false,false,"",true
KZTV,HONOLULU INTL,21.31611,-157.92667,,false,false,false,false,false,"",true
LEXG,HUNTER AAF,32.01,-81.14611,,true,false,false,false,true,"",true
LSGE,JACKSONVILLE NAS,30.233889,-81.675,,true,false,false,false,false,"",true
LXEZ,KADENA AB,26.355556,127.76778,,false,false,false,false,true,"",true
LYAX,KANEOHE BAY MCAF,21.450556,-157.76805,,false,false,false,false,false,"",true
MAHG,KEESLER AFB,30.410555,-88.924446,,true,false,false,false,true,"",true
MBPB,JBSA KELLY AFB,29.384167,-98.58111,,true,false,false,false,false,"",true
MEPJ,GIMHAE INTL,35.180557,128.93805,,false,false,false,false,true,"",true
MHMV,KIRTLAND AFB,35.04028,-106.60917,,true,false,false,false,true,"",true
MQNA,LAJES,38.761944,-27.090834,,false,false,false,false,true,"",true
MSET,LAKENHEATH,52.409443,0.5611111,,false,false,false,false,false,"",true
MSQB,LAMBERT ST LOUIS,38.74861,-90.37,,true,false,false,false,false,"",true
MUHJ,JB LANGLEY-EUSTIS,37.08278,-76.36056,,true,false,false,false,true,"",true
MYXZ,LAWSON AAF,32.331665,-84.98722,,true,false,false,false,false,"",true
