Ship Type,Berth Type,Commodity Class,Transfer Rate
BARGE(T-AKB),RORO/CONTNR,AF-PREPO,1200
BARGE(T-AKB),RORO/CONTNR,MARINE-PREPO,0
BARGE(T-AKB),RORO/CONTNR,ARMY-PREPO,0
BARGE(T-AKB),RORO/CONTNR,AIRBORNE,0
BARGE(T-AKB),TANKER,AF-AIRCRAFT,0
BARGE(T-AKB),TANKER,AF-SUPPORT,0
BARGE(T-AKB),TANKER,AF-PREPO,0
BARGE(T-AKB),TANKER,MARINE-PREPO,0
BARGE(T-AKB),TANKER,ARMY-PREPO,0
BARGE(T-AKB),TANKER,AIRBORNE,0
BARGE(T-AKB),VISA,AF-AIRCRAFT,0
BARGE(T-AKB),VISA,AF-SUPPORT,0
BARGE(T-AKB),VISA,AF-PREPO,0
BARGE(T-AKB),VISA,MARINE-PREPO,0
BARGE(T-AKB),VISA,ARMY-PREPO,0
BARGE(T-AKB),VISA,AIRBORNE,0
BREAKBULK,ALL-PURPOSE,AF-AIRCRAFT,0
BREAKBULK,ALL-PURPOSE,AF-SUPPORT,1800
BREAKBULK,ALL-PURPOSE,AF-PREPO,1800
BREAKBULK,ALL-PURPOSE,MARINE-PREPO,3500
BREAKBULK,ALL-PURPOSE,ARMY-PREPO,5000
BREAKBULK,ALL-PURPOSE,AIRBORNE,0
BREAKBULK,BARGE,AF-AIRCRAFT,0
BREAKBULK,BARGE,AF-SUPPORT,0
BREAKBULK,BARGE,AF-PREPO,0
BREAKBULK,BARGE,MARINE-PREPO,0
BREAKBULK,BARGE,ARMY-PREPO,0
BREAKBULK,BARGE,AIRBORNE,0
BREAKBULK,BBULK/AMMO,AF-AIRCRAFT,0
BREAKBULK,BBULK/AMMO,AF-SUPPORT,0
BREAKBULK,BBULK/AMMO,AF-PREPO,0
BREAKBULK,BBULK/AMMO,MARINE-PREPO,3500
BREAKBULK,BBULK/AMMO,ARMY-PREPO,0
BREAKBULK,BBULK/AMMO,AIRBORNE,0
BREAKBULK,BBULK/CONTNR,AF-AIRCRAFT,0
BREAKBULK,BBULK/CONTNR,AF-SUPPORT,1800
BREAKBULK,BBULK/CONTNR,AF-PREPO,1800
BREAKBULK,BBULK/CONTNR,MARINE-PREPO,0
BREAKBULK,BBULK/CONTNR,ARMY-PREPO,0
BREAKBULK,BBULK/CONTNR,AIRBORNE,0
BREAKBULK,BBULK/RORO,AF-AIRCRAFT,0
BREAKBULK,BBULK/RORO,AF-SUPPORT,1800
BREAKBULK,BBULK/RORO,AF-PREPO,1800
BREAKBULK,BBULK/RORO,MARINE-PREPO,3500
BREAKBULK,BBULK/RORO,ARMY-PREPO,0
BREAKBULK,BBULK/RORO,AIRBORNE,0
BREAKBULK,BREAKBULK,AF-AIRCRAFT,0
BREAKBULK,BREAKBULK,AF-SUPPORT,1800
BREAKBULK,BREAKBULK,AF-PREPO,1800
BREAKBULK,BREAKBULK,MARINE-PREPO,0
BREAKBULK,BREAKBULK,ARMY-PREPO,0
BREAKBULK,BREAKBULK,AIRBORNE,0
BREAKBULK,CONT/AMMO,AF-AIRCRAFT,0
BREAKBULK,CONT/AMMO,AF-SUPPORT,0
BREAKBULK,CONT/AMMO,AF-PREPO,0
