Ship Type,Commodity,Transition Time
RO/RO,CBAC,0
RO/RO,INFANTRY,0
RO/RO,ARMOR-CAV,0
RO/RO,AMPH-MARINES,0
RO/RO,MARINES,0
RO/RO,CS-ENGINEER,0
RO/RO,CS-ARTILLERY,0
RO/RO,CS-OTHER,0
RO/RO,CSS-ENGINEER,0
RO/RO,CSS-MEDICAL,0
RO/RO,CSS-SIGNAL,0
RO/RO,CSS-SUPPLY,0
RO/RO,CSS-TRANSPOR,0
RO/RO,CSS-OTHER,0
RO/RO,NAVY-UE,0
RO/RO,RESUPPLY,0
RO/RO,AMMUNITION,0
RO/RO,POL,0
RO/RO,GEN-RESUPPLY,0
RO/RO,GEN-AMMO,0
RO/RO,GEN-POL,0
RO/RO(T-AKR),AF-AIRCRAFT,0
RO/RO(T-AKR),AF-SUPPORT,0
RO/RO(T-AKR),AF-PREPO,0
RO/RO(T-AKR),MARINE-PREPO,0
RO/RO(T-AKR),ARMY-PREPO,0
RO/RO(T-AKR),AIRBORNE,0
RO/RO(T-AKR),ARMOR,0
RO/RO(T-AKR),MECH-INFANTR,0
RO/RO(T-AKR),AIRMOBILE,0
RO/RO(T-AKR),CBAC,0
RO/RO(T-AKR),INFANTRY,0
RO/RO(T-AKR),ARMOR-CAV,0
RO/RO(T-AKR),AMPH-MARINES,0
RO/RO(T-AKR),MARINES,0
RO/RO(T-AKR),CS-ENGINEER,0
RO/RO(T-AKR),CS-ARTILLERY,0
RO/RO(T-AKR),CS-OTHER,0
RO/RO(T-AKR),CSS-ENGINEER,0
RO/RO(T-AKR),CSS-MEDICAL,0
RO/RO(T-AKR),CSS-SIGNAL,0
RO/RO(T-AKR),CSS-SUPPLY,0
RO/RO(T-AKR),CSS-TRANSPOR,0
RO/RO(T-AKR),CSS-OTHER,0
RO/RO(T-AKR),NAVY-UE,0
RO/RO(T-AKR),RESUPPLY,0
RO/RO(T-AKR),AMMUNITION,0
RO/RO(T-AKR),POL,0
RO/RO(T-AKR),GEN-RESUPPLY,0
RO/RO(T-AKR),GEN-AMMO,0
RO/RO(T-AKR),GEN-POL,0
T-ACS,AF-AIRCRAFT,0
T-ACS,AF-SUPPORT,0
T-ACS,AF-PREPO,0
T-ACS,MARINE-PREPO,0
T-ACS,ARMY-PREPO,0
T-ACS,AIRBORNE,0
T-ACS,ARMOR,0
T-ACS,MECH-INFANTR,0
T-ACS,AIRMOBILE,0
T-ACS,CBAC,0
T-ACS,INFANTRY,0
T-ACS,ARMOR-CAV,0
T-ACS,AMPH-MARINES,0
T-ACS,MARINES,0
T-ACS,CS-ENGINEER,0
T-ACS,CS-ARTILLERY,0
T-ACS,CS-OTHER,0
T-ACS,CSS-ENGINEER,0
T-ACS,CSS-MEDICAL,0
T-ACS,CSS-SIGNAL,0
T-ACS,CSS-SUPPLY,0
T-ACS,CSS-TRANSPOR,0
T-ACS,CSS-OTHER,0
T-ACS,NAVY-UE,0
T-ACS,RESUPPLY,0
T-ACS,AMMUNITION,0
T-ACS,POL,0
T-ACS,GEN-RESUPPLY,0
T-ACS,GEN-AMMO,0
T-ACS,GEN-POL,0
T-AH,AF-AIRCRAFT,0
T-AH,AF-SUPPORT,0
T-AH,AF-PREPO,0
T-AH,MARINE-PREPO,0
T-AH,ARMY-PREPO,0
T-AH,AIRBORNE,0
T-AH,ARMOR,0
T-AH,MECH-INFANTR,0
T-AH,AIRMOBILE,0
T-AH,CBAC,0
T-AH,INFANTRY,0
T-AH,ARMOR-CAV,0
T-AH,AMPH-MARINES,0
T-AH,MARINES,0
T-AH,CS-ENGINEER,0
T-AH,CS-ARTILLERY,0
T-AH,CS-OTHER,0
T-AH,CSS-ENGINEER,0
T-AH,CSS-MEDICAL,0
T-AH,CSS-SIGNAL,0
T-AH,CSS-SUPPLY,0
T-AH,CSS-TRANSPOR,0
T-AH,CSS-OTHER,0
T-AH,NAVY-UE,0
T-AH,RESUPPLY,0
T-AH,AMMUNITION,0
T-AH,POL,0
T-AH,GEN-RESUPPLY,0
T-AH,GEN-AMMO,0
T-AH,GEN-POL,0
VISA CONT,AF-AIRCRAFT,0
VISA CONT,AF-SUPPORT,0
VISA CONT,AF-PREPO,0
VISA CONT,MARINE-PREPO,0
VISA CONT,ARMY-PREPO,0
VISA CONT,AIRBORNE,0
VISA CONT,ARMOR,0
VISA CONT,MECH-INFANTR,0
VISA CONT,AIRMOBILE,0
VISA CONT,CBAC,0
VISA CONT,INFANTRY,0
VISA CONT,ARMOR-CAV,0
VISA CONT,AMPH-MARINES,0
VISA CONT,MARINES,0
VISA CONT,CS-ENGINEER,0
VISA CONT,CS-ARTILLERY,0
VISA CONT,CS-OTHER,0
VISA CONT,CSS-ENGINEER,0
VISA CONT,CSS-MEDICAL,0
VISA CONT,CSS-SIGNAL,0
VISA CONT,CSS-SUPPLY,0
VISA CONT,CSS-TRANSPOR,0
VISA CONT,CSS-OTHER,0
VISA CONT,NAVY-UE,0
VISA CONT,RESUPPLY,0
VISA CONT,AMMUNITION,0
VISA CONT,POL,0
VISA CONT,GEN-RESUPPLY,0
VISA CONT,GEN-AMMO,0
VISA CONT,GEN-POL,0
