Name,Active,BeachType,BerthType,SeaportName,GeolocCode,BerthGroupName,FromDay,ToDay,PreviousBerthName,NextBerthName,NumContainerCranes,NumGantryCranes,NumMobileCranes,NumWharfCranes,ShipSpacing,Length,Depth,ApronWidth,NumPolPumps,TankerLoadRatePerShip,HotCargoAllowed
CHCYGENERAL PU02,true,null,GENERAL PURP,BREMERHAVEN,CHCY,CHCYGENERAL PU02,0,99999,null,null,0,0,1,0,50,1150,40,60,0,2000,Both
CHCYGENERAL PU03,true,null,GENERAL PURP,BREMERHAVEN,CHCY,CHCYGENERAL PU03,0,99999,null,null,0,0,1,0,50,1312,40,60,0,2000,Both
CWCPVISA      01,true,null,VISA,CADIZ,CWCP,CWCPVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
CWGVVISA      01,true,null,VISA,CAGAYAN DE ORO,CWGV,CWGVVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
Charleston-all-purpose berth-DKSD -19778,true,null,ALL-PURPOSE,CHARLESTON,DKSD,Charleston-DKSD Terminal-19777,-999,99999,null,null,0,10,0,0,50,5000,55,120,0,2000,Both
DRUGBREAKBULK 01,true,null,BREAKBULK,CHINHAE,DRUG,DRUGBREAKBULK 01,0,99999,null,null,0,0,1,0,50,600,36,60,0,2000,Both
DRUGGENERAL PU01,true,null,GENERAL PURP,CHINHAE,DRUG,DRUGGENERAL PU01,0,99999,null,null,0,0,1,0,50,1053,40,60,0,2000,Both
EDMEVISA      01,true,null,VISA,COLOMBO,EDME,EDMEVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
EGNNBBULK/AMMO01,true,null,BBULK/AMMO,CONCORD,EGNN,EGNNBBULK/AMMO01,0,99999,null,null,0,0,1,0,50,1180,35,60,0,2000,Both
EGNNBBULK/AMMO02,true,null,BBULK/AMMO,CONCORD,EGNN,EGNNBBULK/AMMO02,0,99999,null,null,0,0,1,0,50,1220,35,60,0,2000,Both
EGNNCONT/AMMO 01,true,null,CONT/AMMO,CONCORD,EGNN,EGNNCONT/AMMO 01,0,99999,null,null,0,0,1,0,50,1220,35,60,0,2000,Both
ENCNBBULK/RORO01,true,null,BBULK/RORO,CORPUS CHRISTI NA,ENCN,ENCNBBULK/RORO01,0,99999,null,null,0,0,1,0,50,1000,36,60,0,2000,Both
ENCNBBULK/RORO02,true,null,BBULK/RORO,CORPUS CHRISTI NA,ENCN,ENCNBBULK/RORO02,0,99999,null,null,0,0,1,0,50,750,37,60,0,2000,Both
ENCNBREAKBULK 01,false,null,BREAKBULK,CORPUS CHRISTI NA,ENCN,ENCNBREAKBULK 01,0,99999,null,null,0,0,1,0,50,700,28,60,0,2000,Both
ENCNGENERAL PU01,true,null,GENERAL PURP,CORPUS CHRISTI NA,ENCN,ENCNGENERAL PU01,0,99999,null,null,0,0,1,0,50,1060,45,60,0,2000,Both
EZMUVISA      01,true,null,VISA,DAKAR,EZMU,EZMUVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
FGDDBBULK/RORO01,true,null,BBULK/RORO,DIEGO GARCIA,FGDD,FGDDBBULK/RORO01,0,99999,null,null,0,0,1,0,50,1000,45,60,0,2000,Both
FGDDGENERAL PU01,true,null,GENERAL PURP,DIEGO GARCIA,FGDD,FGDDGENERAL PU01,0,99999,null,null,0,0,1,0,50,1000,45,60,0,2000,Both
FGTW berth container,true,null,CONTAINER,DJERBA,FGTW,BG FGTW berth container,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
FGTW berth general purpose,true,null,GENERAL PURP,DJERBA,FGTW,BG FGTW berth general purpose,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
FMAZVISA      01,true,null,VISA,DUBAI,FMAZ,FMAZVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
