Key,CommodityType,StockageStart,StockagePeriod,Inventory,SatisfyMissedDemand
PHILADELPHIA,GEN-RESUPPLY,0,10,,
PHILADELPHIA,GEN-AMMO,0,10,,
PHILADELPHIA,GEN-POL,0,10,,
SEABASE,AF-AIRCRAFT,,,,
SEABASE,AF-SUPPORT,,,,
SEABASE,AF-PREPO,,,,
SEABASE,MARINE-PREPO,,,,
SEABASE,ARMY-PREPO,,,,
SEABASE,AIRBORNE,,,,
SEABASE,ARMOR,,,,
SEABASE,MECH-INFANTR,,,,
SEABASE,AIRMOBILE,,,,
SEABASE,CBAC,,,,
SEABASE,INFANTRY,,,,
SEABASE,ARMOR-CAV,,,,
SEABASE,AMPH-MARINES,,,,
SEABASE,MARINES,,,,
SEABASE,CS-ENGINEER,,,,
SEABASE,CS-ARTILLERY,,,,
SEABASE,CS-OTHER,,,,
SEABASE,CSS-ENGINEER,,,,
SEABASE,CSS-MEDICAL,,,,
SEABASE,CSS-SIGNAL,,,,
SEABASE,CSS-SUPPLY,,,,
SEABASE,CSS-TRANSPOR,,,,
SEABASE,CSS-OTHER,,,,
SEABASE,NAVY-UE,,,,
SEABASE,RESUPPLY,,,,
SEABASE,AMMUNITION,,,,
SEABASE,POL,,,,
SEABASE,GEN-RESUPPLY,0,25,,
SEABASE,GEN-AMMO,0,25,,
SEABASE,GEN-POL,0,25,,
SFAX,AF-AIRCRAFT,,,,
SFAX,AF-SUPPORT,,,,
SFAX,AF-PREPO,,,,
SFAX,MARINE-PREPO,,,,
SFAX,ARMY-PREPO,,,,
SFAX,AIRBORNE,,,,
SFAX,ARMOR,,,,
SFAX,MECH-INFANTR,,,,
SFAX,AIRMOBILE,,,,
SFAX,CBAC,,,,
SFAX,INFANTRY,,,,
SFAX,ARMOR-CAV,,,,
SFAX,AMPH-MARINES,,,,
SFAX,MARINES,,,,
SFAX,CS-ENGINEER,,,,
SFAX,CS-ARTILLERY,,,,
SFAX,CS-OTHER,,,,
SFAX,CSS-ENGINEER,,,,
SFAX,CSS-MEDICAL,,,,
SFAX,CSS-SIGNAL,,,,
SFAX,CSS-SUPPLY,,,,
SFAX,CSS-TRANSPOR,,,,
SFAX,CSS-OTHER,,,,
SFAX,NAVY-UE,,,,
SFAX,RESUPPLY,,,,
SFAX,AMMUNITION,,,,
SFAX,POL,,,,
SFAX,GEN-RESUPPLY,0,25,,
SFAX,GEN-AMMO,0,25,,
SFAX,GEN-POL,0,25,,
SIGONELLA,AF-AIRCRAFT,,,,
SIGONELLA,AF-SUPPORT,,,,
SIGONELLA,AF-PREPO,,,,
SIGONELLA,MARINE-PREPO,,,,
SIGONELLA,ARMY-PREPO,,,,
SIGONELLA,AIRBORNE,,,,
SIGONELLA,ARMOR,,,,
SIGONELLA,MECH-INFANTR,,,,
SIGONELLA,AIRMOBILE,,,,
SIGONELLA,CBAC,,,,
SIGONELLA,INFANTRY,,,,
SIGONELLA,ARMOR-CAV,,,,
SIGONELLA,AMPH-MARINES,,,,
SIGONELLA,MARINES,,,,
SIGONELLA,CS-ENGINEER,,,,
SIGONELLA,CS-ARTILLERY,,,,
SIGONELLA,CS-OTHER,,,,
SIGONELLA,CSS-ENGINEER,,,,
SIGONELLA,CSS-MEDICAL,,,,
SIGONELLA,CSS-SIGNAL,,,,
SIGONELLA,CSS-SUPPLY,,,,
SIGONELLA,CSS-TRANSPOR,,,,
SIGONELLA,CSS-OTHER,,,,
SIGONELLA,NAVY-UE,,,,
SIGONELLA,RESUPPLY,,,,
SIGONELLA,AMMUNITION,,,,
SIGONELLA,POL,,,,
SIGONELLA,GEN-RESUPPLY,0,25,,
SIGONELLA,GEN-AMMO,0,25,,
SIGONELLA,GEN-POL,0,25,,
TEBESSA,AF-AIRCRAFT,,,,
TEBESSA,AF-SUPPORT,,,,
TEBESSA,AF-PREPO,,,,
TEBESSA,MARINE-PREPO,,,,
TEBESSA,ARMY-PREPO,,,,
TEBESSA,AIRBORNE,,,,
TEBESSA,ARMOR,,,,
TEBESSA,MECH-INFANTR,,,,
TEBESSA,AIRMOBILE,,,,
TEBESSA,CBAC,,,,
TEBESSA,INFANTRY,,,,
TEBESSA,ARMOR-CAV,,,,
TEBESSA,AMPH-MARINES,,,,
TEBESSA,MARINES,,,,
TEBESSA,CS-ENGINEER,,,,
TEBESSA,CS-ARTILLERY,,,,
TEBESSA,CS-OTHER,,,,
TEBESSA,CSS-ENGINEER,,,,
TEBESSA,CSS-MEDICAL,,,,
TEBESSA,CSS-SIGNAL,,,,
TEBESSA,CSS-SUPPLY,,,,
TEBESSA,CSS-TRANSPOR,,,,
TEBESSA,CSS-OTHER,,,,
TEBESSA,NAVY-UE,,,,
TEBESSA,RESUPPLY,,,,
TEBESSA,AMMUNITION,,,,
TEBESSA,POL,,,,
TEBESSA,GEN-RESUPPLY,0,25,,
TEBESSA,GEN-AMMO,0,25,,
TEBESSA,GEN-POL,0,25,,
THYNA-EL MAOU,AF-AIRCRAFT,,,,
THYNA-EL MAOU,AF-SUPPORT,,,,
THYNA-EL MAOU,AF-PREPO,,,,
THYNA-EL MAOU,MARINE-PREPO,,,,
THYNA-EL MAOU,ARMY-PREPO,,,,
THYNA-EL MAOU,AIRBORNE,,,,
THYNA-EL MAOU,ARMOR,,,,
THYNA-EL MAOU,MECH-INFANTR,,,,
THYNA-EL MAOU,AIRMOBILE,,,,
THYNA-EL MAOU,CBAC,,,,
THYNA-EL MAOU,INFANTRY,,,,
THYNA-EL MAOU,ARMOR-CAV,,,,
THYNA-EL MAOU,AMPH-MARINES,,,,
THYNA-EL MAOU,MARINES,,,,
THYNA-EL MAOU,CS-ENGINEER,,,,
THYNA-EL MAOU,CS-ARTILLERY,,,,
THYNA-EL MAOU,CS-OTHER,,,,
THYNA-EL MAOU,CSS-ENGINEER,,,,
THYNA-EL MAOU,CSS-MEDICAL,,,,
THYNA-EL MAOU,CSS-SIGNAL,,,,
THYNA-EL MAOU,CSS-SUPPLY,,,,
THYNA-EL MAOU,CSS-TRANSPOR,,,,
THYNA-EL MAOU,CSS-OTHER,,,,
THYNA-EL MAOU,NAVY-UE,,,,
THYNA-EL MAOU,RESUPPLY,,,,
THYNA-EL MAOU,AMMUNITION,,,,
THYNA-EL MAOU,POL,,,,
THYNA-EL MAOU,GEN-RESUPPLY,0,25,,
THYNA-EL MAOU,GEN-AMMO,0,25,,
THYNA-EL MAOU,GEN-POL,0,25,,
