RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,CargoId
1:00HB,J7C,6.199997,0.79999924,20.200012,1,56,52,48,J7C Leftover,,1:00HB.J7C0002
1:00HB,M7C,1,0.9,1,1,3,52,48,M7C Leftover,,1:00HB.M7C0001
1:00HB,A2D,37.2,4.7,185.5,3,290,92,78,A2D Defaulted,,1:00HB.A2D0001
1:00HB,A2D,37.399994,4.8,185.5,1,290,92,78,A2D Leftover,,1:00HB.A2D0002
1:00HC,J3C,4,0.2,4,1,11,52,48,J3C Leftover,,1:00HC.J3C0001
1:00HC,J7C,2.4,1,19.6,14,54,52,48,J7C Defaulted,,1:00HC.J7C0001
1:00HC,J7C,3.3999977,0.6999998,19.600006,1,54,52,48,J7C Leftover,,1:00HC.J7C0002
1:00HC,M7C,1,0.4,1,1,3,52,48,M7C Leftover,,1:00HC.M7C0001
1:00HC,A2D,31.7,4.4,161.5,6,253,92,78,A2D Defaulted,,1:00HC.A2D0001
1:00HC,A2D,31.799988,4.499998,162,1,254,92,78,A2D Leftover,,1:00HC.A2D0002
1:00HDC,A3D,5.5,0.8,52.5,1,145,52,48,A3D Defaulted,,1:00HDC.A3D0001
1:00HDC,A3D,5.5,0.7,52.5,1,145,52,48,A3D Leftover,,1:00HDC.A3D0002
1:00HDC,J3C,3.1,0.9,18,8,50,52,48,J3C Defaulted,,1:00HDC.J3C0001
1:00HDC,J3C,3.2000008,0.9000006,18,1,50,52,48,J3C Leftover,,1:00HDC.J3C0002
1:00HDC,J7C,2.4,1,19.8,115,55,52,48,J7C Defaulted,,1:00HDC.J7C0001
1:00HDC,J7C,12,0.30000305,29,1,80,52,48,J7C Leftover,,1:00HDC.J7C0002
1:00HDC,M7C,0.7,0.8,0.2,3,1,52,48,M7C Defaulted,,1:00HDC.M7C0001
1:00HDC,M7C,0.9000001,0.89999986,0.39999998,1,1,52,48,M7C Leftover,,1:00HDC.M7C0002
1:00HDC,A2D,33,4.9,171.1,31,268,92,78,A2D Defaulted,,1:00HDC.A2D0001
1:00HDC,A2D,36,5.799988,172.8999,1,271,92,78,A2D Leftover,,1:00HDC.A2D0002
1:00HE,M7C,0.7,0.8,0.2,3,1,52,48,M7C Defaulted,,1:00HE.M7C0001
1:00HE,M7C,0.9000001,0.89999986,0.39999998,1,1,52,48,M7C Leftover,,1:00HE.M7C0002
1:00HE,A2D,25.6,5,151.8,31,238,92,78,A2D Defaulted,,1:00HE.A2D0001
1:00HE,A2D,28.399963,4.800003,152.1997,1,238,92,78,A2D Leftover,,1:00HE.A2D0002
1:00HF,J3C,3.1,0.9,18,8,50,52,48,J3C Defaulted,,1:00HF.J3C0001
1:00HF,J3C,3.2000008,0.9000006,18,1,50,52,48,J3C Leftover,,1:00HF.J3C0002
1:00HF,M7C,0.7,0.8,0.2,3,1,52,48,M7C Defaulted,,1:00HF.M7C0001
