geoloc,berthid,berthtype,draft,avail,len,cap,ute,lat,lon
QHPB,QHPBBBULK/RORO01,5,37,0,6156,99999,1,24.983334,55.05
QHPB,QHPBGENERAL PU01,10,43,0,4001,99999,1,24.983334,55.05
QHPB,QHPBVISA      01,18,99,0,9999,99999,1,24.983334,55.05
QHPD,QHPDBBULK/RORO01,5,37,0,656,99999,1,25.966667,56.05
QHPD,QHPDGENERAL PU01,10,37,0,1968,99999,1,25.966667,56.05
QHPF,QHPFGENERAL PU01,10,42,0,1508,99999,1,24.516666,54.366665
QHPF,QHPFGENERAL PU02,10,34,0,1508,99999,1,24.516666,54.366665
QHPF,QHPFVISA      01,18,99,0,9999,99999,1,24.516666,54.366665
QTUP,MOREHEAD CITY BG-QTUP -19792,1,55,0,5000,99999,1,34.65278,-76.675835
RCYQ,RCYQVISA      01,18,99,0,9999,99999,1,23.616667,58.633335
RCYT,RCYTVISA      01,18,99,0,9999,99999,1,23.616667,58.6
RELG,RELGVISA      01,18,99,0,9999,99999,1,35.05,136.86667
REPV,REPVBBULK/CONT01,4,37,0,1000,99999,1,26.205278,127.67167
REPV,REPVBBULK/RORO01,5,34,0,1067,99999,1,26.205278,127.67167
REPV,REPVBBULK/RORO02,5,34,0,1554,99999,1,26.205278,127.67167
REPV,REPVBBULK/RORO03,5,34,0,505,99999,1,26.205278,127.67167
REPV,REPVBBULK/RORO04,5,34,0,501,99999,1,26.205278,127.67167
REPV,REPVVISA      01,18,99,0,9999,99999,1,26.205278,127.67167
RGJW,RGJWGENERAL PU01,10,99,0,9999,99999,1,40.833332,14.266666
RGJW,RGJWVISA      01,18,99,0,9999,99999,1,40.833332,14.266666
RQNK,RQNKVISA      01,18,99,0,9999,99999,1,29.95,-90.01667
RRHU,RRHUVISA      01,18,99,0,9999,99999,1,40.716667,-74.03333
RRRK,NEW YORK berth group-RRRK,1,55,0,5000,99999,1,40.666668,-73.96667
RUAQ,RUAQ BG,10,50,0,1000,99999,1,41.5,-71.333336
RULV,NEWPORT NEWS berth group-RULV,1,55,0,5000,99999,1,37,-76.4
SBEA,NORFOLK berth group-SBEA,1,55,0,5000,99999,1,36.91,-76.3275
SBEQ,SBEQ,10,50,0,1000,99999,1,36.933334,-76.28333
SERU,SERUBBULK/RORO02,5,35,0,1000,99999,1,37.816666,-122.333336
SERU,SERUBBULK/RORO03,5,35,0,1200,99999,1,37.816666,-122.333336
SERU,SERUGENERAL PU12,10,35,0,1459,99999,1,37.816666,-122.333336
SERU,SERUVISA      01,18,99,0,9999,99999,1,37.816666,-122.333336
SMXS,SMXSVISA      01,18,99,0,9999,99999,1,34.6475,135.4289
STRM,STRMGENERAL PU01,10,40,0,1600,99999,1,38.12611,13.368889
SVCN,SVCNVISA      01,18,99,0,9999,99999,1,8.95,-79.53333
SYZZ,SYZZBBULK/RORO01,5,38,0,2000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO02,5,37,0,1000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO03,5,38,0,1000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO04,5,36,0,2000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO05,5,38,0,2000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO06,5,38,0,1000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO07,5,38,0,1000,99999,1,21.333334,-157.96666
SYZZ,SYZZBBULK/RORO08,5,40,0,1000,99999,1,21.333334,-157.96666
TGWS,TGWSVISA      01,18,99,0,9999,99999,1,37.933334,23.633333
TKDW,TKDWBBULK/RORO01,5,36,0,2453,99999,1,36.05,129.36667
TKDW,TKDWBBULK/RORO02,5,36,0,656,99999,1,36.05,129.36667
TKDW,TKDWBBULK/RORO03,5,36,0,2545,99999,1,36.05,129.36667
TKDW,TKDWBBULK/RORO04,5,39,0,787,99999,1,36.05,129.36667
TKDW,TKDWBBULK/RORO05,5,39,0,1056,99999,1,36.05,129.36667
TKDW,TKDWGENERAL PU04,10,36,0,1640,99999,1,36.05,129.36667
