Day,Airport,Geoloc,Fleet,AircraftType,Arrivals,Departures,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay
18,THYNA,FUQN,STRATEGIC,C-17,2,3,1.126,4.500,.000,.000,.000,.000,.000,.000,.000,NO,.000
18,THYNA,FUQN,STRATEGIC,KC-10,2,1,.000,3.941,.000,.000,.000,.000,.000,.000,.000,NO,.000
18,MATMATA,HNTK,STRATEGIC,B-747P,2,2,.000,6.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
18,LAJES,MQNA,STRATEGIC,C-17,6,8,.000,.000,.000,13.500,.000,.000,.000,57.276,.000,NO,.000
18,LAJES,MQNA,STRATEGIC,KC-10,2,1,.000,.000,.000,3.000,.000,.000,.000,.914,.000,NO,.000
18,JB LANGLEY-EUSTIS,MUHJ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
18,MAXWELL AFB,PNQS,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
18,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,.442,.000,NO,.000
18,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,4.509,.000,NO,.000
18,POPE AAF,TMKH,STRATEGIC,KC-10,2,1,10.000,.000,.000,.000,.000,.000,2.387,10.000,.000,NO,.000
18,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,8.245,.000,NO,.000
18,RAMSTEIN AB,TYFR,STRATEGIC,C-17,2,3,.000,.000,.000,4.500,.000,.000,.000,28.850,.000,NO,.000
18,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,2,.000,.000,.000,1.500,.000,.000,.000,24.595,.000,NO,.000
18,TRAVIS AFB,XDAT,STRATEGIC,B-747P,1,2,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
18,TRAVIS AFB,XDAT,STRATEGIC,KC-10,1,2,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
19,JB CHARLESTON,DKFX,STRATEGIC,C-17,4,6,.000,.000,9.000,.000,.000,.000,.000,51.967,.000,NO,.000
19,THYNA,FUQN,STRATEGIC,C-17,2,2,.000,4.500,.000,.000,.000,.000,2.758,.000,.000,NO,.000
19,THYNA,FUQN,STRATEGIC,KC-10,1,2,2.059,3.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
19,MATMATA,HNTK,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
19,LAJES,MQNA,STRATEGIC,C-17,2,2,.000,.000,.000,4.500,.000,.000,.000,22.742,.000,NO,.000
19,LAJES,MQNA,STRATEGIC,KC-10,3,4,.000,.000,.000,4.500,.000,.000,.000,26.086,.000,NO,.000
19,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,1,0,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
19,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
19,POPE AAF,TMKH,STRATEGIC,B-747P,2,2,6.000,.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
19,POPE AAF,TMKH,STRATEGIC,C-17,3,1,6.750,.000,.000,.000,.000,.000,.000,34.599,.000,NO,.000
19,POPE AAF,TMKH,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,6.281,10.000,.000,NO,.000
19,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,2,2,.000,.000,.000,3.000,.000,.000,.000,27.000,.000,NO,.000
19,TRAVIS AFB,XDAT,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
19,TRAVIS AFB,XDAT,STRATEGIC,C-17,1,0,.000,.000,1.130,.000,.000,.000,.000,.000,.000,NO,.000
20,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
20,JB CHARLESTON,DKFX,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,6.092,.000,NO,.000
20,JB CHARLESTON,DKFX,STRATEGIC,C-17,2,8,.000,.000,4.500,.000,.000,.000,.000,8.033,.000,NO,.000
20,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
20,THYNA,FUQN,STRATEGIC,KC-10,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
20,ALEXANDRIA INTL,GAMH,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
20,LAJES,MQNA,STRATEGIC,C-17,8,8,.000,.000,.000,15.855,.000,.000,.105,17.180,.000,NO,.000
20,LAJES,MQNA,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
20,MAXWELL AFB,PNQS,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
20,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,15.000,.000,NO,.000
20,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,2,1,.000,.000,.000,3.000,.000,.000,.000,11.915,.000,NO,.000
20,POPE AAF,TMKH,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,5.637,.000,NO,.000
20,POPE AAF,TMKH,STRATEGIC,C-17,9,7,20.250,.000,.000,.000,.000,.000,4.381,73.742,.000,NO,.000
20,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,2,1,.000,.000,.000,3.000,.000,.000,.000,16.245,.000,NO,.000
20,RAMSTEIN AB,TYFR,STRATEGIC,C-17,3,0,.000,.000,.000,6.750,.000,.000,.000,25.886,.000,NO,.000
20,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
20,TRAVIS AFB,XDAT,STRATEGIC,B-747P,2,2,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
20,TRAVIS AFB,XDAT,STRATEGIC,C-17,2,1,.000,.000,5.620,.000,.000,.000,.000,.000,.000,NO,.000
20,TRAVIS AFB,XDAT,STRATEGIC,KC-10,2,0,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
21,JB CHARLESTON,DKFX,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,5.908,.000,NO,.000
21,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
21,THYNA,FUQN,STRATEGIC,C-17,7,5,.000,15.673,.000,.000,.000,.000,.000,.000,.000,NO,.000
21,FORBES FLD,GUQE,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
21,FORBES FLD,GUQE,STRATEGIC,C-5A,1,1,3.750,.000,.000,.000,.000,.000,.000,11.250,.000,NO,.000
21,MATMATA,HNTK,STRATEGIC,B-747P,2,0,.000,6.000,.000,.000,.000,.000,.000,11.552,.000,NO,.000
21,LAJES,MQNA,STRATEGIC,C-17,6,6,.000,.000,.000,15.645,.000,.000,5.648,19.424,.000,NO,.000
