Day,ShipType,ShipsAvailable,TotalUsed,VISAMission,CONUS,Tunisia
15,BARGE(LASH),1,0,0,0,0
15,BARGE(T-AKB),1,0,0,0,0
15,BREAKBULK,2,0,0,0,0
15,CAR TRANS,0,0,0,0,0
15,CLF,8,0,0,0,0
15,COMBO,1,0,0,0,0
15,CONT-NSS,0,0,0,0,0
15,CONT-SS,0,0,0,0,0
15,FSS,4,0,0,0,0
15,PAX,1,0,0,0,0
15,POL TANKER,2,0,0,0,0
15,RO/RO,14,3,0,0,3
15,RO/RO(T-AKR),5,0,0,0,0
15,T-ACS,7,0,0,0,0
15,T-AH,2,0,0,0,0
15,VISA CONT,0,0,0,0,0
16,BARGE(LASH),2,0,0,0,0
16,BARGE(T-AKB),1,0,0,0,0
16,BREAKBULK,18,0,0,0,0
16,CAR TRANS,0,0,0,0,0
16,CLF,8,0,0,0,0
16,COMBO,1,0,0,0,0
16,CONT-NSS,13,0,0,0,0
16,CONT-SS,15,0,0,0,0
16,FSS,4,3,0,0,3
16,PAX,2,0,0,0,0
16,POL TANKER,2,0,0,0,0
16,RO/RO,20,3,0,0,3
16,RO/RO(T-AKR),5,0,0,0,0
16,T-ACS,7,1,0,0,1
16,T-AH,2,0,0,0,0
16,VISA CONT,4,0,0,0,0
17,BARGE(LASH),4,0,0,0,0
17,BARGE(T-AKB),1,0,0,0,0
17,BREAKBULK,20,0,0,0,0
17,CAR TRANS,4,0,0,0,0
17,CLF,8,0,0,0,0
17,COMBO,1,0,0,0,0
17,CONT-NSS,52,2,0,0,2
17,CONT-SS,15,0,0,0,0
17,FSS,4,3,0,0,3
17,PAX,2,0,0,0,0
17,POL TANKER,2,0,0,0,0
17,RO/RO,24,7,0,0,7
17,RO/RO(T-AKR),5,1,0,0,1
17,T-ACS,7,3,0,0,3
17,T-AH,2,0,0,0,0
17,VISA CONT,10,0,0,0,0
18,BARGE(LASH),4,0,0,0,0
18,BARGE(T-AKB),1,0,0,0,0
18,BREAKBULK,20,0,0,0,0
18,CAR TRANS,6,0,0,0,0
18,CLF,8,0,0,0,0
18,COMBO,2,0,0,0,0
18,CONT-NSS,57,2,0,0,2
18,CONT-SS,15,0,0,0,0
18,FSS,4,3,0,0,3
18,PAX,2,0,0,0,0
18,POL TANKER,2,0,0,0,0
18,RO/RO,24,9,0,0,9
18,RO/RO(T-AKR),5,1,0,0,1
18,T-ACS,7,3,0,0,3
18,T-AH,2,0,0,0,0
18,VISA CONT,10,0,0,0,0
19,BARGE(LASH),4,0,0,0,0
19,BARGE(T-AKB),1,0,0,0,0
19,BREAKBULK,20,0,0,0,0
19,CAR TRANS,6,0,0,0,0
19,CLF,8,0,0,0,0
19,COMBO,2,0,0,0,0
19,CONT-NSS,57,4,0,0,4
19,CONT-SS,15,0,0,0,0
19,FSS,4,3,0,0,3
19,PAX,2,0,0,0,0
19,POL TANKER,2,0,0,0,0
19,RO/RO,24,10,0,0,10
19,RO/RO(T-AKR),5,1,0,0,1
19,T-ACS,7,4,0,0,4
19,T-AH,2,0,0,0,0
19,VISA CONT,10,0,0,0,0
20,BARGE(LASH),4,0,0,0,0
20,BARGE(T-AKB),6,0,0,0,0
20,BREAKBULK,20,0,0,0,0
20,CAR TRANS,6,0,0,0,0
20,CLF,10,0,0,0,0
20,COMBO,3,0,0,0,0
20,CONT-NSS,57,3,0,0,3
20,CONT-SS,15,0,0,0,0
20,FSS,4,3,0,0,3
20,PAX,2,0,0,0,0
20,POL TANKER,2,0,0,0,0
20,RO/RO,28,10,0,0,10
20,RO/RO(T-AKR),5,1,0,0,1
20,T-ACS,7,4,0,0,4
20,T-AH,2,0,0,0,0
20,VISA CONT,10,0,0,0,0
21,BARGE(LASH),4,0,0,0,0
21,BARGE(T-AKB),6,0,0,0,0
21,BREAKBULK,20,0,0,0,0
21,CAR TRANS,6,0,0,0,0
21,CLF,10,0,0,0,0
21,COMBO,3,0,0,0,0
21,CONT-NSS,57,5,0,0,5
21,CONT-SS,15,0,0,0,0
21,FSS,4,3,0,0,3
21,PAX,2,0,0,0,0
