Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
EYBD,SUBIC BAY INTL,1,RAMP1,3,C-5A,2,UPLOAD,3.75,0.6666667,0.6666667,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,3,C-5A,3,ENROUTE,3.25,0.6666667,0.6666667,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,3,C-5A,4,DOWNLOAD,3.25,0.6666667,0.6666667,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,5,KC-10,2,UPLOAD,5,1.6666666,1.6666666,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,5,KC-10,3,ENROUTE,1.5,1.6666666,1.6666666,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,5,KC-10,4,DOWNLOAD,3,1.6666666,1.6666666,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,9,9,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,3,3,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,3,3,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,5,KC-10,2,UPLOAD,5,7.4999995,7.4999995,1,0
FBNV,DAVIS MONTHAN AFB,1,DAVIS MONTHAN AFB -FBNV-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,7.4999995,7.4999995,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,1,B-747P,2,UPLOAD,3,2.1052632,2.1052632,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,1,B-747P,3,ENROUTE,1.5,2.1052632,2.1052632,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,1,B-747P,4,DOWNLOAD,3,2.1052632,2.1052632,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,2,C-17,2,UPLOAD,2.25,4,4,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,2,C-17,3,ENROUTE,2.25,4,4,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,2,C-17,4,DOWNLOAD,2.25,4,4,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,3,C-5A,2,UPLOAD,3.75,1.3333334,1.3333334,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,3,C-5A,3,ENROUTE,3.25,1.3333334,1.3333334,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,3,C-5A,4,DOWNLOAD,3.25,1.3333334,1.3333334,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,5,KC-10,2,UPLOAD,5,3.3333333,3.3333333,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,5,KC-10,3,ENROUTE,1.5,3.3333333,3.3333333,1,0
FGDC,DIEGO GARCIA NSF,1,RAMP1,5,KC-10,4,DOWNLOAD,3,3.3333333,3.3333333,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,9,9,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,3,3,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,3,3,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,5,KC-10,2,UPLOAD,5,7.4999995,7.4999995,1,0
FJXT,DOVER AFB,1,DOVER AFB -FJXT-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,7.4999995,7.4999995,1,0
