RequirementIndex,VehicleType,PolMoved,PaxMoved,BulkOrArea,OversizedOrVolume,OutsizedOrContainers,CargoWeight,StartDate,LoadDate,OffloadDate,MarryUpDate,ClosureDate,Sorties,PoeGeoloc,PodGeoloc,DeploymentDistance,TransshipmentPoint,SeqNum,DeploymentMode,ShipNumber,ShipSpeed,SpoeArrival,SpoeDepart,ConvoyDeparts,ConvoyArrives,ShipAircraftArrives,ShipBerthDay,ConvoyRouteCode,PoeBerthType,PodBerthType,ShipVoyage,LoadRule,VisaMove,ReqId,CommodityType,Service,SplitRlnCode,ParentUnitCode,UnitName,UnitDescription,Tpsn,AircraftName,BrigadeKey,Utc,Uic,ForceModule,NumberOfAircraft,ShipId,TonsDelivered,Origin,Destination,AvailDate,Ead,Lad,Rdd,PrefMode,DeploymentMeans,PaxRequired,CargoRequired,FleetId,TheaterNumber,CommodityName,OriginName,PoeName,PodName,ConvoyRoute,DestinationName,TheaterName,Operation,ActualModeName,ShipName,PoeBerthId,PodBerthId,FleetName,VehicleName,ServiceName,CCC,ElistDest,ElistClosureDate,ForceModules,LoadedDraft,SpoeAvail,Organization,HandoffOrigin,HandoffOriginName,HandoffDate
9,1,0,20,0,0,0,0,64,66,68,68,68,0,TMKH,FUQN,6319,0,21,0,24,0,0,66,99999,99999,68,99999,-1,1,1,0,0,0,1:00FDA,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,"",0,HCTL,WSVC,0,28,32,33,1,0,20,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-XDAT016,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
10,5,0,0,14.9,17.6,0,32.5,11,13,14,14,15,0,TMKH,FUQN,4645,0,22,0,157,0,0,13,99999,99999,14,99999,-1,1,1,1,0,0,1:00FE,6,1,,,"",HHC AIRBORNE BRIGADE,01082,,ABN,3MBNN,"",ABN,0,"",32.5,HCTL,WSVC,0,12,16,16,1,0,30,46.199997,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT004,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
10,1,0,30,0,0,0,0,11,13,15,15,15,0,TMKH,FUQN,6319,0,23,0,9,0,0,13,99999,99999,15,99999,-1,1,1,1,0,0,1:00FE,6,1,,,"",HHC AIRBORNE BRIGADE,01082,,ABN,3MBNN,"",ABN,0,"",0,HCTL,WSVC,0,12,16,16,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-XDAT001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
10,2,0,0,0,13.299998,0,13.299998,12,14,15,15,16,0,TMKH,FUQN,4303,0,24,0,74,0,0,14,99999,99999,15,99999,-1,1,1,2,0,0,1:00FE,6,1,,,"",HHC AIRBORNE BRIGADE,01082,,ABN,3MBNN,"",ABN,0,"",13.299998,HCTL,WSVC,0,12,16,16,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
10,5,0,0,0.4,0,0,0.4,13,15,16,16,16,0,TMKH,FUQN,4303,0,25,0,162,0,0,15,99999,99999,16,99999,-1,1,1,0,0,0,1:00FE,6,1,,,"",HHC AIRBORNE BRIGADE,01082,,ABN,3MBNN,"",ABN,0,"",0.4,HCTL,WSVC,0,12,16,16,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT009,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,5,0,0,7.8000007,0,0,7.8000007,11,13,14,14,15,0,TMKH,FUQN,4645,0,26,0,157,0,0,13,99999,99999,14,99999,-1,1,1,1,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",7.8000007,HCTL,WSVC,0,13,16,17,1,0,517,285.9,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT004,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,1,0,101,78.100006,0,0,78.100006,11,13,15,15,15,0,TMKH,FUQN,6319,0,27,0,9,0,0,13,99999,99999,15,99999,-1,1,1,1,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",78.100006,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-XDAT001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,2,0,28,6,14.700001,0,20.7,12,14,15,15,16,0,TMKH,FUQN,4303,0,28,0,74,0,0,14,99999,99999,15,99999,-1,1,1,2,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",20.7,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,2,0,28,6,29.4,0,35.4,12,14,15,15,16,0,TMKH,FUQN,4303,0,29,0,75,0,0,14,99999,99999,15,99999,-1,1,1,1,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",35.4,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX002,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,5,0,0,19,14.700001,0,33.7,13,15,16,16,16,0,TMKH,FUQN,4303,0,30,0,162,0,0,15,99999,99999,16,99999,-1,1,1,0,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",33.7,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT009,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,2,0,28,6,29.4,0,35.4,13,15,17,17,17,0,TMKH,FUQN,4987,0,31,0,94,0,0,15,99999,99999,17,99999,-1,1,1,1,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",35.4,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-PQWY001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,2,0,28,2,29.4,0,31.4,13,15,17,17,17,0,TMKH,FUQN,4987,0,32,0,103,0,0,15,99999,99999,17,99999,-1,1,1,1,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",31.4,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-XDAT001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,2,0,28,0,29.4,0,29.4,13,15,17,17,17,0,TMKH,FUQN,4303,0,33,0,87,0,0,15,99999,99999,17,99999,-1,1,1,0,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",29.4,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX014,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,1,0,276,0,0,0,0,13,15,17,17,17,0,TMKH,FUQN,6319,0,34,0,10,0,0,15,99999,99999,17,99999,-1,1,1,1,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",0,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-XDAT002,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,2,0,0,0,10.699987,0,10.699987,13,15,17,17,17,0,TMKH,FUQN,4303,0,35,0,88,0,0,15,99999,99999,17,99999,-1,1,1,0,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",10.699987,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX015,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
12,5,0,0,3.3,0,0,3.3,14,16,18,18,18,0,TMKH,FUQN,4645,0,36,0,155,0,0,16,99999,99999,18,99999,-1,1,1,2,0,0,1:00FG,6,1,,,"",INF BN  ABN,01082,,ABN,0YSNN,"",ABN,0,"",3.3,HCTL,WSVC,0,13,16,17,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT002,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
