Name,GeolocCode,LocationType,CountryState,Latitude,Longitude
RICHMOND INTL,CVVM,JAP,VIRGINIA,37.50528,-77.319725
CADILLAC,CWBG,CTY,MICHIGAN,44.233334,-85.36667
CADIZ,CWCE,CTY,OHIO,40.3,-81
CADIZ,CWCP,PRT,SPAIN,36.383335,-6.284167
CAGAYAN DE ORO,CWGV,PRT,PHILIPPINES,8.5,124.65
CP LEJEUNE,CWKR,STG,NORTH CAROLINA,34.666668,-77.333336
CAIRO WEST,CWKW,AFD,EGYPT,30.116388,30.915556
CALDWELL,CWWK,CTY,IDAHO,43.65,-116.666664
CAMDEN,CYCQ,CTY,ARKANSAS,33.516666,-92.833336
CAMDEN,CYEQ,CTY,NEW JERSEY,39.933334,-75.11667
CAMDEN,CYJU,CTY,SOUTH CAROLINA,34.266666,-80.6
CP J T ROBINSON,CYPV,AIN,ARKANSAS,34.116665,-92.03333
CAMP H M SMITH,CYTW,ADM,HAWAII,21.319166,-157.92944
CAMPBELL AAF,CYWF,MAP,KENTUCKY,36.66861,-87.49611
CANDO,CZJF,CTY,NORTH DAKOTA,48.483334,-99.2
CANNON AFB,CZQZ,MAP,NEW MEXICO,34.3825,-103.3225
CAPE GIRARDEAU,DBMT,CTY,MISSOURI,37.316666,-89.51667
CAPE MAY,DBRT,CTY,NEW JERSEY,39.083332,-74.816666
ABRAHAM LINCOLN C,DCFT,JAP,ILLINOIS,39.844166,-89.678055
FORT WORTH NAS JR,DDPF,MAP,TEXAS,32.769165,-97.441666
CARSWELL,DDPK,AMO,TEXAS,32.783333,-97.433334
CARSWELL,DDQW,NAV,TEXAS,32.733334,-97.433334
CARTHAGE,DEFW,CTY,MISSOURI,37.166668,-94.333336
CASPER,DERM,CTY,WYOMING,42.833332,-106.333336
CASTLE,DESR,APT,CALIFORNIA,37.380554,-120.56834
CECIL,DGAB,MAP,FLORIDA,30.21889,-81.87722
CEDAR RAPIDS,DGGB,CTY,IOWA,42.008335,-91.64389
CEDAR RAPIDS,DGGD,NYI,IOWA,41.966667,-91.66472
CENTERVILLE,DGXC,AIN,ALABAMA,32.933334,-87.13333
CHAMBERSBURG,DHQB,CTY,PENNSYLVANIA,39.95,-77.666664
