RoundTripID,MissionID,TailNumber,Fleet,HomeFleet,AircraftType,BaseAircraftType,Locked,MultiScoop,StartDay,EndDay,Completed,Duration,MsnFlyProportion,TankerMission,NumStops,NumAirRefuelings,TotalCrewRestHours,MaxRoutePayload,LoadedPAX,LatePAX,TotalLoadedStons,LateStons,LoadedPallets,LoadedContainers20,LoadedContainers40,LoadedBulkSTons,LoadedOversizeSTons,LoadedOutsizeSTons,TotalFlyingHours,LoadedFlyingHours,Miles,LoadedMiles,ChannelMission,ChannelName,ChannelStartTime,FuelLoadedPounds,StartApt,APOE,APOD,EndApt,ScheduledThroughToHome,Medevac
B747-400-AEDY004-D0023R0001,B747-400-AEDY004-D0023R0001S01,B747-400-AEDY004,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,23,26.037348,YES,3.0373478,8.196731,NO,6,0,36.79861,121.6,44,44,0,0,0,0,0,0,0,0,24.89632,11.188563,10243,5006,NO,"",-1,0,AEDY,*,FUQN,AEDY,YES,NO
C17-DKFX003-D0022R0002,C17-DKFX003-D0022R0002S01,C17-DKFX003,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,22.562353,26.108734,YES,3.546381,7.317559,NO,7,0,38.25,81.7269,25,0,39.9,0,1,0,0,39.9,0,0,25.950851,12.937865,9535,4987,NO,"",-1,0,DKFX,TMKH,FUQN,DKFX,YES,NO
C17-PQWY002-D0016R0001,C17-PQWY002-D0016R0001S03,C17-PQWY002,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,22.663895,26.108734,YES,3.4448395,7.533254,NO,7,0,38.25,81.7269,11,0,32.5,0,4,0,0,32.5,0,0,25.950851,12.937865,9535,4987,NO,"",-1,0,DKFX,TMKH,FUQN,DKFX,YES,NO
C17-XDAT003-D0016R0001,C17-XDAT003-D0016R0001S03,C17-XDAT003,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,22.66323,26.202484,YES,3.5392532,7.332296,NO,7,0,38.25,81.7269,28,0,39.2,0,0,0,0,12,8.1,19.1,25.950851,12.937865,9535,4987,NO,"",-1,0,DKFX,TMKH,FUQN,DKFX,YES,NO
C17-PQWY004-D0024R0001,C17-PQWY004-D0024R0001S01,C17-PQWY004,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,24,26.68328,YES,2.683281,10.304091,NO,6,0,25.5,86.1,0,0,16,16,16,0,0,16,0,0,27.648773,10.092333,10528,4051,NO,"",-1,0,PQWY,FJXT,HNTK,DKFX,YES,NO
C17-DKFX004-D0024R0001,C17-DKFX004-D0024R0001S01,C17-DKFX004,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,24,26.733734,YES,2.7337341,9.809716,NO,6,0,25.5,70.62,2,0,7.1,0,0,0,0,0,7.1,0,26.817156,11.911703,9993,4861,NO,"",-1,0,DKFX,YWHG,HNTK,DKFX,YES,NO
B747-400-XDAT001-D0023R0005,B747-400-XDAT001-D0023R0005S01,B747-400-XDAT001,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,23.55493,26.848303,YES,3.293373,8.969818,NO,6,0,37.5,116.40787,284,0,0,0,0,0,0,0,0,0,29.540958,11.56171,12568,5189,NO,"",-1,0,XDAT,*,HNTK,XDAT,YES,NO
B747-400-XDAT003-D0023R0003,B747-400-XDAT003-D0023R0003S01,B747-400-XDAT003,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,23.545618,26.9726,YES,3.4269829,9.555829,NO,6,0,39,96.73357,355,0,0,0,0,0,0,0,0,0,32.74766,15.070764,13960,6752,NO,"",-1,0,XDAT,YWHG,HNTK,XDAT,YES,NO
B747-400-AEDY006-D0024R0001,B747-400-AEDY006-D0024R0001S01,B747-400-AEDY006,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,24,27.089542,YES,3.0895424,8.463719,NO,6,0,37.5,121.6,355,0,0,0,0,0,0,0,0,0,26.14902,11.764101,10924,5367,NO,"",-1,0,AEDY,FNWZ,HNTK,AEDY,YES,NO
B747-400-AEDY005-D0024R0001,B747-400-AEDY005-D0024R0001S01,B747-400-AEDY005,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,24,27.136765,YES,3.1367645,8.697611,NO,6,0,36,121.6,355,0,0,0,0,0,0,0,0,0,27.282356,12.258549,11506,5637,NO,"",-1,0,AEDY,*,HNTK,AEDY,YES,NO
B747-400-XDAT008-D0024R0001,B747-400-XDAT008-D0024R0001S01,B747-400-XDAT008,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,24,27.285831,YES,3.2858315,8.935316,NO,6,0,39,114.84165,355,0,0,0,0,0,0,0,0,0,29.359943,12.578367,12387,5710,NO,"",-1,0,XDAT,BPWZ,FUQN,XDAT,YES,NO
B747-400-AEDY001-D0024R0002,B747-400-AEDY001-D0024R0002S01,B747-400-AEDY001,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,24.812103,27.400639,YES,2.5885353,10.092527,NO,6,0,25.5,105.358505,355,355,0,0,0,0,0,0,0,0,26.124863,14.153217,10888,6319,NO,"",-1,0,AEDY,TMKH,FUQN,AEDY,YES,NO
C5A-XDAT001-D0021R0001,C5A-XDAT001-D0021R0001S01,C5A-XDAT001,STRATEGIC,STRATEGIC,C-5A,C-5A,NO,YES,21,27.502645,YES,6.5026455,9.159895,NO,9,0,69.49999,52.71663,97,97,3,3,0,0,0,3,0,0,59.56355,39.871414,22763,15655,NO,"",-1,0,XDAT,*,*,XDAT,YES,NO
C17-XDAT010-D0020R0002,C17-XDAT010-D0020R0002S02,C17-XDAT010,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,24.164299,27.524399,YES,3.3600998,7.929054,NO,7,0,38.25,86.1,0,0,16,16,16,0,0,16,0,0,26.642412,12.478568,9626,4805,NO,"",-1,0,DKFX,FJXT,HNTK,DKFX,YES,NO
C17-XDAT003-D0016R0001,C17-XDAT003-D0016R0001S04,C17-XDAT003,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,27.327778,27.66471,YES,0.33693123,17.322098,NO,2,0,15,0,0,0,0,0,0,0,0,0,0,0,5.8363557,0,2060,0,NO,"",-1,0,DKFX,"","",XDAT,YES,NO
KC10-XDAT001-D0024R0004,KC10-XDAT001-D0024R0004S01,KC10-XDAT001,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,24,27.702168,YES,3.7021675,8.873707,NO,8,0,34.254456,72.560104,0,0,40.8,0,3,0,0,38.1,2.7,0,32.851948,11.546287,12910,4645,NO,"",-1,0,XDAT,TMKH,FUQN,XDAT,YES,NO
CH47-SEA1001-D0027R0001,CH47-SEA1001-D0027R0001S01,CH47-SEA1001,STRATEGIC,STRATEGIC,CH47,CH47,NO,NO,27.34375,27.89493,YES,0.5511799,15.923939,NO,3,0,0,10.5,0,0,10,0,10,0,0,10,0,0,8.776955,8.266666,248,124,NO,"",-1,0,SEA1,SEA1,BQWK,SEA1,YES,NO
CH47-SEA1002-D0027R0001,CH47-SEA1002-D0027R0001S01,CH47-SEA1002,STRATEGIC,STRATEGIC,CH47,CH47,NO,NO,27.4375,27.98868,YES,0.5511799,15.923939,NO,3,0,0,10.5,0,0,10,0,10,0,0,10,0,0,8.776955,8.266666,248,124,NO,"",-1,0,SEA1,SEA1,BQWK,SEA1,YES,NO
CH47-SEA1003-D0027R0001,CH47-SEA1003-D0027R0001S01,CH47-SEA1003,STRATEGIC,STRATEGIC,CH47,CH47,NO,NO,27.53125,28.08243,YES,0.5511799,15.923939,NO,3,0,0,10.5,0,0,10,0,10,0,0,10,0,0,8.776955,8.266666,248,124,NO,"",-1,0,SEA1,SEA1,BQWK,SEA1,YES,NO
C17-PQWY004-D0024R0001,C17-PQWY004-D0024R0001S02,C17-PQWY004,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,27.808332,28.15007,YES,0.34173775,17.41601,NO,2,0,15,0,0,0,0,0,0,0,0,0,0,0,5.951708,0,2105,0,NO,"",-1,0,DKFX,"","",PQWY,YES,NO
C17-DKFX001-D0025R0005,C17-DKFX001-D0025R0005S01,C17-DKFX001,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,25,28.196917,YES,3.1969166,7.414298,NO,6,0,38.25,81.7269,28,0,0.1,0,0,0,0,0.1,0,0,23.702892,10.652325,8886,4303,NO,"",-1,0,DKFX,TMKH,FUQN,DKFX,YES,NO
KC10-XDAT002-D0021R0004,KC10-XDAT002-D0021R0004S02,KC10-XDAT002,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,YES,24.314898,28.288385,YES,3.9734879,7.7673993,NO,8,0,45.5,79.005005,0,0,22.4,22.4,22,0,0,22.4,0,0,30.863667,14.172625,11962,5708,NO,"",-1,0,PTFL,*,HNTK,XDAT,YES,NO
C17-PQWY001-D0020R0002,C17-PQWY001-D0020R0002S02,C17-PQWY001,STRATEGIC,STRATEGIC,C-17,C-17,NO,YES,24.789299,28.329468,YES,3.5401688,8.746504,NO,8,0,53.25,86.1,28,28,16,16,16,0,0,16,0,0,30.9641,14.456769,11430,5706,NO,"",-1,0,DKFX,*,*,DKFX,YES,NO
KC10-XDAT030-D0025R0001,KC10-XDAT030-D0025R0001S01,KC10-XDAT030,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.25,28.400448,YES,3.1504478,8.287947,NO,6,0,30.463823,71.331604,0,0,22,22,22,0,0,22,0,0,26.110743,10.400518,10565,4405,NO,"",-1,0,XDAT,FJXT,HNTK,PTFL,YES,NO
CH47-SEA1001-D0028R0002,CH47-SEA1001-D0028R0002S01,CH47-SEA1001,STRATEGIC,STRATEGIC,CH47,CH47,NO,NO,28.17618,28.72736,YES,0.5511799,15.923939,NO,3,0,0,10.5,0,0,10,0,10,0,0,10,0,0,8.776955,8.266666,248,124,NO,"",-1,0,SEA1,SEA1,BQWK,SEA1,YES,NO
KC10-XDAT031-D0025R0001,KC10-XDAT031-D0025R0001S01,KC10-XDAT031,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.333334,28.786879,YES,3.4535446,9.232557,NO,7,0,32.463837,71.331604,0,0,22,22,22,0,0,22,0,0,31.885048,10.400518,12754,4405,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
C17-XDAT004-D0025R0002,C17-XDAT004-D0025R0002S01,C17-XDAT004,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,25.240404,28.863409,YES,3.623005,9.095234,NO,8,0,53.25,79.81125,0,0,4.2,4.2,0,0,0,2.8,1.4,0,32.952076,17.760933,12150,6932,NO,"",-1,0,XDAT,QYZH,HNTK,DKFX,YES,NO
KC10-XDAT037-D0025R0001,KC10-XDAT037-D0025R0001S01,KC10-XDAT037,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.833334,29.108782,YES,3.2754478,7.971656,NO,6,0,32.5,71.331604,0,0,22,0,22,0,0,22,0,0,26.110743,10.400518,10565,4405,NO,"",-1,0,XDAT,FJXT,HNTK,PTFL,YES,NO
KC10-XDAT032-D0025R0001,KC10-XDAT032-D0025R0001S01,KC10-XDAT032,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.416666,29.169302,YES,3.752636,8.496707,NO,7,0,34.463806,71.331604,0,0,22,11,22,0,0,22,0,0,31.885048,10.400518,12754,4405,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT036-D0025R0001,KC10-XDAT036-D0025R0001S01,KC10-XDAT036,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.75,29.212948,YES,3.4629478,7.9383535,NO,7,0,37,79.005005,0,0,1.2,0.1,2,0,0,1.2,0,0,27.490105,13.469225,10946,5615,NO,"",-1,0,XDAT,YWHG,HNTK,PTFL,YES,NO
KC10-XDAT033-D0025R0001,KC10-XDAT033-D0025R0001S01,KC10-XDAT033,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.5,29.328545,YES,3.8285446,8.328242,NO,7,0,35.5,71.331604,0,0,22,0,22,0,0,22,0,0,31.885048,10.400518,12754,4405,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT034-D0025R0001,KC10-XDAT034-D0025R0001S01,KC10-XDAT034,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.583334,29.391045,YES,3.8077106,8.143547,NO,7,0,35.5,84.675,0,0,22,0,22,0,0,22,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
B747-400-XDAT002-D0026R0005,B747-400-XDAT002-D0026R0005S01,B747-400-XDAT002,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,26,29.445066,YES,3.4450665,9.63164,NO,6,0,39,105.358505,355,355,0,0,0,0,0,0,0,0,33.18164,14.153217,14202,6319,NO,"",-1,0,XDAT,TMKH,FUQN,XDAT,YES,NO
KC10-XDAT035-D0025R0001,KC10-XDAT035-D0025R0001S01,KC10-XDAT035,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,25.666666,29.453545,YES,3.7868786,8.675205,NO,8,0,39,72.560104,0,0,22.300001,21.400002,2,0,0,10.700001,11.6,0,32.851948,11.546287,12910,4645,NO,"",-1,0,XDAT,TMKH,FUQN,XDAT,YES,NO
C17-PQWY001-D0020R0002,C17-PQWY001-D0020R0002S03,C17-PQWY001,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,29.45486,29.796598,YES,0.34173775,17.41601,NO,2,0,30,0,0,0,0,0,0,0,0,0,0,0,5.951708,0,2105,0,NO,"",-1,0,DKFX,"","",PQWY,YES,NO
C17-DKFX002-D0026R0004,C17-DKFX002-D0026R0004S01,C17-DKFX002,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,26,29.962372,YES,3.9623718,7.721867,NO,7,0,66,86.1,0,0,16,0,16,0,0,16,0,0,30.596909,12.478568,11276,4805,NO,"",-1,0,DKFX,FJXT,HNTK,PQWY,YES,NO
C17-DKFX003-D0026R0003,C17-DKFX003-D0026R0003S01,C17-DKFX003,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,26.108734,29.964167,YES,3.8554325,6.910356,NO,7,0,47.482773,86.1,0,0,16,0,16,0,0,16,0,0,26.642412,12.478568,9626,4805,NO,"",-1,0,DKFX,FJXT,HNTK,DKFX,YES,NO
B747-400-XDAT001-D0026R0006,B747-400-XDAT001-D0026R0006S01,B747-400-XDAT001,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,26.848303,29.965313,YES,3.11701,9.081856,NO,5,0,37.5,106.25962,355,0,0,0,0,0,0,0,0,0,28.308235,11.00211,12226,5215,NO,"",-1,0,XDAT,FNWZ,HNTK,XDAT,YES,NO
B747-400-XDAT004-D0027R0003,B747-400-XDAT004-D0027R0003S01,B747-400-XDAT004,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,27,30.104559,YES,3.104559,9.022035,NO,5,0,37.5,121.6,355,355,0,0,0,0,0,0,0,0,28.009438,8.981012,12140,4257,NO,"",-1,0,XDAT,TMKH,FUQN,XDAT,YES,NO
B747-400-AEDY002-D0027R0002,B747-400-AEDY002-D0027R0002S01,B747-400-AEDY002,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,27,30.128029,YES,3.1280289,8.654875,NO,6,0,37.5,121.6,355,326,0,0,0,0,0,0,0,0,27.072699,12.048892,11420,5551,NO,"",-1,0,AEDY,BPWZ,HNTK,AEDY,YES,NO
C17-PQWY002-D0016R0001,C17-PQWY002-D0016R0001S04,C17-PQWY002,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,26.108734,30.152657,YES,4.0439224,7.5661464,NO,7,0,51,86.1,0,0,16,0,16,0,0,16,0,0,30.596909,12.478568,11276,4805,NO,"",-1,0,DKFX,FJXT,HNTK,PQWY,YES,NO
B747-400-XDAT006-D0027R0002,B747-400-XDAT006-D0027R0002S01,B747-400-XDAT006,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,27,30.232977,YES,3.232977,8.689047,NO,6,0,39,120.84907,12,12,0,0,0,0,0,0,0,0,28.091488,12.057094,11935,5484,NO,"",-1,0,XDAT,QYZH,HNTK,XDAT,YES,NO
B747-400-XDAT003-D0026R0004,B747-400-XDAT003-D0026R0004S01,B747-400-XDAT003,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,26.9726,30.262524,YES,3.2899227,8.954058,NO,6,0,39,119.88359,74,0,0,0,0,0,0,0,0,0,29.458157,12.15203,12540,5529,NO,"",-1,0,XDAT,FNWZ,HNTK,XDAT,YES,NO
