Day,ActivityType,TailNumber,AirportName,AirportGeoloc,AircraftType,MissionCount,FuelCapacity,FuelLoaded,AirportActivity,Bulk,Oversize,Outsize,TotalWeight,Pax,RampName,MogUsed,MogAvailable,ParkingMogUsed,ParkingMogAvailable,AircraftUse,GroundDelay,NextAirport,ChannelStop,Miles,ChannelMissionId
0,RESOURCE,"",HUNTER AAF,LEXG,"","",99999,0,"",0,0,0,0,0,HUNTER AAF -LEXG-MAP-PARKING,0,5,0,0,0,0,"",NO,0,
0,RESOURCE,"",JACKSONVILLE NAS,LSGE,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",KADENA AB,LXEZ,"","",99999,0,"",0,0,0,0,0,RAMP1,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",KANEOHE BAY MCAF,LYAX,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",KEESLER AFB,MAHG,"","",99999,0,"",0,0,0,0,0,KEESLER AFB -MAHG-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",JBSA KELLY AFB,MBPB,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",GIMHAE INTL,MEPJ,"","",99999,0,"",0,0,0,0,0,RAMP1,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",KIRTLAND AFB,MHMV,"","",99999,0,"",0,0,0,0,0,KIRTLAND AFB -MHMV-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",LAJES,MQNA,"","",99999,0,"",0,0,0,0,0,RAMP1,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",LAKENHEATH,MSET,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",LAMBERT ST LOUIS,MSQB,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",JB LANGLEY-EUSTIS,MUHJ,"","",99999,0,"",0,0,0,0,0,LANGLEY AFB -MUHJ-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",LAWSON AAF,MYXZ,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",LITTLE ROCK AFB,NKAK,"","",99999,0,"",0,0,0,0,0,LITTLE ROCK AFB -NKAK-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",GENERAL EDWARD LA,NNGX,"","",99999,0,"",0,0,0,0,0,LOGAN INTL-BOSTON -NNGX-IAP-PARKING,0,5,0,0,0,0,"",NO,0,
0,RESOURCE,"",LORING INTL,NRCH,"","",99999,0,"",0,0,0,0,0,LORING AFB -NRCH-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",LUKE AFB,NUEX,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MACDILL AFB,NVZR,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MADANIYIN,NWXN,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MALMSTROM AFB HEL,NZAS,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",FWD BASE,OPA1,"","",99999,0,"",0,0,0,0,0,RAMP1,0,1,0,0,0,0,"",NO,0,
0,RESOURCE,"",MARCH ARB,PCZP,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",EASTERN WV RGNL S,PJVY,"","",99999,0,"",0,0,0,0,0,E WV REGIONAL-SHE -PJVY-JAP-PARKING,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",MAXWELL AFB,PNQS,"","",99999,0,"",0,0,0,0,0,MAXWELL AFB -PNQS-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",JBLM MCCHORD FLD,PQWY,"","",99999,0,"",0,0,0,0,0,MCCHORD AFB -PQWY-MAP-PARKING,0,9,0,31,0,0,"",NO,0,
0,RESOURCE,"",MC CONNELL AFB,PRQE,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MC GHEE TYSON,PSXE,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MC GUIRE FLD,PTFL,"","",99999,0,"",0,0,0,0,0,MC GUIRE AFB -PTFL-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",MILDENHALL,QFQE,"","",99999,0,"",0,0,0,0,0,RAMP1,0,8,0,0,0,0,"",NO,0,
0,RESOURCE,"",MINNEAPOLIS ST PA,QJKL,"","",99999,0,"",0,0,0,0,0,MINNEAPOLIS ST PA -QJKL-JAP-PARKING,0,5,0,0,0,0,"",NO,0,
0,RESOURCE,"",MINOT AFB,QJVF,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MIRAMAR MCAS,QKJA,"","",99999,0,"",0,0,0,0,0,MIRAMAR NAS -QKJA-MAP-PARKING,0,8,0,0,0,0,"",NO,0,
0,RESOURCE,"",MOODY AFB,QSEU,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",MOUNTAIN HOME AFB,QYZH,"","",99999,0,"",0,0,0,0,0,MOUNTAIN HOME AFB -QYZH-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",MYRTLE BEACH INTL,RDRD,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",NELLIS AFB,RKMF,"","",99999,0,"",0,0,0,0,0,NELLIS AFB -RKMF-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",NORTH ISLAND NAS,RZQH,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",NORFOLK NS,SBDW,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",SAN BERNARDINO IN,SCEY,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",TUNISIASEABASE,SEA1,"","",99999,0,"",0,0,0,0,0,RAMP1,0,1,0,4,0,0,"",NO,0,
0,RESOURCE,"",OFFUTT AFB,SGBP,"","",99999,0,"",0,0,0,0,0,OFFUTT AFB -SGBP-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",HARRISBURG INTL,SHYQ,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",OSAN AB,SMYU,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
