Day,Fleet,AircraftType,OwnedAircraft,BorrowedAircraft,Shared,SchedulingCandidates,TotalUsed,TotalMissions,StartedMissions,ChannelMissions,RepositionMissions,EmptyMissions,AvailableUteHours,TotalFlyingHours,LoadedFlyingHours,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay,TotalMiles,LoadedMiles,BulkSTons,OverSTons,OutSTons,PAX,UnschedBulk,UnschedOver,UnschedOut,UnschedPAX,0DecileLoaded,1DecileLoaded,2DecileLoaded,3DecileLoaded,4DecileLoaded,5DecileLoaded,6DecileLoaded,7DecileLoaded,8DecileLoaded,9DecileLoaded
9,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
9,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
9,STRATEGIC,KC-10,8,0,0,2,6,6,0,0,0,4,80.000,51.436,11.136,.000,6.000,.000,15.000,.000,.000,.000,71.564,.000,NO,.000,19173,5559,37.0,.0,.0,0,.0,.0,.0,0,4,0,0,0,0,1,0,1,0,0
10,STRATEGIC,B-747P,10,0,0,10,1,1,1,0,0,0,100.000,6.000,4.610,6.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000,468,468,.0,.0,.0,12,.0,.0,.0,0,0,0,1,0,0,0,0,0,0,0
10,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
10,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
10,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
10,STRATEGIC,KC-10,8,0,0,6,6,7,1,0,0,6,80.000,46.940,4.881,5.000,.000,6.000,7.500,.000,.000,.000,33.584,.000,NO,.000,17151,399,.5,.0,.0,0,.0,.0,.0,0,7,0,0,0,0,0,0,0,0,0
11,STRATEGIC,B-747P,10,0,0,9,1,1,0,0,0,0,100.000,8.892,8.892,.000,6.000,.000,.000,.000,.000,.000,9.108,.000,NO,.000,8352,8352,.0,.0,.0,106,.0,.0,.0,0,0,0,1,0,0,0,0,0,0,0
11,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
11,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
11,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
11,STRATEGIC,KC-10,8,0,0,7,3,3,0,0,0,2,80.000,20.959,9.410,.000,2.206,3.000,1.500,.000,.000,.000,13.352,.000,NO,.000,8647,4273,.5,.0,.0,0,.0,.0,.0,0,3,0,0,0,0,0,0,0,0,0
12,STRATEGIC,B-747P,10,0,0,9,2,2,1,0,0,1,100.000,15.108,4.387,3.000,.000,.000,1.500,.000,.000,.000,28.392,.000,NO,.000,1141,816,.0,.0,.0,355,3.3,.0,.0,50,1,0,0,0,0,0,0,0,0,1
12,STRATEGIC,C-17,16,0,0,16,4,4,4,0,0,0,203.200,31.500,20.049,9.000,.000,.000,4.500,.000,.000,.000,51.000,.000,NO,.000,3555,3053,.0,159.8,.0,112,14.7,150.1,.0,567,0,0,0,0,0,0,0,0,0,4
12,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
12,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
12,STRATEGIC,KC-10,8,0,0,7,1,1,0,0,0,1,80.000,9.706,.000,.794,.000,.000,1.500,.000,.000,.000,12.000,.000,NO,.000,3321,0,.0,.0,.0,0,14.7,150.1,.0,567,1,0,0,0,0,0,0,0,0,0
13,STRATEGIC,B-747P,10,0,0,9,2,3,1,0,0,2,100.000,21.920,9.000,3.000,.000,1.500,1.500,.000,.000,.000,20.080,.000,NO,.000,15567,7119,.0,.0,.0,355,46.0,171.0,.0,496,2,0,0,0,0,0,0,0,0,1
13,STRATEGIC,C-17,16,0,0,12,4,4,0,0,0,0,203.200,33.107,22.560,.000,9.000,.000,9.000,.000,.000,.000,44.893,.000,NO,.000,13954,10300,.0,159.8,.0,112,158.4,403.0,.0,1076,0,0,0,0,0,0,0,0,0,4
13,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
13,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
13,STRATEGIC,KC-10,8,0,0,8,4,5,4,0,0,1,80.000,24.632,8.503,20.000,.000,.000,3.000,.000,.000,3.541,31.326,.000,NO,.000,13029,3911,72.7,17.6,.0,0,161.7,403.0,.0,1126,1,0,1,0,0,1,0,2,0,0
14,STRATEGIC,B-747P,10,0,0,8,2,2,0,0,0,0,100.000,17.091,11.857,.000,3.000,.000,3.000,.000,.000,.000,24.909,.000,NO,.000,3577,2328,78.1,.0,.0,536,45.4,144.5,.0,390,0,0,0,0,0,0,0,0,0,2
14,STRATEGIC,C-17,16,0,0,14,4,6,2,0,0,6,203.200,33.425,.000,4.500,.000,4.500,4.500,.000,.000,1.246,47.828,.000,NO,.000,14352,0,.0,.0,.0,0,164.8,549.6,.0,1537,6,0,0,0,0,0,0,0,0,0
14,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
14,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
14,STRATEGIC,KC-10,8,0,0,4,8,8,4,0,0,0,80.000,66.436,45.936,20.000,11.265,.000,6.000,.000,.000,1.500,86.798,.000,NO,.000,24552,20055,147.7,17.6,.0,0,168.1,549.6,.0,1537,0,0,1,1,0,1,0,5,0,0
15,STRATEGIC,B-747P,43,0,0,42,2,3,1,0,0,2,430.000,19.655,3.062,3.000,3.000,1.500,1.500,.000,.000,.000,19.345,.000,NO,.000,15138,5257,78.1,.0,.0,181,14.2,73.3,.0,356,2,0,0,0,0,0,0,0,0,1
15,STRATEGIC,C-17,30,0,0,28,9,11,7,0,0,5,381.000,46.074,23.130,12.831,4.500,4.500,4.500,.000,.000,12.890,55.277,.000,NO,.000,12919,5288,35.8,173.9,.0,168,133.2,465.1,.0,1503,5,0,0,0,0,0,0,0,6,0
15,STRATEGIC,C-5A,17,0,0,17,0,0,0,0,0,0,164.900,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
15,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
15,STRATEGIC,KC-10,26,0,0,18,9,9,1,0,0,4,260.000,76.053,25.019,5.735,12.000,.000,16.500,.000,.000,2.924,102.788,.000,NO,.000,27233,12214,97.7,14.7,.0,0,136.5,465.1,.0,1503,4,0,0,1,0,0,1,3,0,0
16,STRATEGIC,B-747P,43,0,0,42,2,2,0,0,0,1,430.000,22.709,11.091,.000,.000,1.500,1.500,.000,.000,.000,18.780,.000,NO,.000,2957,2062,.0,.0,.0,355,10.4,32.1,.0,416,1,0,0,0,0,0,0,0,0,1
16,STRATEGIC,C-17,30,0,0,21,11,11,2,0,0,2,381.000,90.022,67.538,7.419,.000,.000,26.017,.000,.000,1.500,139.042,.000,NO,.000,33486,29152,46.6,281.7,.0,252,176.4,406.8,.0,1565,2,0,0,0,0,0,0,1,5,3
16,STRATEGIC,C-5A,17,0,0,17,0,0,0,0,0,0,164.900,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
16,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
16,STRATEGIC,KC-10,26,0,0,21,9,11,2,0,0,9,260.000,81.743,10.152,8.819,3.000,6.000,16.500,.000,.000,.000,73.391,.000,NO,.000,32693,6473,41.4,29.1,.0,0,176.4,406.8,.0,1565,9,0,0,0,0,0,2,0,0,0
17,STRATEGIC,B-747P,43,0,0,42,3,3,2,0,0,0,430.000,18.301,8.598,12.000,3.000,.000,1.500,.000,.000,.000,37.199,.000,NO,.000,14212,8224,.0,.0,.0,691,40.3,9.5,.0,841,0,0,0,0,0,0,0,0,0,3
17,STRATEGIC,C-17,30,0,0,21,13,13,2,0,0,2,381.000,95.139,45.632,4.500,14.624,4.500,25.733,.000,.000,.000,147.912,.000,NO,.000,33102,23000,67.2,323.2,.0,308,159.0,365.3,.0,1236,2,0,0,0,0,0,0,2,5,4
17,STRATEGIC,C-5A,17,0,0,17,0,0,0,0,0,0,164.900,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
17,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
17,STRATEGIC,KC-10,26,0,0,23,7,7,0,0,0,5,260.000,47.058,13.259,1.181,.000,6.000,4.500,.000,.000,9.146,39.648,.000,NO,.000,14789,2387,37.8,29.1,.0,0,159.0,365.3,.0,1236,5,0,0,0,0,1,1,0,0,0
18,STRATEGIC,B-747P,43,0,0,41,4,5,2,0,0,2,430.000,37.813,19.008,6.000,6.000,1.500,.000,.000,.000,.000,44.687,.000,NO,.000,11019,6488,.0,.0,.0,846,3.3,294.9,.0,1036,2,0,0,0,0,0,0,0,0,3
18,STRATEGIC,C-17,30,0,0,24,11,11,0,0,0,7,381.000,84.351,18.125,1.126,4.500,11.250,18.000,.000,.000,.000,86.126,.000,NO,.000,23023,8747,43.6,92.6,.0,112,107.3,340.8,.0,1135,7,0,0,0,0,0,0,2,1,1
18,STRATEGIC,C-5A,17,0,0,17,0,0,0,0,0,0,164.900,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
18,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
18,STRATEGIC,KC-10,26,0,0,24,4,5,2,0,0,2,260.000,33.653,13.289,10.000,3.941,1.500,4.500,.000,.000,2.387,40.019,.000,NO,.000,16490,9030,65.0,38.6,.0,0,107.3,340.8,.0,1137,2,0,0,0,0,2,1,0,0,0
19,STRATEGIC,B-747P,43,0,0,39,5,5,1,0,0,2,430.000,45.000,19.955,6.000,3.000,.000,3.000,.000,.000,.000,63.000,.000,NO,.000,10784,6478,.0,.0,.0,1050,6.6,325.2,.0,1527,2,0,0,0,0,0,0,0,0,3
19,STRATEGIC,C-17,30,0,0,28,9,13,7,0,4,9,381.000,57.116,6.236,6.750,4.500,12.380,4.500,.000,.000,2.758,109.307,.000,NO,.000,25922,1546,20.6,81.3,.0,84,120.4,382.7,.0,1238,9,0,0,0,0,0,0,1,0,2
19,STRATEGIC,C-5A,17,0,0,17,0,0,0,0,0,0,164.900,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
19,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
19,STRATEGIC,KC-10,26,0,0,22,4,4,0,0,0,2,260.000,30.573,12.102,2.059,3.000,.000,6.000,.000,.000,6.281,48.086,.000,NO,.000,11054,5528,48.5,24.5,.0,0,120.4,382.7,.0,1238,2,0,0,0,0,2,0,0,0,0
20,STRATEGIC,B-747P,43,0,0,40,5,7,2,0,0,3,430.000,44.025,14.239,12.000,3.000,3.000,4.500,.000,.000,.000,53.475,.000,NO,.000,31201,11323,.0,.0,.0,1048,52.3,.0,.0,1511,3,0,0,0,0,0,0,0,0,4
