RLN,CCC,STons,MTons,Sqft,CargoClass
1:0DAAC,R2D,66.10,303.70,2483.00,2
1:0DBBC,J2D,23.00,96.00,480.00,2
1:0DBBC,J7C,18.20,46.00,364.00,2
1:0DBBC,M7C,0.40,1.00,1.00,2
1:0DBBC,R1D,92.60,280.40,1227.00,2
1:0DBBC,R2B,1.80,19.80,140.00,2
1:0DBBC,R2D,68.90,370.60,2482.00,2
1:0DBCC,J2D,23.00,96.00,480.00,2
1:0DBCC,J7C,18.20,46.00,364.00,2
1:0DBCC,M7C,0.40,1.00,1.00,2
1:0DBCC,R1D,92.60,280.40,1227.00,2
1:0DBCC,R2B,1.80,19.80,140.00,2
1:0DBCC,R2D,68.90,370.60,2482.00,2
1:0DBDC,A2D,12.40,47.20,222.00,2
1:0DBDC,J2B,17.30,33.90,210.00,2
1:0DBDC,J2D,41.30,189.40,1094.00,2
1:0DBDC,J3D,5.00,13.20,66.00,2
1:0DBDC,J7C,19.60,49.00,392.00,2
1:0DBDC,M7C,0.40,1.00,1.00,2
1:0DBDC,R1D,70.10,233.00,1056.00,2
1:0DBDC,R2B,6.70,45.20,333.00,2
1:0DBDC,R2D,65.10,209.00,1745.00,2
1:0EBFC,A1D,28.70,95.00,303.00,2
1:0EBFC,A2D,79.80,260.00,1283.00,2
1:0EBFC,J2B,6.80,19.00,253.00,2
1:0EBFC,J7C,29.80,74.00,596.00,2
1:0EBFC,M7C,0.90,1.00,1.00,2
1:0EBFC,R1D,49.40,179.00,695.00,2
1:0EBFC,R2B,43.80,253.00,1843.00,2
1:0EBFC,R2D,278.70,1232.00,7869.00,2
1:0EBFC,R3D,1.40,10.00,50.00,2
1:0EBQC,A1D,57.40,188.40,606.00,2
1:0EBQC,A2D,577.90,1575.20,7922.00,2
1:0EBQC,A3B,2.50,6.30,45.00,2
1:0EBQC,J2B,4.00,16.80,262.00,2
1:0EBQC,J7C,129.70,324.00,2594.00,2
1:0EBQC,M7C,6.90,7.00,1.00,2
1:0EBQC,R1D,99.30,423.30,1607.00,2
1:0EBQC,R2B,98.40,653.40,4895.00,2
1:0EBQC,R2D,1502.60,5298.40,30874.00,2
1:0EBQC,R3B,1.50,10.50,105.00,2
1:0EBQC,R3D,7.00,46.50,250.00,2
1:0EBRC,A1D,57.40,188.40,606.00,2
1:0EBRC,A2D,577.90,1575.20,7922.00,2
1:0EBRC,A3B,2.50,6.30,45.00,2
1:0EBRC,J2B,4.00,16.80,262.00,2
1:0EBRC,J7C,129.70,324.00,2594.00,2
1:0EBRC,M7C,6.90,7.00,1.00,2
1:0EBRC,R1D,99.30,423.30,1607.00,2
1:0EBRC,R2B,98.40,653.40,4895.00,2
1:0EBRC,R2D,1502.60,5298.40,30874.00,2
1:0EBRC,R3B,1.50,10.50,105.00,2
1:0EBRC,R3D,7.00,46.50,250.00,2
1:0EGBC,A1D,45.60,156.00,648.00,2
1:0EGBC,A2B,4.90,15.20,91.00,2
1:0EGBC,A2D,483.60,1207.20,5991.00,2
1:0EGBC,J2D,10.80,27.00,258.00,2
1:0EGBC,J3B,5.40,86.40,594.00,2
1:0EGBC,J7C,29.20,73.00,584.00,2
1:0EGBC,M7C,0.70,1.00,14.00,2
1:0EGBC,R1D,559.20,2004.60,8915.00,2
1:0EGBC,R2B,3.60,31.20,274.00,2
1:0EGBC,R2D,390.50,1991.00,10617.00,2
1:0EGBC,R3D,1.40,9.30,50.00,2
1:0HBGC,C0D,1186.20,10308.60,27954.00,2
1:0HBGC,J7C,23.90,60.00,478.00,2
1:0HBGC,M7C,3.70,4.00,74.00,2
1:0HBGC,R1D,29.90,77.50,352.00,2
1:0HBGC,R2B,2.70,24.10,206.00,2
1:0HBGC,R2D,40.00,212.00,1278.00,2
1:0HBGC,R3D,1.40,9.30,50.00,2
1:0HEDC,J2D,2.30,17.70,101.00,2
1:0HEDC,J7C,28.00,70.00,560.00,2
1:0HEDC,M7C,1.00,1.00,20.00,2
1:0HEDC,R1D,599.90,2984.70,12219.00,2
1:0HEDC,R2B,0.90,9.90,70.00,2
1:0HEDC,R2D,1219.50,7839.90,40736.00,2
1:0HEDC,R3D,1.40,9.30,50.00,2
1:0HEEC,J2D,2.30,17.70,101.00,2
1:0HEEC,J7C,28.20,71.00,564.00,2
1:0HEEC,M7C,1.60,2.00,32.00,2
1:0HEEC,R1D,685.30,2715.30,12280.00,2
1:0HEEC,R2B,0.90,9.90,70.00,2
1:0HEEC,R2D,443.80,3394.00,15984.00,2
1:0HEEC,R3D,1.40,9.30,50.00,2
1:0HEHC,J2D,2.30,17.70,101.00,2
1:0HEHC,J7C,28.00,70.00,560.00,2
1:0HEHC,M7C,1.00,1.00,20.00,2
1:0HEHC,R1D,599.90,2984.70,12219.00,2
1:0HEHC,R2B,0.90,9.90,70.00,2
1:0HEHC,R2D,1219.50,7839.90,40736.00,2
1:0HEHC,R3D,1.40,9.30,50.00,2
1:0HNBC,J2D,2.30,17.70,101.00,2
1:0HNBC,J7C,18.10,46.00,362.00,2
1:0HNBC,M7C,1.50,2.00,1.00,2
1:0HNBC,R1D,775.80,2788.20,12603.00,2
1:0HNBC,R2B,2.50,25.30,161.00,2
1:0HNBC,R2D,166.00,1126.90,6502.00,2
1:0HNBC,R3D,1.40,9.30,50.00,2
1:0HVCC,J2D,2.30,17.70,101.00,2
1:0HVCC,J7C,28.00,70.00,560.00,2
1:0HVCC,M7C,1.00,1.00,20.00,2
1:0HVCC,R1D,599.90,2984.70,12219.00,2
1:0HVCC,R2B,0.90,9.90,70.00,2
1:0HVCC,R2D,1219.50,7839.90,40736.00,2
1:0HVCC,R3D,1.40,9.30,50.00,2
1:0J1EC,J3B,16.20,40.00,324.00,2
1:0J1EC,R2D,36.80,130.00,736.00,2
1:0JAAC,J3B,30.50,74.00,610.00,2
1:0JAAC,R1D,19.10,60.00,382.00,2
1:0JAAC,R2D,1103.00,5661.00,22060.00,2
1:0JKBC,J2D,2.30,17.70,101.00,2
1:0JKBC,J7C,28.20,71.00,564.00,2
1:0JKBC,M7C,1.60,2.00,32.00,2
1:0JKBC,R1D,685.30,2715.30,12280.00,2
1:0JKBC,R2B,0.90,9.90,70.00,2
1:0JKBC,R2D,443.80,3394.00,15984.00,2
1:0JKBC,R3D,1.40,9.30,50.00,2
1:0JLBC,J2D,2.30,17.70,101.00,2
1:0JLBC,J7C,28.20,71.00,564.00,2
