Key,Day,Enabled,Description,EventPhase,Data
NATL132,0,true,,,true
NATL133,0,true,,,true
NATL134,0,true,,,true
NATL135,0,true,,,true
NATL136,0,true,,,true
NATL137,0,true,,,true
NATL138,0,true,,,true
NATL139,0,true,,,true
NATL140,0,true,,,true
NATL141,0,true,,,true
NATB141,0,true,,,true
NATL142,0,true,,,true
NATL143,0,true,,,true
NATL144,0,true,,,true
NATL144A,0,true,,,true
NATL145,0,true,,,true
NATL146,0,true,,,true
NATL147,0,true,,,true
NATL148,0,true,,,true
NATL149,0,true,,,true
NATL150,0,true,,,true
NATB150,0,true,,,true
NATL151,0,true,,,true
NATB151,0,true,,,true
NATL152,0,true,,,true
NATL153,0,true,,,true
NATL154,0,true,,,true
NATL155,0,true,,,true
NATL156,0,true,,,true
NATL157,0,true,,,true
NATL158,0,true,,,true
NATL159,0,true,,,true
NATB157,0,true,,,true
NATB158,0,true,,,true
NATB159,0,true,,,true
NATL160,0,true,,,true
NATL161,0,true,,,true
NATL162,0,true,,,true
NATL163,0,true,,,true
NATL164,0,true,,,true
NATL165,0,true,,,true
NATL166,0,true,,,true
NATL167,0,true,,,true
NATL168,0,true,,,true
NATL169,0,true,,,true
NATL170,0,true,,,true
NATL171,0,true,,,true
NATL172,0,true,,,true
NATL173,0,true,,,true
NATL174,0,true,,,true
NATL175,0,true,,,true
NATL176,0,true,,,true
NATL177,0,true,,,true
NATL178,0,true,,,true
NATL179,0,true,,,true
NATL180,0,true,,,true
NATZ180,0,true,,,true
NATL181,0,true,,,true
NATL182,0,true,,,true
NATL183,0,true,,,true
NATL184,0,true,,,true
NATL185,0,true,,,true
NATL186,0,true,,,true
NATL187,0,true,,,true
NATL188,0,true,,,true
NATL189,0,true,,,true
NATL190,0,true,,,true
NATL191,0,true,,,true
NATL192,0,true,,,true
NATL193,0,true,,,true
NATL194,0,true,,,true
NATL195,0,true,,,true
NATL196,0,true,,,true
NATL197,0,true,,,true
NATL198,0,true,,,true
NATL199,0,true,,,true
NATL200,0,true,,,true
NATL201,0,true,,,true
NATL202,0,true,,,true
NATL203,0,true,,,true
NATL204,0,true,,,true
NATL205,0,true,,,true
NATL206,0,true,,,true
NATL207,0,true,,,true
NATL208,0,true,,,true
NATL209,0,true,,,true
NATL210,0,true,,,true
NATL211,0,true,,,true
NATL212,0,true,,,true
NATL213,0,true,,,true
NATL214,0,true,,,true
NATL215,0,true,,,true
NATL216,0,true,,,true
NATL217,0,true,,,true
NATL218,0,true,,,true
NATL219,0,true,,,true
NATLA19,0,true,,,true
NATL220,0,true,,,true
NATL221,0,true,,,true
NATL222,0,true,,,true
NATL223,0,true,,,true
NATL224,0,true,,,true
NATL225,0,true,,,true
NATL226,0,true,,,true
NATL227,0,true,,,true
NATL228,0,true,,,true
NATL229,0,true,,,true
NATL230,0,true,,,true
NATL231,0,true,,,true
NATL232,0,true,,,true
NATL233,0,true,,,true
NATL234,0,true,,,true
NATL235,0,true,,,true
NATL236,0,true,,,true
NATL237,0,true,,,true
NATL237A,0,true,,,true
NATL238,0,true,,,true
NATL239,0,true,,,true
NATL240,0,true,,,true
NATL241,0,true,,,true
NATL242,0,true,,,true
NATL243,0,true,,,true
NATL244,0,true,,,true
NATL245,0,true,,,true
NATL246,0,true,,,true
NATL247,0,true,,,true
NATL248,0,true,,,true
NATL249,0,true,,,true
NATL250,0,true,,,true
NATL251,0,true,,,true
NATL252,0,true,,,true
NATL253,0,true,,,true
NATL254,0,true,,,true
NATL255,0,true,,,true
NATL256,0,true,,,true
NATL257,0,true,,,true
NATL258,0,true,,,true
NATL259,0,true,,,true
NATL260,0,true,,,true
NATL261,0,true,,,true
NATL262,0,true,,,true
NATL263,0,true,,,true
NATL264,0,true,,,true
NATL265,0,true,,,true
NATL266,0,true,,,true
NATL267,0,true,,,true
NATL268,0,true,,,true
NATL269,0,true,,,true
NATL270,0,true,,,true
NATL271,0,true,,,true
NATL272,0,true,,,true
NATL273,0,true,,,true
NATL274,0,true,,,true
NATL275,0,true,,,true
NATL276,0,true,,,true
NATL277,0,true,,,true
NATL278,0,true,,,true
NATL279,0,true,,,true
NATL280,0,true,,,true
NATL281,0,true,,,true
NATL282,0,true,,,true
NATL283,0,true,,,true
NATL284,0,true,,,true
NATZ284,0,true,,,true
NATL285,0,true,,,true
NATL286,0,true,,,true
NATL287,0,true,,,true
NATL288,0,true,,,true
NATL289,0,true,,,true
NATL290,0,true,,,true
NATL291,0,true,,,true
NATL292,0,true,,,true
NATL293,0,true,,,true
NATL294,0,true,,,true
NATL295,0,true,,,true
NATL296,0,true,,,true
NATL297,0,true,,,true
NATL298,0,true,,,true
NATL299,0,true,,,true
NATL300,0,true,,,true
NATL301,0,true,,,true
NATL302,0,true,,,true
NATL303,0,true,,,true
NATL304,0,true,,,true
NATL305,0,true,,,true
NATL306,0,true,,,true
NATL307,0,true,,,true
NATL308,0,true,,,true
NATL309,0,true,,,true
NATL310,0,true,,,true
NATL311,0,true,,,true
NATL312,0,true,,,true
NATL313,0,true,,,true
NATL314,0,true,,,true
SAM001,0,true,,,true
SAM002,0,true,,,true
SAMZ02,0,true,,,true
SAM003,0,true,,,true
SAM004,0,true,,,true
SAM005,0,true,,,true
SAM006,0,true,,,true
SAM007,0,true,,,true
SAM008,0,true,,,true
SAM009,0,true,,,true
SAM010,0,true,,,true
SAM011,0,true,,,true
SAM012,0,true,,,true
SAM013,0,true,,,true
SAM014,0,true,,,true
SAM015,0,true,,,true
SAM016,0,true,,,true
SAM017,0,true,,,true
SAM018,0,true,,,true
SAM019,0,true,,,true
SAM020,0,true,,,true
SAM021,0,true,,,true
SAM022,0,true,,,true
SAM023,0,true,,,true
SAM024,0,true,,,true
SAM025,0,true,,,true
SAZ025,0,true,,,true
SAM026,0,true,,,true
SAM027,0,true,,,true
SAM028,0,true,,,true
SAM029,0,true,,,true
SAM030,0,true,,,true
