"Delivery of Breakbulk, RORO and Containers at Locations "
Time<Time>,Arrived at POD<Float>,Port of Debarkation<Float>,Destination (TAA)<Float>,Required at POD: EAD<Float>,Required at POD: LAD<Float>,Required at DST: CRD<Float>,Required at DST: RDD<Float>,Delivered of Required: DST<Float>
158.0,237404.42,237014.42,236474.4,237321.7,136317.81,237321.7,237321.7,235538.4
159.0,238189.22,237799.22,237633.2,238423.67,136317.81,238423.67,238423.67,236745.2
160.0,238794.55,238394.55,238722.53,239177.73,136317.81,239177.73,239177.73,237828.53
161.0,239514.55,239114.55,239100.53,239967.73,136317.81,239967.73,239967.73,238634.53
162.0,240252.61,239852.61,239622.6,240983.36,136317.81,240983.36,240983.36,239404.6
163.0,240916.23,240516.23,240468.22,241307.92,136317.81,241307.92,241307.92,239990.22
164.0,241218.8,240818.8,241178.78,241677.92,136317.81,241677.92,241677.92,240280.78
165.0,241524.8,241114.8,241474.78,242097.92,136317.81,242097.92,242097.92,240526.78
166.0,242441.05,242031.05,241892.78,243161.94,136317.81,243161.94,243161.94,241408.78
167.0,243153.05,242733.05,241954.78,243671.94,136317.81,243671.94,243671.94,241470.78
168.0,244905.05,244485.05,242771.03,244761.94,136317.81,244761.94,244761.94,242679.03
169.0,246077.05,245657.05,243685.03,245494.19,136317.81,245494.19,245494.19,242845.03
170.0,246719.5,246299.5,245267.28,246742.19,136317.81,246742.19,246742.19,244423.28
171.0,248064.02,247634.02,246671.6,248260.19,136317.81,248260.19,248260.19,245642.0
172.0,249249.36,248819.36,248287.33,249503.8,136317.81,249503.8,249503.8,247209.34
173.0,250051.11,249621.11,249713.08,250532.6,136317.81,250532.6,250532.6,248531.1
174.0,251152.7,250722.7,250472.67,251465.22,136317.81,251465.22,251465.22,249692.69
175.0,251823.92,251383.92,251699.89,252211.66,136317.81,252211.66,252211.66,250729.9
176.0,252298.77,251858.77,251776.73,253001.12,136317.81,253001.12,253001.12,251242.75
177.0,252723.23,252283.23,252270.2,253535.39,136317.81,253535.39,253535.39,251658.22
178.0,253803.31,253363.31,253209.47,254145.39,136317.81,254145.39,254145.39,252249.48
179.0,254409.31,253959.31,253969.28,255109.6,136317.81,255109.6,255109.6,253443.3
180.0,254409.31,253959.31,253969.28,255609.6,136317.81,255609.6,255609.6,253943.3
