Vehicle Backlog
ASSET POOL<String>,VEHICLE TYPE<String>,Time<Day>,Vehicle Backlog<Integer>
BIZERTE DD,Commercial Bus 45-pax,123,0
BIZERTE DD,Commercial Bus 45-pax,124,0
BIZERTE DD,Commercial Bus 45-pax,125,0
BIZERTE DD,Commercial Bus 45-pax,126,0
BIZERTE DD,Commercial Bus 45-pax,127,0
BIZERTE DD,Commercial Bus 45-pax,128,0
BIZERTE DD,Commercial Bus 45-pax,129,0
BIZERTE DD,Commercial Bus 45-pax,130,0
BIZERTE DD,Commercial Bus 45-pax,131,0
BIZERTE DD,Commercial Bus 45-pax,132,0
BIZERTE DD,Commercial Bus 45-pax,133,0
BIZERTE DD,Commercial Bus 45-pax,134,0
BIZERTE DD,Commercial Bus 45-pax,135,0
BIZERTE DD,Commercial Bus 45-pax,136,0
BIZERTE DD,Commercial Bus 45-pax,137,0
BIZERTE DD,Commercial Bus 45-pax,138,0
BIZERTE DD,Commercial Bus 45-pax,139,0
BIZERTE DD,Commercial Bus 45-pax,140,0
BIZERTE DD,Commercial Bus 45-pax,141,0
BIZERTE DD,Commercial Bus 45-pax,142,0
BIZERTE DD,Commercial Bus 45-pax,143,0
BIZERTE DD,Commercial Bus 45-pax,144,0
BIZERTE DD,Commercial Bus 45-pax,145,0
BIZERTE DD,Commercial Bus 45-pax,146,0
BIZERTE DD,Commercial Bus 45-pax,147,0
BIZERTE DD,Commercial Bus 45-pax,148,0
BIZERTE DD,Commercial Bus 45-pax,149,0
BIZERTE DD,Commercial Bus 45-pax,150,0
BIZERTE DD,Commercial Bus 45-pax,151,0
BIZERTE DD,Commercial Bus 45-pax,152,0
BIZERTE DD,Commercial Bus 45-pax,153,0
BIZERTE DD,Commercial Bus 45-pax,154,0
BIZERTE DD,Commercial Bus 45-pax,155,0
BIZERTE DD,Commercial Bus 45-pax,156,0
BIZERTE DD,Commercial Bus 45-pax,157,0
BIZERTE DD,Commercial Bus 45-pax,158,0
BIZERTE DD,Commercial Bus 45-pax,159,0
BIZERTE DD,Commercial Bus 45-pax,160,0
BIZERTE DD,Commercial Bus 45-pax,161,0
BIZERTE DD,Commercial Bus 45-pax,162,0
BIZERTE DD,Commercial Bus 45-pax,163,0
BIZERTE DD,Commercial Bus 45-pax,164,0
