Crane Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,MIN Usage<Integer>,AVG Usage<Float>,MAX Usage<Integer>,MIN Capacity<Integer>,AVG Capacity<Float>,MAX Capacity<Integer>,MIN Utilization<Integer>,AVG Utilization<Float>,MAX Utilization<Float>
ADLS,TN,AL MAHDIYAH,159,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,160,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,161,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,162,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,163,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,164,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,165,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,166,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,167,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,168,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,169,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,170,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,171,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,172,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,173,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,174,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,175,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,176,0,0.0,0,6,6.0,6,0.0,0.0,0.0
