Model,FedTime,Fleet,AcType,Home,AvailToPlanBulk,PlannedBulk,AvailBulk,ScheduledBulk,AvailToPlanOver,PlannedOver,AvailOver,ScheduledOver,AvailToPlanOut,PlannedOut,AvailOut,ScheduledOut,AvailToPlanPax,PlannedPax,AvailPax,ScheduledPax
MAIN,9.05,STRATEGIC,C-17,DKFX,608.5000049844384,192.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3391,2016,0,0
MAIN,9.05,STRATEGIC,C-17,PQWY,608.5000049844384,192.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3391,2016,0,0
MAIN,9.05,STRATEGIC,C-17,XDAT,608.5000049844384,192.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3391,2016,0,0
MAIN,9.05,STRATEGIC,C-5A,XDAT,10.699999928474426,4.600000023841858,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,44,20,0,0
MAIN,9.05,STRATEGIC,KC-10,XDAT,608.5000049844384,352.6544676795602,0.0,0.0,1032.2000122070312,66.1072769165039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,10.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36106,207,0
MAIN,10.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36106,207,106
MAIN,10.05,STRATEGIC,C-17,DKFX,733.0000049844384,195.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3379,2016,0,0
MAIN,10.05,STRATEGIC,C-17,PQWY,733.0000049844384,195.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3379,2016,0,0
MAIN,10.05,STRATEGIC,C-17,XDAT,733.0000049844384,195.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3379,2016,0,0
MAIN,10.05,STRATEGIC,C-5A,XDAT,135.19999992847443,76.60000002384186,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,32,20,0,0
MAIN,10.05,STRATEGIC,KC-10,XDAT,733.5000049844384,402.1544676795602,0.5,0.5,1032.2000122070312,66.1072769165039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,11.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35446,35907,101,0
MAIN,11.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35446,35907,101,0
MAIN,11.05,STRATEGIC,C-17,DKFX,733.0000049844384,210.83750247955322,0.0,0.0,1730.7000060081482,1655.7099910974503,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3379,2274,0,0
MAIN,11.05,STRATEGIC,C-17,PQWY,733.0000049844384,210.83750247955322,0.0,0.0,1730.7000060081482,1655.7099910974503,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3379,2274,0,0
MAIN,11.05,STRATEGIC,C-17,XDAT,733.0000049844384,210.83750247955322,0.0,0.0,1730.7000060081482,1655.7099910974503,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3379,2274,0,0
MAIN,11.05,STRATEGIC,C-5A,XDAT,135.19999992847443,76.60000002384186,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,32,20,0,0
MAIN,11.05,STRATEGIC,KC-10,XDAT,733.0000049844384,399.6777237430215,0.0,0.0,1032.2000122070312,66.49000978469849,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,12.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35446,35593,618,0
MAIN,12.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35446,35593,618,355
MAIN,12.05,STRATEGIC,C-17,DKFX,733.0000049844384,161.80000114440918,14.700000286102295,0.0,1730.7000060081482,1524.663890004158,309.90001487731934,80.0,47.20000076293945,47.20000076293945,0.0,0.0,3379,2129,1064,56
MAIN,12.05,STRATEGIC,C-17,PQWY,733.0000049844384,161.80000114440918,14.700000286102295,0.0,1730.7000060081482,1524.663890004158,309.90001487731934,39.80000305175781,47.20000076293945,47.20000076293945,0.0,0.0,3379,2129,1064,28
MAIN,12.05,STRATEGIC,C-17,XDAT,733.0000049844384,161.80000114440918,14.700000286102295,0.0,1730.7000060081482,1524.663890004158,309.90001487731934,40.0,47.20000076293945,47.20000076293945,0.0,0.0,3379,2129,1064,28
MAIN,12.05,STRATEGIC,C-5A,XDAT,135.19999992847443,76.60000002384186,0.0,0.0,625.099996805191,1.399999976158142,0.0,0.0,9.0,0.0,0.0,0.0,32,12,0,0
MAIN,12.05,STRATEGIC,KC-10,XDAT,733.0000049844384,458.94476399570704,14.700000286102295,0.0,1032.2000122070312,44.83611583709717,309.90001487731934,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,13.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35526,35774,698,0
MAIN,13.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,78.10000610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35526,35774,698,181
