Model,FedTime,AssetID,AssetType,FromLocation,RampName,FromTime,MissionID,Mode,ToLocation,ToTime,CrewDutyLeft,CrewStatus,GroundDelay,LoadDelay,FuelAmount,ChannelMissionId,ConfigurationChange,ReconfigureTime
MAIN,50.85,KC10-XDAT009,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,50.835186,KC10-XDAT009-D0050R0007S01,AIR,MQNA,51.052322,0.5520833,REST,0,0,0,,false,0
MAIN,50.9,C17-DKFX002,C-17,MQNA,RAMP1,50.852493,C17-DKFX002-D0047R0008S01,AIR,DKFX,51.14995,0.5520833,REST,0,0,0,,false,0
MAIN,50.9,C17-DKFX007,C-17,BPWZ,BIGGS AAF -BPWZ-MAP-PARKING,50.890984,C17-DKFX007-D0050R0003S01,AIR,FJXT,51.059387,0.28609955,WORK,0,0,0,,false,0
MAIN,50.9,KC10-XDAT010,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,50.897686,KC10-XDAT010-D0050R0004S01,AIR,MQNA,51.114822,0.5520833,REST,0.0625,0,0,,false,0
MAIN,50.9,KC10-XDAT011,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,50.897686,KC10-XDAT011-D0050R0004S01,AIR,MQNA,51.114822,0.5520833,REST,0.0625,0,0,,false,0
MAIN,50.9,B747-400-XDAT007,B-747P,TYFR,RAMP1,50.898483,B747-400-XDAT007-D0048R0005S01,AIR,XDAT,51.38257,0.5520833,REST,0,0,0,,false,0
MAIN,50.95,KC10-XDAT007,KC-10,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,50.901985,KC10-XDAT007-D0047R0004S01,AIR,XDAT,51.142582,0.5520833,REST,0,0,0,,false,0
MAIN,50.95,C17-PQWY002,C-17,FJXT,DOVER AFB -FJXT-MAP-PARKING,50.947346,C17-PQWY002-D0050R0003S01,AIR,MQNA,51.177322,0.22973704,WORK,0.012649536,0,0,,false,0
MAIN,51,KC10-XDAT003,KC-10,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,50.964485,KC10-XDAT003-D0047R0007S01,AIR,XDAT,51.205082,0.5520833,REST,0,0,0,,false,0
MAIN,51,C17-DKFX003,C-17,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,50.9683,C17-DKFX003-D0050R0008S01,AIR,FNWZ,51.108536,0.16087961,WORK,0,0,0,,false,0
MAIN,51,C17-XDAT003,C-17,FJXT,DOVER AFB -FJXT-MAP-PARKING,50.99589,C17-XDAT003-D0043R0004S03,AIR,MQNA,51.22587,0.5520833,REST,0,0,0,,false,0
MAIN,51.05,B747-400-XDAT013,B-747P,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,51,B747-400-XDAT013-D0051R0001S01,AIR,BPWZ,51.09859,0.5520833,CHANGE,0,0,0,,false,0
MAIN,51.15,KC10-XDAT008,KC-10,MQNA,RAMP1,51.114822,KC10-XDAT008-D0050R0007S01,AIR,HNTK,51.29451,0.27244824,WORK,0,0,0,,false,0
MAIN,51.15,KC10-XDAT009,KC-10,MQNA,RAMP1,51.114822,KC10-XDAT009-D0050R0007S01,AIR,HNTK,51.29451,0.27244824,WORK,0,0,0,,false,0
MAIN,51.2,KC10-XDAT010,KC-10,MQNA,RAMP1,51.177322,KC10-XDAT010-D0050R0004S01,AIR,HNTK,51.35701,0.27244824,WORK,0,0,0,,false,0
MAIN,51.2,KC10-XDAT011,KC-10,MQNA,RAMP1,51.177322,KC10-XDAT011-D0050R0004S01,AIR,HNTK,51.35701,0.27244824,WORK,0,0,0,,false,0
MAIN,51.25,KC10-XDAT007,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,51.205082,KC10-XDAT007-D0051R0005S01,AIR,FJXT,51.415268,0.5520833,CHANGE,0,0,0,,false,0
MAIN,51.25,C17-DKFX015,C-17,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,51.21394,C17-DKFX015-D0048R0005S01,AIR,HNTK,51.22594,0.5520833,REST,0,0,0,,false,0
MAIN,51.25,B747-400-XDAT011,B-747P,TYFR,RAMP1,51.23495,B747-400-XDAT011-D0048R0002S01,AIR,XDAT,51.719036,0.5520833,REST,0,0,0,,false,0
MAIN,51.35,C17-XDAT003,C-17,MQNA,RAMP1,51.31962,C17-XDAT003-D0043R0004S03,AIR,TYFR,51.492393,0.22835761,WORK,0,0,0,,false,0
MAIN,51.35,C17-DKFX015,C-17,HNTK,GABES -HNTK-APT-parking,51.31969,C17-DKFX015-D0048R0005S01,AIR,MQNA,51.537807,0.44633055,WORK,0,0,0,,false,0
MAIN,51.45,KC10-XDAT006,KC-10,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,51.43805,KC10-XDAT006-D0047R0006S01,AIR,XDAT,51.678646,0.5520833,REST,0,0,0,,false,0
MAIN,51.5,C17-DKFX006,C-17,YWHG,WHITEMAN AFB -YWHG-MAP-PARKING,51.45209,C17-DKFX006-D0049R0003S01,AIR,MQNA,51.757874,0.5520833,REST,0,0,0,,false,0
MAIN,51.5,C17-DKFX004,C-17,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,51.464554,C17-DKFX004-D0050R0005S01,AIR,BPWZ,51.636787,0.5520833,REST,0,0,0,,false,0
MAIN,51.55,KC10-XDAT013,KC-10,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,51.50055,KC10-XDAT013-D0048R0001S01,AIR,XDAT,51.741146,0.5520833,REST,0,0,0,,false,0
MAIN,51.55,C17-XDAT002,C-17,MQNA,RAMP1,51.517975,C17-XDAT002-D0048R0004S01,AIR,DKFX,51.81543,0.5520833,REST,0,0,0,,false,0
