Model,FedTime,NumPlanesWaitingToOffload,NumPlanesOffloaded,Longitude,Latitude,Geoloc,Name,Capability
MAIN,-2,0,0,120.2713851928711,14.79444408416748,EYBD,SUBIC BAY INTL,1
MAIN,-2,0,0,8.584722518920898,49.85333251953125,FAXN,DARMSTADT AAF,1
MAIN,-2,0,0,-110.883056640625,32.16638946533203,FBNV,DAVIS MONTHAN AFB,1
MAIN,-2,0,0,72.4111099243164,-7.313333511352539,FGDC,DIEGO GARCIA NSF,1
MAIN,-2,0,0,-84.51638793945312,33.915279388427734,FGWB,DOBBINS ARB,1
MAIN,-2,0,0,-75.46583557128906,39.12944412231445,FJXT,DOVER AFB,1
MAIN,-2,0,0,-99.8566665649414,32.4183349609375,FNWZ,DYESS AFB,1
MAIN,-2,0,0,-86.52194213867188,30.648611068725586,FTEP,DUKE FLD,1
MAIN,-2,0,0,-86.68916320800781,30.427778244018555,FTEV,HURLBURT FLD,1
MAIN,-2,0,0,-86.52527618408203,30.483333587646484,FTFA,EGLIN AFB,1
MAIN,-2,0,0,9.254166603088379,31.703887939453125,FTZH,EL BORMA,1
MAIN,-2,0,0,10.691666603088379,34.71638870239258,FUQN,THYNA,1
MAIN,-2,0,0,-117.7300033569336,33.67333221435547,FUZD,EL TORO MCAS,1
MAIN,-2,0,0,-149.806396484375,61.25138854980469,FXSB,JB ELMENDORF-RICH,1
MAIN,-2,0,0,-92.54861450195312,31.327499389648438,GAMH,ALEXANDRIA INTL,1
MAIN,-2,0,0,-104.86722564697266,41.13333511352539,GHLN,FRANCIS E WARREN,1
MAIN,-2,0,0,-117.65583038330078,47.6150016784668,GJKZ,FAIRCHILD AFB,1
MAIN,-2,0,0,-1.7899999618530273,51.68333435058594,GKVB,FAIRFORD,1
MAIN,-2,0,0,-95.66361236572266,38.95083236694336,GUQE,FORBES FLD,1
MAIN,-2,0,0,8.570555686950684,50.03333282470703,GYRZ,FRANKFURT MAIN,1
MAIN,-2,0,0,9.919166564941406,33.733333587646484,HNTK,MATMATA,1
MAIN,-2,0,0,8.828055381774902,34.426387786865234,HPBF,GAFSA,1
MAIN,-2,0,0,-87.89694213867188,42.94694519042969,HTUX,GENERAL MITCHELL,1
MAIN,-2,0,0,-117.383056640625,34.59749984741211,HUUA,SOUTHERN CALIFORN,1
MAIN,-2,0,0,10.777222633361816,33.87555694580078,JEAH,DJERBA,1
MAIN,-2,0,0,-97.40110778808594,47.96111297607422,JFSD,GRAND FORKS AFB,1
MAIN,-2,0,0,-75.40694427490234,43.233890533447266,JREZ,GRIFFISS INTL,1
MAIN,-2,0,0,-122.12166595458984,37.65888977050781,KJGW,HAYWARD EXECUTIVE,1
MAIN,-2,0,0,-157.92666625976562,21.316110610961914,KNMD,JBPH-H HICKAM FLD,1
MAIN,-2,0,0,-111.97305297851562,41.1238899230957,KRSM,HILL AFB,1
MAIN,-2,0,0,-106.10916900634766,32.85222244262695,KWRD,HOLLOMAN AFB,1
MAIN,-2,0,0,-80.3838882446289,25.488056182861328,KYJL,HOMESTEAD AFB,1
MAIN,-2,0,0,-157.92666625976562,21.316110610961914,KZTV,HONOLULU INTL,1
MAIN,-2,0,0,-81.14611053466797,32.0099983215332,LEXG,HUNTER AAF,1
MAIN,-2,0,0,-81.67500305175781,30.233888626098633,LSGE,JACKSONVILLE NAS,1
MAIN,-2,0,0,127.76777648925781,26.35555648803711,LXEZ,KADENA AB,1
MAIN,-2,0,0,-157.76805114746094,21.4505558013916,LYAX,KANEOHE BAY MCAF,1
MAIN,-2,0,0,-88.92444610595703,30.410554885864258,MAHG,KEESLER AFB,1
MAIN,-2,0,0,-98.58110809326172,29.384166717529297,MBPB,JBSA KELLY AFB,1
MAIN,-2,0,0,128.93804931640625,35.18055725097656,MEPJ,GIMHAE INTL,1
MAIN,-2,0,0,-106.60916900634766,35.040279388427734,MHMV,KIRTLAND AFB,1
MAIN,-2,0,0,-27.09083366394043,38.76194381713867,MQNA,LAJES,1
MAIN,-2,0,0,0.5611110925674438,52.40944290161133,MSET,LAKENHEATH,1
MAIN,-2,0,0,-90.37000274658203,38.74861145019531,MSQB,LAMBERT ST LOUIS,1
MAIN,-2,0,0,-76.36055755615234,37.08277893066406,MUHJ,JB LANGLEY-EUSTIS,1
MAIN,-2,0,0,-84.98722076416016,32.3316650390625,MYXZ,LAWSON AAF,1
MAIN,-2,0,0,-92.14305877685547,34.9183349609375,NKAK,LITTLE ROCK AFB,1
MAIN,-2,0,0,-71.00638580322266,42.36305618286133,NNGX,GENERAL EDWARD LA,1
