Model,FedTime,PackageID,CargoID,PlatformType,RlnId,Amount,CCC,CargoAld,CargoEad,CargoLad,CargoRdd,CargoRld,Origin,Dest,DepOrdDay,Hot,Level4Item,NonLevel4RORO,Status
MAIN,150.1,MULTI4_8,1:0001257.JDB,PALLET,1:0001257,0.20000076293945312,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.1,MULTI4_8,1:0001257.JDB,PALLET,1:0001257,0.11978721618652344,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,155.3,MULTI3_5,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,155.3,MULTI3_7,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,155.3,MULTI4_6,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,155.3,MULTI4_8,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,167.55,MULTI3_9,1:0001556.JDB,PALLET,1:0001556,0.10085487365722656,JDB,165,166,166,166,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.55,MULTI3_9,1:0001442.JDB,PALLET,1:0001442,0.20000076293945312,JDB,165,166,166,166,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.55,MULTI3_9,1:0001442.JDB,PALLET,1:0001442,0.6991443634033203,JDB,165,166,166,166,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.55,MULTI2_10,1:0001442.JDB,PALLET,1:0001442,0.10085487365722656,JDB,165,157,172,172,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.55,MULTI2_10,1:0001452.JDB,PALLET,1:0001452,0.7999992370605469,JDB,165,157,172,172,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.6,MULTI3_11,1:0001555.JDB,PALLET,1:0001555,0.10085487365722656,JDB,165,166,166,166,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.6,MULTI3_11,1:0001441.JDB,PALLET,1:0001441,0.20000076293945312,JDB,165,166,166,166,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.6,MULTI3_11,1:0001441.JDB,PALLET,1:0001441,0.6991443634033203,JDB,165,166,166,166,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.6,MULTI2_12,1:0001441.JDB,PALLET,1:0001441,0.10085487365722656,JDB,165,157,172,172,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.6,MULTI2_12,1:0001451.JDB,PALLET,1:0001451,0.7999992370605469,JDB,165,157,172,172,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.8,MULTI2_13,1:0001451.JDB,PALLET,1:0001451,0.20000076293945312,JDB,166,157,173,173,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,167.8,MULTI2_13,1:0001452.JDB,PALLET,1:0001452,0.20000076293945312,JDB,166,157,173,173,167,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,171.5,MULTI3_11,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,171.5,MULTI3_9,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,171.55,MULTI2_10,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,171.55,MULTI2_12,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,172.15,MULTI2_13,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
