Model,FedTime,ToTime,ToPurpose,ToLocation,RampName,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,Fleet,CrewType,CrewID,CrewAugmentedSize,CrewAugmentedDuty,MissionID,EarliestReleaseTime,Craf,Contam,Hot,Acl,CrewDutyLeft,OnGroundTime,ServiceTime,ScheduleDelay,CrewRestTime,FuelAmount,ChannelMissionId,SaamId,SaamLegId,ReconfigureTime
MAIN,152.55,152.51369,ENROUTE,TYFR,RAMP1,152.18971,LOAD,FJXT,AIR,KC-10,KC10-XDAT034,STRATEGIC,"","",false,false,KC10-XDAT034-D0151R0009S01,153.13869,false,false,false,71.331604,0.22810337,0.625,0.0625,0.23394775,0.32855225,0,,"","",0
MAIN,152.55,152.51369,ENROUTE,TYFR,RAMP1,152.18971,LOAD,FJXT,AIR,KC-10,KC10-XDAT027,STRATEGIC,"","",false,false,KC10-XDAT027-D0151R0009S01,153.13869,false,false,false,71.331604,0.22810337,0.625,0.0625,0.23394775,0.32855225,0,,"","",0
MAIN,152.6,152.57619,ENROUTE,TYFR,RAMP1,152.25221,LOAD,FJXT,AIR,KC-10,KC10-XDAT031,STRATEGIC,"","",false,false,KC10-XDAT031-D0151R0009S01,153.20119,false,false,false,71.331604,0.22810337,0.625,0.0625,0.17144775,0.39105225,0,,"","",0
MAIN,152.65,152.64903,UNLOAD,HNTK,GABES -HNTK-APT-parking,152.46935,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT038,STRATEGIC,"","",false,false,KC10-XDAT038-D0151R0005S01,153.27403,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,152.7,152.6882,UNLOAD,BQWK,UNKNOWN,152.34375,LOAD,SEA1,AIR,CH47,CH47-SEA1002,STRATEGIC,"","",false,false,CH47-SEA1002-D0152R0013S01,152.77992,false,false,false,10.5,0,0.09172058,0.09172454,0,0,0,,"","",0
MAIN,152.85,152.80118,HOME,SEA1,RAMP1,152.77992,UNLOAD,BQWK,AIR,CH47,CH47-SEA1002,STRATEGIC,"","",false,false,CH47-SEA1002-D0152R0013S01,152.89493,false,false,false,10.5,0,0.09375,0.09375,0,0,0,,"","",0
MAIN,153.1,153.05232,ENROUTE,MQNA,RAMP1,152.83519,LOAD,FJXT,AIR,KC-10,KC10-XDAT012,STRATEGIC,"","",false,false,KC10-XDAT012-D0152R0008S01,153.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,153.15,153.12347,ENROUTE,MQNA,RAMP1,152.91951,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT033,STRATEGIC,"","",false,false,KC10-XDAT033-D0151R0008S01,153.18597,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,153.15,153.12347,ENROUTE,MQNA,RAMP1,152.91951,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT009,STRATEGIC,"","",false,false,KC10-XDAT009-D0151R0008S01,153.18597,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,153.15,153.12347,ENROUTE,MQNA,RAMP1,152.91951,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT011,STRATEGIC,"","",false,false,KC10-XDAT011-D0151R0008S01,153.18597,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
