Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000011.PLT5_1,1,0,108,88,60,12,108,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT12_1,1,0,108,88,60,582,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT13_1,1,0,108,88,60,696,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT14_1,1,0,108,88,60,582,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT15_1,1,0,108,88,60,468,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT16_1,1,0,108,88,60,696,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT17_1,1,0,108,88,60,354,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT18_1,1,0,108,88,60,468,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT19_1,1,0,108,88,60,810,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT20_1,1,0,108,88,60,354,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT21_1,1,0,108,88,60,924,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT22_1,1,0,108,88,60,810,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT23_1,1,0,108,88,60,240,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT24_1,1,0,108,88,60,924,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT25_1,1,0,108,88,60,126,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT26_1,1,0,108,88,60,240,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT27_1,1,0,108,88,60,1038,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT28_1,1,0,108,88,60,126,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT29_1,1,0,108,88,60,1152,15,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT30_1,1,0,108,88,60,1038,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT31_1,1,0,108,88,60,12,14,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT32_1,1,0,108,88,60,1152,109,false,AFT/CENTER/LOWER,2,
MAIN,26.75,KC10-XDAT033-D0025R0001S01,1:0000010.PLT33_1,1,0,108,88,60,12,108,false,AFT/CENTER/LOWER,2,
MAIN,26.75,C17-XDAT004-D0025R0002S01,1:5CCAV.D2D0001_1,1.4,0,129,71,75,297,29,false,AFT/CENTER/LOWER,4,
MAIN,26.75,C17-XDAT004-D0025R0002S01,1:5CCAV.J3D0001_1,1.3,0,108,88,70,432,64,false,AFT/CENTER/LOWER,4,
MAIN,26.75,C17-XDAT004-D0025R0002S01,1:5CCAV.J3D0002_1,1.5,0,108,88,76,318,106,false,AFT/CENTER/LOWER,4,
MAIN,26.85,KC10-XDAT036-D0025R0001S01,1:0QBJ.M7C0001_1,0.1,0,108,88,60,465,12,true,AFT/CENTER/LOWER,2,
MAIN,26.85,KC10-XDAT036-D0025R0001S01,1:0JXC.M7C0001_1,0.1,0,108,88,60,579,12,true,AFT/CENTER/LOWER,2,
MAIN,26.85,KC10-XDAT036-D0025R0001S01,1:0JXC.J7C0001_1,1,0,55,52,48,518,106,false,AFT/CENTER/LOWER,2,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT34_1,1,0,108,88,60,582,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT35_1,1,0,108,88,60,696,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT36_1,1,0,108,88,60,582,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT37_1,1,0,108,88,60,468,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT38_1,1,0,108,88,60,696,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT39_1,1,0,108,88,60,354,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT40_1,1,0,108,88,60,468,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT41_1,1,0,108,88,60,810,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT42_1,1,0,108,88,60,354,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT43_1,1,0,108,88,60,924,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT44_1,1,0,108,88,60,810,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT45_1,1,0,108,88,60,240,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT46_1,1,0,108,88,60,924,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT47_1,1,0,108,88,60,126,109,false,AFT/CENTER/LOWER,3,
