Model,FedTime,AssetID,AmountAvailable,AmountAvailableAddSea,AmountPlanned,AmountCommited,AmountCancelled
MAIN,15.05,6913429,6415.900390625,0.0,4448.222949981689,4448.222949981689,0.0
MAIN,15.05,7027576,0.0,1032959.962890625,0.0,0.0,0.0
MAIN,15.05,7034335,0.0,981632.759765625,0.0,0.0,0.0
MAIN,15.05,7216854,0.0,179645.2109375,0.0,0.0,0.0
MAIN,15.05,7227205,6415.900390625,0.0,0.0,0.0,0.0
MAIN,15.05,7229423,0.0,173229.310546875,0.0,0.0,0.0
MAIN,15.05,7234430,0.0,513272.03125,0.0,0.0,0.0
MAIN,15.05,7320411,0.0,461944.828125,0.0,0.0,0.0
MAIN,15.05,7390117,6415.900390625,0.0,1967.6773376464844,0.0,0.0
MAIN,15.05,7602247,0.0,51327.203125,0.0,0.0,0.0
MAIN,15.05,7704930,6415.900390625,52006.49884033203,7210.799944639206,0.0,0.0
MAIN,15.05,7717171,13000.400772094727,4244.89990234375,168.5999937057495,0.0,0.0
MAIN,15.05,7825409,6415.900390625,0.0,0.0,0.0,0.0
MAIN,15.05,7825423,6415.900390625,0.0,6378.700286865234,0.0,0.0
MAIN,15.05,7909968,0.0,17.400009155273438,0.0,0.0,0.0
MAIN,15.05,8211306,0.0,346.400634765625,0.0,0.0,0.0
MAIN,15.05,8450665,17245.300674438477,0.0,0.0,0.0,0.0
MAIN,15.05,8450677,17245.300674438477,0.0,0.0,0.0,0.0
MAIN,15.05,9137349,0.0,222.11749267578125,0.0,0.0,0.0
MAIN,16.05,1000059,8143.700439453125,0.0,0.0,0.0,0.0
MAIN,16.05,1811111,24978.317672729492,0.0,0.0,0.0,0.0
MAIN,16.05,5555007,10861.917282104492,0.0,0.0,0.0,0.0
MAIN,16.05,6372812,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,6708379,24988.917678833008,0.0,0.0,0.0,0.0
MAIN,16.05,6812211,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,6820579,10.600006103515625,6.8000030517578125,17.40000057220459,17.40000057220459,0.0
MAIN,16.05,6828624,53.90008544921875,0.0,6.099999904632568,6.099999904632568,0.0
MAIN,16.05,6905252,24988.917678833008,927.6999816894531,2.700000047683716,0.0,0.0
MAIN,16.05,6913429,0.0,143640.45678710938,0.0,0.0,0.0
MAIN,16.05,6916861,37.200103759765625,0.0,37.20000076293945,37.20000076293945,0.0
MAIN,16.05,7026259,80.50018310546875,184.91738891601562,37.20000076293945,37.20000076293945,0.0
MAIN,16.05,7027576,0.0,1032959.962890625,0.0,0.0,0.0
MAIN,16.05,7034335,0.0,981632.759765625,0.0,0.0,0.0
MAIN,16.05,7114185,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,7116315,4255.499908447266,0.0,0.0,0.0,0.0
MAIN,16.05,7208297,0.0,0.0,0.0,0.0,0.0
MAIN,16.05,7216854,0.0,179645.2109375,0.0,0.0,0.0
MAIN,16.05,7218462,15329.917922973633,0.0,4.400000095367432,4.400000095367432,0.0
MAIN,16.05,7224306,24988.917678833008,0.0,0.0,0.0,0.0
MAIN,16.05,7224904,15800.299697875977,0.0,0.0,0.0,0.0
MAIN,16.05,7227205,8912.600402832031,0.0,0.0,0.0,0.0
MAIN,16.05,7229423,0.0,173229.310546875,0.0,0.0,0.0
MAIN,16.05,7233278,6691.91796875,0.0,37.20000076293945,37.20000076293945,0.0
MAIN,16.05,7234430,0.0,141672.779296875,1890.703971862793,1890.703971862793,0.0
MAIN,16.05,7320411,0.0,125931.359375,76.9733657836914,76.9733657836914,0.0
MAIN,16.05,7395351,4244.89990234375,0.0,0.0,0.0,0.0
MAIN,16.05,7506015,6415.900390625,0.0,6378.700286865234,6378.700286865234,0.0
MAIN,16.05,7617890,1121.7855529785156,0.0,0.0,0.0,0.0
MAIN,16.05,7617905,1121.7855529785156,12012.056610107422,13123.242156982422,0.0,0.0
MAIN,16.05,7634331,7184.800354003906,6404.699859619141,2779.6999435424805,2779.6999435424805,0.0
MAIN,16.05,7635933,7141.89990234375,0.0,0.0,0.0,0.0
MAIN,16.05,7635945,24978.317672729492,0.0,0.0,0.0,0.0
MAIN,16.05,7704930,4244.89990234375,0.0,0.0,0.0,0.0
MAIN,16.05,7714349,4244.89990234375,0.0,0.0,0.0,0.0
MAIN,16.05,7717171,345.8000183105469,581.8999633789062,927.7000102996826,0.0,0.0
MAIN,16.05,7729459,24988.917678833008,0.0,0.0,0.0,0.0
MAIN,16.05,7729461,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,7820411,5972.699951171875,0.0,0.0,0.0,0.0
MAIN,16.05,7820423,1727.800048828125,7892.199920654297,2549.5000019073486,0.0,0.0
MAIN,16.05,7820980,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,7825409,8912.600402832031,0.0,0.0,0.0,0.0
MAIN,16.05,7825423,8912.600402832031,0.0,0.0,0.0,0.0
MAIN,16.05,7909968,0.0,24.20001220703125,0.0,0.0,0.0
MAIN,16.05,8026048,4244.89990234375,930.3999938964844,4240.5,0.0,0.0
MAIN,16.05,8200709,16791.317153930664,0.0,0.0,0.0,0.0
MAIN,16.05,8200711,24935.01759338379,0.0,0.0,0.0,0.0
MAIN,16.05,8211306,0.0,352.5006103515625,0.0,0.0,0.0
MAIN,16.05,8212647,18962.317642211914,0.0,0.0,0.0,0.0
MAIN,16.05,8212673,19005.617721557617,0.0,0.0,0.0,0.0
MAIN,16.05,8212685,19005.617721557617,0.0,0.0,0.0,0.0
MAIN,16.05,8221507,4244.89990234375,930.3999938964844,4.400000095367432,0.0,0.0
MAIN,16.05,8221545,5972.699951171875,0.0,0.0,0.0,0.0
MAIN,16.05,8300559,1727.800048828125,0.0,0.0,0.0,0.0
MAIN,16.05,8303991,1727.800048828125,0.0,0.0,0.0,0.0
MAIN,16.05,8304000,1727.800048828125,0.0,0.0,0.0,0.0
