Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,BerthName,Contam
MAIN,37.65,7233278,7233278-1,UTAC,CONT-NSS,POE,37.625,SAN DIEGO berth group-UTAC,false
MAIN,37.7,9015204,9015204-1,HNTS,CONT-SS,POD,37.666668,BG Gabes berth1,false
MAIN,37.85,8320779,8320779-1,HNTS,CAR TRANS,POD,37.833332,BG Gabes berth1,false
MAIN,37.95,6708379,6708379-1,UTAC,CONT-NSS,POE,37.916668,SAN DIEGO berth group-UTAC,false
MAIN,38.05,8902395,8902395-1,VKNP,CONT-NSS,POD,38,BG Safaqis cont-1 berth,false
MAIN,38.5,1811111,1811111-2,RUAM,CONT-NSS,POE,38.476738,Unconstrained,false
MAIN,38.55,7218462,7218462-1,HNTS,CONT-NSS,POD,38.5,BG Gabes berth1,false
MAIN,39.5,90664384,90664384-1,VKNP,CONT-NSS,POD,39.458332,BG Safaqis cont-1 berth,false
MAIN,39.5,9064267,9064267-1,DKSD,CONT-NSS,POE,39.458332,Charleston-DKSD Terminal-19777,false
MAIN,39.95,6820579,6820579-1,HNTS,CONT-NSS,POD,39.916668,BG Gabes berth1,false
MAIN,40.05,7635933,7635933-1,RUAM,CONT-NSS,POE,40.024654,Unconstrained,false
MAIN,40.2,7820423,7820423-1,HNTS,RO/RO,POD,40.166668,BG Gabes berth1,false
MAIN,40.65,9125592,9125592-1,SEA1,VISA CONT,POD,40.625,N/A,false
MAIN,40.7,7820411,7820411-1,HNTS,RO/RO,POD,40.666668,BG Gabes berth1,false
MAIN,41.05,8322789,8322789-1,RRRK,CONT-NSS,POE,41.041668,NEW YORK berth group-RRRK,false
MAIN,41.1,6913429,6913429-2,DKSD,COMBO,POE,41.083332,Charleston-DKSD Terminal-19777,false
MAIN,41.2,7050248,7050248-1,HNTS,BARGE(T-AKB),POD,41.166668,BG Gabes berth1,false
MAIN,41.5,7224904,7224904-1,VKNP,CONT-NSS,POD,41.458332,BG Safaqis cont-1 berth,false
MAIN,41.75,9007817,9007817-1,DKSD,CONT-NSS,POE,41.708332,Charleston-DKSD Terminal-19777,false
MAIN,42.05,5432112,5432112-1,VKNP,RO/RO,POD,42.041668,BG Safaqis cont-2 berth,false
MAIN,42.1,7390117,7390117-1,HNTS,RO/RO,POD,42.083332,BG Gabes berth1,false
MAIN,42.35,8026048,8026048-1,VKNP,RO/RO,POD,42.333332,BG Safaqis cont-1 berth,false
MAIN,42.7,7334204,7334204-1,HNTS,COMBO,POD,42.666668,BG Gabes berth2,false
MAIN,42.75,7714349,7714349-1,SBEA,CONT-NSS,POE,42.708332,NORFOLK berth group-SBEA,false
MAIN,43.1,9137349,9137349-1,QTUP,BREAKBULK,POE,43.083332,MOREHEAD CITY BG-QTUP -19792,false
MAIN,43.25,8221507,8221507-1,VKNP,CONT-NSS,POD,43.208332,BG Safaqis cont-1 berth,false
MAIN,43.5,8200711,8200711-1,HNTS,CONT-NSS,POD,43.458332,BG Gabes berth1,false
MAIN,43.55,7909968,7909968-1,HNTS,RO/RO,POD,43.5,BG Gabes berth1,false
MAIN,43.55,7395351,7395351-1,VKNP,RO/RO,POD,43.541668,BG Safaqis cont-1 berth,false
MAIN,43.9,8221545,8221545-1,VKNP,CONT-SS,POD,43.875,BG Safaqis cont-1 berth,false
MAIN,44.1,7729459,7729459-1,RUAM,CONT-NSS,POE,44.068054,Unconstrained,false
MAIN,44.45,7617905,7617905-1,HNTS,CONT-NSS,POD,44.416668,BG Gabes berth1,false
MAIN,44.7,7116315,7116315-1,FQZF,CONT-NSS,POE,44.695137,Unconstrained,false
MAIN,44.95,6828624,6828624-2,RUAM,CONT-NSS,POE,44.941666,Unconstrained,false
MAIN,46.1,8419142,8419142-1,FQZF,CONT-NSS,POE,46.075,Unconstrained,false
