Model,FedTime,Day,AssetPool,VehType,VehLoadsAvail,VehLoadsAvailReady,VehLoadsPlanned,VehLoadsPlannedReady,VehLoadsScheduled,VehLoadsScheduledReady,VehLoadsCommitted,VehLoadsExecuted
MAIN,7.05,6,eleven,commercial medium railcar,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,0.0,0.0
MAIN,7.05,6,seven,54DODX,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
MAIN,7.05,6,seven,M1074 PLS,12.32954504340887,0.0,12.32954504340887,0.0,0.0,0.0,0.0,0.0
MAIN,7.05,6,seven,M1083 WOWN 5-Ton MTV,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0
MAIN,7.05,6,ten,commercial boxcar,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.0
MAIN,7.05,6,ten,commercial medium railcar,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,0.0,0.0,0.0,0.0
MAIN,7.05,6,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,11.400640733540058,0.0,11.400640733540058,0.0,0.0,0.0,0.0,0.0
MAIN,7.05,6,two,Commercial 10-Ton Tractor/Commercial Semitrailer,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25
MAIN,7.05,6,two,Commercial Bus 45-pax,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.0,0.2666666805744171
MAIN,8.05,7,eleven,68FLAT,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
MAIN,8.05,7,eleven,Commercial Bus 45-pax,11.48888874053955,0.0,11.48888874053955,0.0,11.48888874053955,0.0,0.0,11.488888889551163
MAIN,8.05,7,eleven,commercial medium railcar,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,0.0,0.0
MAIN,8.05,7,seven,54DODX,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
MAIN,8.05,7,seven,Commercial Bus 45-pax,11.48888874053955,0.0,11.48888874053955,0.0,0.0,0.0,0.0,0.0
MAIN,8.05,7,ten,commercial boxcar,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.0
MAIN,8.05,7,ten,commercial medium railcar,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,0.0,0.0,0.0,0.0
MAIN,8.05,7,twelve,Commercial Bus 45-pax,11.48888874053955,0.0,11.48888874053955,0.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,eleven,68FLAT,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,1.6923077180981636,0.0,1.6923077180981636,0.0,1.6923077180981636,0.0,0.0,0.0
MAIN,9.05,8,eleven,commercial medium railcar,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,0.0,7.058823589235544
MAIN,9.05,8,seven,54DODX,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,seven,M1074 PLS,1.7500000223517418,0.0,1.7500000223517418,0.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,seven,M1083 WOWN 5-Ton MTV,8.5,0.0,8.5,0.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,ten,commercial boxcar,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.0
MAIN,9.05,8,ten,commercial medium railcar,7.058823529630899,7.058823529630899,7.058823529630899,7.058823529630899,0.0,0.0,0.0,0.0
