Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,RampName,Departed,Contam
MAIN,54.05,KC10-XDAT014,KC10-XDAT014-D0051R0002S01,HNTK,KC-10,PLACE_HOLDER,54.00726,GABES -HNTK-APT-parking,false,false
MAIN,54.15,C17-DKFX006,C17-DKFX006-D0049R0003S01,MQNA,C-17,PLACE_HOLDER,54.148727,RAMP1,false,false
MAIN,54.25,KC10-XDAT013,KC10-XDAT013-D0051R0002S01,MQNA,KC-10,PLACE_HOLDER,54.211227,RAMP1,false,false
MAIN,54.3,KC10-XDAT007,KC10-XDAT007-D0051R0005S01,PTFL,KC-10,PLACE_HOLDER,54.2565,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,54.3,KC10-XDAT014,KC10-XDAT014-D0051R0002S01,MQNA,KC-10,PLACE_HOLDER,54.273727,RAMP1,false,false
MAIN,54.3,B747-400-XDAT013,B747-400-XDAT013-D0054R0002S01,XDAT,B-747P,PLACE_HOLDER,54.285828,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,54.45,B747-400-XDAT009,B747-400-XDAT009-D0053R0007S01,LEXG,B-747P,PLACE_HOLDER,54.439186,HUNTER AAF -LEXG-MAP-PARKING,false,false
MAIN,54.45,B747-400-XDAT010,B747-400-XDAT010-D0053R0005S01,LEXG,B-747P,PLACE_HOLDER,54.439186,HUNTER AAF -LEXG-MAP-PARKING,false,false
MAIN,54.6,KC10-XDAT007,KC10-XDAT007-D0054R0006S01,XDAT,KC-10,PLACE_HOLDER,54.559597,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,54.6,C17-DKFX003,C17-DKFX003-D0050R0008S01,MQNA,C-17,PLACE_HOLDER,54.59037,RAMP1,false,false
MAIN,54.65,C17-DKFX004,C17-DKFX004-D0050R0005S01,MQNA,C-17,PLACE_HOLDER,54.61352,RAMP1,false,false
MAIN,54.7,B747-400-XDAT011,B747-400-XDAT011-D0051R0003S01,TYFR,B-747P,PLACE_HOLDER,54.6944,RAMP1,false,false
MAIN,54.75,C17-PQWY004,C17-PQWY004-D0050R0003S02,PTFL,C-17,PLACE_HOLDER,54.74908,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,54.8,B747-400-XDAT012,B747-400-XDAT012-D0054R0002S01,UHGN,B-747P,PLACE_HOLDER,54.752888,ROBERT GRAY AAF -UHGN-MAP-PARKING,false,false
MAIN,54.85,B747-400-XDAT007,B747-400-XDAT007-D0053R0006S01,FUQN,B-747P,PLACE_HOLDER,54.829834,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,54.85,KC10-XDAT010,KC10-XDAT010-D0054R0005S01,FJXT,KC-10,PLACE_HOLDER,54.835186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,54.85,KC10-XDAT011,KC10-XDAT011-D0054R0005S01,FJXT,KC-10,PLACE_HOLDER,54.835186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,54.85,KC10-XDAT012,KC10-XDAT012-D0054R0004S01,FJXT,KC-10,PLACE_HOLDER,54.835186,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,54.9,KC10-XDAT015,KC10-XDAT015-D0054R0001S01,FJXT,KC-10,PLACE_HOLDER,54.897686,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,55,C17-PQWY004,C17-PQWY004-D0050R0003S02,AWUB,C-17,PLACE_HOLDER,54.983418,UNKNOWN,false,false
MAIN,55.05,B747-400-XDAT013,B747-400-XDAT013-D0054R0002S01,UHGN,B-747P,PLACE_HOLDER,55.038715,ROBERT GRAY AAF -UHGN-MAP-PARKING,false,false
MAIN,55.1,KC10-XDAT013,KC10-XDAT013-D0051R0002S01,PTFL,KC-10,PLACE_HOLDER,55.076668,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,55.15,KC10-XDAT010,KC10-XDAT010-D0054R0005S01,MQNA,KC-10,PLACE_HOLDER,55.114822,RAMP1,false,false
MAIN,55.15,KC10-XDAT011,KC10-XDAT011-D0054R0005S01,MQNA,KC-10,PLACE_HOLDER,55.114822,RAMP1,false,false
MAIN,55.15,KC10-XDAT012,KC10-XDAT012-D0054R0004S01,MQNA,KC-10,PLACE_HOLDER,55.114822,RAMP1,false,false
MAIN,55.15,KC10-XDAT014,KC10-XDAT014-D0051R0002S01,PTFL,KC-10,PLACE_HOLDER,55.139168,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,55.2,KC10-XDAT015,KC10-XDAT015-D0054R0001S01,MQNA,KC-10,PLACE_HOLDER,55.177322,RAMP1,false,false
MAIN,55.4,KC10-XDAT007,KC10-XDAT007-D0054R0006S01,FJXT,KC-10,PLACE_HOLDER,55.394783,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,55.5,B747-400-XDAT009,B747-400-XDAT009-D0053R0007S01,FUQN,B-747P,PLACE_HOLDER,55.454834,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,55.55,B747-400-XDAT010,B747-400-XDAT010-D0053R0005S01,CWKW,B-747P,PLACE_HOLDER,55.543705,RAMP1,false,false
MAIN,55.6,B747-400-XDAT007,B747-400-XDAT007-D0053R0006S01,TYFR,B-747P,PLACE_HOLDER,55.57139,RAMP1,false,false
MAIN,55.75,C17-PQWY004,C17-PQWY004-D0050R0003S02,FJXT,C-17,PLACE_HOLDER,55.72675,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,55.8,B747-400-XDAT012,B747-400-XDAT012-D0054R0002S01,TYFR,B-747P,PLACE_HOLDER,55.78005,RAMP1,false,false
MAIN,55.8,B747-400-XDAT010,B747-400-XDAT010-D0053R0005S01,FUQN,B-747P,PLACE_HOLDER,55.79631,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,55.95,KC10-XDAT010,KC10-XDAT010-D0054R0005S01,HNTK,KC-10,PLACE_HOLDER,55.91951,GABES -HNTK-APT-parking,false,false
