Model,FedTime,Key,PositionUpdateTime,ShipStatus,Longitude,Latitude
MAIN,175.05,6828624,0,AT_SEA_EMPTY,-60.664024353027344,20.544055938720703
MAIN,175.05,7302897,0,AT_SEA_EMPTY,-70.0,30.0
MAIN,175.05,7236153,0,AT_SEA_EMPTY,-69.17183685302734,30.07669448852539
MAIN,175.05,7320411,0,AT_SEA_EMPTY,-49.47124099731445,31.901105880737305
MAIN,175.05,7218462,0,AT_SEA_LOADED,-20.0,40.0
MAIN,175.05,7002071,0,AT_SEA_EMPTY,-45.653358459472656,24.755247116088867
MAIN,175.05,7223508,0,AT_SEA_EMPTY,-60.174198150634766,40.24348068237305
MAIN,175.05,7303205,0,AT_SEA_LOADED,-41.631500244140625,40.131099700927734
MAIN,175.05,6913259,0,AT_SEA_EMPTY,-21.469505310058594,31.539947509765625
MAIN,175.05,7224306,0,AT_SEA_EMPTY,-21.052539825439453,31.656925201416016
MAIN,175.05,9015204,0,AT_SEA_EMPTY,-36.0098876953125,26.009889602661133
MAIN,175.05,6820579,0,AT_SEA_EMPTY,-74.51769256591797,28.029998779296875
MAIN,175.05,7802718,0,AT_SEA_EMPTY,-79.66670227050781,9.210838317871094
MAIN,175.05,7325253,0,AT_SEA_EMPTY,-85.86996459960938,26.911828994750977
MAIN,175.05,7226897,0,AT_SEA_EMPTY,-72.51412963867188,38.734519958496094
MAIN,175.05,1811111,0,AT_SEA_EMPTY,5.533554553985596,37.31061553955078
MAIN,175.05,8221545,0,AT_SEA_LOADED,-7.950847625732422,36.48448944091797
MAIN,175.05,6708379,0,AT_SEA_LOADED,4.736271858215332,37.274375915527344
MAIN,175.05,6905252,0,AT_SEA_EMPTY,-6.428018093109131,35.75978469848633
MAIN,175.05,9074391,0,AT_SEA_LOADED,-19.81818962097168,39.94588088989258
MAIN,175.1,7236153,0,AT_SEA_EMPTY,-70.0,30.0
MAIN,175.2,7233278,0,AT_SEA_EMPTY,10.766666412353516,34.733333587646484
MAIN,175.25,1811111,0,AT_SEA_EMPTY,3.0999999046325684,37.20000076293945
MAIN,175.25,7802718,0,AT_SEA_EMPTY,-79.66670227050781,9.199999809265137
MAIN,175.3,7233278,0,AT_SEA_EMPTY,11.600000381469727,35.0
MAIN,175.3,6708379,0,AT_SEA_LOADED,7.5,37.400001525878906
MAIN,175.3,8221545,0,AT_SEA_LOADED,-5.75,35.95000076293945
MAIN,175.3,7802718,0,AT_SEA_EMPTY,-79.5,8.600000381469727
MAIN,175.3,7226897,0,AT_SEA_EMPTY,-75.94999694824219,36.95000076293945
MAIN,175.4,8221545,0,AT_SEA_LOADED,-4.699999809265137,36.0
MAIN,175.4,7226897,0,AT_SEA_EMPTY,-76.1500015258789,37.79999923706055
MAIN,175.5,7802718,0,AT_SEA_EMPTY,-80.0,7.0
MAIN,175.55,7226897,0,AT_SEA_EMPTY,-76.58329772949219,39.266700744628906
MAIN,175.55,7233278,0,AT_SEA_EMPTY,11.0,37.5
MAIN,175.6,1811111,0,AT_SEA_EMPTY,-0.6000000238418579,36.20000076293945
MAIN,175.6,6708379,0,AT_SEA_LOADED,11.0,37.5
MAIN,175.6,8221545,0,AT_SEA_LOADED,-2.9000000953674316,35.900001525878906
MAIN,175.65,9015204,0,AT_SEA_EMPTY,-40.0,30.0
MAIN,175.65,7802718,0,AT_SEA_EMPTY,-81.4000015258789,6.900000095367432
MAIN,175.7,7223508,0,AT_SEA_EMPTY,-69.5,40.29999923706055
