Model,FedTime,RoundTripID,MissionID,AssetID,StartTime
MAIN,25.35,KC10-XDAT031-D0025R0001,KC10-XDAT031-D0025R0001S01,KC10-XDAT031,25.333334
MAIN,25.45,KC10-XDAT032-D0025R0001,KC10-XDAT032-D0025R0001S01,KC10-XDAT032,25.416666
MAIN,25.55,KC10-XDAT033-D0025R0001,KC10-XDAT033-D0025R0001S01,KC10-XDAT033,25.5
MAIN,25.6,KC10-XDAT034-D0025R0001,KC10-XDAT034-D0025R0001S01,KC10-XDAT034,25.583334
MAIN,25.7,KC10-XDAT035-D0025R0001,KC10-XDAT035-D0025R0001S01,KC10-XDAT035,25.666666
MAIN,25.8,KC10-XDAT036-D0025R0001,KC10-XDAT036-D0025R0001S01,KC10-XDAT036,25.75
MAIN,25.85,KC10-XDAT037-D0025R0001,KC10-XDAT037-D0025R0001S01,KC10-XDAT037,25.833334
MAIN,26.05,C17-DKFX002-D0026R0004,C17-DKFX002-D0026R0004S01,C17-DKFX002,26
MAIN,26.05,B747-400-XDAT002-D0026R0005,B747-400-XDAT002-D0026R0005S01,B747-400-XDAT002,26
MAIN,26.15,C17-DKFX003-D0026R0003,C17-DKFX003-D0026R0003S01,C17-DKFX003,26.108734
MAIN,26.15,C17-PQWY002-D0016R0001,C17-PQWY002-D0016R0001S04,C17-PQWY002,26.108734
MAIN,26.75,C17-XDAT003-D0016R0001,C17-XDAT003-D0016R0001S04,C17-XDAT003,26.702778
MAIN,26.85,B747-400-XDAT001-D0026R0006,B747-400-XDAT001-D0026R0006S01,B747-400-XDAT001,26.848303
MAIN,27,B747-400-XDAT003-D0026R0004,B747-400-XDAT003-D0026R0004S01,B747-400-XDAT003,26.9726
MAIN,27.05,B747-400-XDAT004-D0027R0003,B747-400-XDAT004-D0027R0003S01,B747-400-XDAT004,27
MAIN,27.05,B747-400-XDAT005-D0027R0003,B747-400-XDAT005-D0027R0003S01,B747-400-XDAT005,27
MAIN,27.05,B747-400-XDAT006-D0027R0002,B747-400-XDAT006-D0027R0002S01,B747-400-XDAT006,27
MAIN,27.05,KC10-XDAT003-D0027R0003,KC10-XDAT003-D0027R0003S01,KC10-XDAT003,27
MAIN,27.05,B747-400-AEDY002-D0027R0002,B747-400-AEDY002-D0027R0002S01,B747-400-AEDY002,27
MAIN,27.2,C17-PQWY004-D0024R0001,C17-PQWY004-D0024R0001S02,C17-PQWY004,27.183332
MAIN,27.3,CH47-SEA1001-D0027R0001,CH47-SEA1001-D0027R0001S01,CH47-SEA1001,27.25
MAIN,27.3,CH47-SEA1002-D0027R0001,CH47-SEA1002-D0027R0001S01,CH47-SEA1002,27.34375
MAIN,27.3,CH47-SEA1003-D0027R0001,CH47-SEA1003-D0027R0001S01,CH47-SEA1003,27.4375
MAIN,27.45,B747-400-AEDY001-D0027R0003,B747-400-AEDY001-D0027R0003S01,B747-400-AEDY001,27.400639
MAIN,27.55,C17-XDAT010-D0020R0002,C17-XDAT010-D0020R0002S03,C17-XDAT010,27.524399
MAIN,27.7,C17-XDAT003-D0027R0002,C17-XDAT003-D0027R0002S01,C17-XDAT003,27.66471
MAIN,27.9,CH47-SEA1001-D0028R0002,CH47-SEA1001-D0028R0002S01,CH47-SEA1001,28.08243
MAIN,28.05,B747-400-AEDY003-D0028R0002,B747-400-AEDY003-D0028R0002S01,B747-400-AEDY003,28
MAIN,28.45,KC10-XDAT030-D0025R0001,KC10-XDAT030-D0025R0001S02,KC10-XDAT030,28.400448
MAIN,28.85,C17-PQWY001-D0020R0002,C17-PQWY001-D0020R0002S03,C17-PQWY001,28.82986
MAIN,28.9,C17-XDAT004-D0025R0002,C17-XDAT004-D0025R0002S02,C17-XDAT004,28.863409
MAIN,29.05,KC10-XDAT001-D0029R0005,KC10-XDAT001-D0029R0005S01,KC10-XDAT001,29
MAIN,29.05,KC10-XDAT002-D0029R0005,KC10-XDAT002-D0029R0005S01,KC10-XDAT002,29
MAIN,29.05,KC10-XDAT004-D0029R0004,KC10-XDAT004-D0029R0004S01,KC10-XDAT004,29
MAIN,29.05,B747-400-AEDY004-D0029R0002,B747-400-AEDY004-D0029R0002S01,B747-400-AEDY004,29
MAIN,29.15,KC10-XDAT037-D0025R0001,KC10-XDAT037-D0025R0001S02,KC10-XDAT037,29.108782
MAIN,29.2,KC10-XDAT032-D0029R0002,KC10-XDAT032-D0029R0002S01,KC10-XDAT032,29.169302
MAIN,29.25,KC10-XDAT036-D0025R0001,KC10-XDAT036-D0025R0001S02,KC10-XDAT036,29.212948
MAIN,29.45,B747-400-XDAT002-D0029R0006,B747-400-XDAT002-D0029R0006S01,B747-400-XDAT002,29.445066
MAIN,29.8,C17-PQWY001-D0029R0003,C17-PQWY001-D0029R0003S01,C17-PQWY001,29.796598
MAIN,30,C17-DKFX002-D0026R0004,C17-DKFX002-D0026R0004S02,C17-DKFX002,29.962372
MAIN,30,C17-DKFX003-D0029R0004,C17-DKFX003-D0029R0004S01,C17-DKFX003,29.964167
MAIN,30,B747-400-XDAT001-D0029R0007,B747-400-XDAT001-D0029R0007S01,B747-400-XDAT001,29.965313
MAIN,30.05,C17-XDAT001-D0030R0002,C17-XDAT001-D0030R0002S01,C17-XDAT001,30
MAIN,30.25,B747-400-XDAT006-D0030R0003,B747-400-XDAT006-D0030R0003S01,B747-400-XDAT006,30.232977
MAIN,30.3,B747-400-XDAT003-D0030R0005,B747-400-XDAT003-D0030R0005S01,B747-400-XDAT003,30.262524
