Model,FedTime,CompleteTime,Location,RLN,VirtualRlnId
MAIN,83.05,83.00625,FJXT,1:0000425,""
MAIN,83.05,83.00625,FJXT,1:0000437,""
MAIN,83.05,83.00625,FJXT,1:0000451,""
MAIN,83.1,83.088196,FJXT,1:0000424,""
MAIN,83.1,83.088196,FJXT,1:0000436,""
MAIN,83.1,83.088196,FJXT,1:0000450,""
MAIN,85.55,85.505554,FJXT,1:0000464,""
MAIN,85.6,85.5875,FJXT,1:0000463,""
MAIN,87.55,87.50625,FJXT,1:0000488,""
MAIN,87.55,87.50625,FJXT,1:0000501,""
MAIN,87.6,87.588196,FJXT,1:0000487,""
MAIN,87.6,87.588196,FJXT,1:0000500,""
MAIN,90.05,90.00625,FJXT,1:0000512,""
MAIN,90.05,90.00625,FJXT,1:0000525,""
MAIN,90.05,90.00625,FJXT,1:0000539,""
MAIN,90.1,90.088196,FJXT,1:0000511,""
MAIN,90.1,90.088196,FJXT,1:0000524,""
MAIN,90.1,90.088196,FJXT,1:0000538,""
MAIN,93.55,93.50625,FJXT,1:0000562,""
MAIN,93.55,93.50625,FJXT,1:0000573,""
MAIN,93.6,93.588196,FJXT,1:0000561,""
MAIN,93.6,93.588196,FJXT,1:0000572,""
MAIN,95.55,95.50625,FJXT,1:0000601,""
MAIN,95.55,95.50625,FJXT,1:0000703,""
MAIN,95.55,95.50625,FJXT,1:0000588,""
MAIN,95.6,95.588196,FJXT,1:0000600,""
MAIN,95.6,95.588196,FJXT,1:0000702,""
MAIN,95.6,95.588196,FJXT,1:0000587,""
MAIN,97.55,97.505554,FJXT,1:0000612,""
MAIN,97.6,97.5875,FJXT,1:0000611,""
MAIN,99.55,99.50625,FJXT,1:0000626,""
MAIN,99.55,99.50625,FJXT,1:0000647,""
MAIN,99.6,99.588196,FJXT,1:0000625,""
MAIN,99.6,99.588196,FJXT,1:0000646,""
MAIN,102.55,102.505554,FJXT,1:0000665,""
MAIN,102.55,102.505554,FJXT,1:0000674,""
MAIN,102.6,102.5875,FJXT,1:0000664,""
MAIN,102.6,102.5875,FJXT,1:0000673,""
MAIN,104.55,104.505554,FJXT,1:0000689,""
MAIN,104.6,104.5875,FJXT,1:0000688,""
MAIN,105.55,105.50694,FJXT,1:0000732,""
MAIN,105.55,105.50694,FJXT,1:0000837,""
MAIN,105.55,105.50694,FJXT,1:0000718,""
MAIN,105.9,105.897224,FJXT,1:0000731,""
MAIN,105.9,105.897224,FJXT,1:0000836,""
MAIN,105.9,105.897224,FJXT,1:0000717,""
MAIN,108.55,108.505554,FJXT,1:0000735,""
MAIN,108.6,108.5875,FJXT,1:0000734,""
MAIN,110.05,110.005554,FJXT,1:0000767,""
MAIN,110.05,110.005554,FJXT,1:0000779,""
MAIN,110.1,110.0875,FJXT,1:0000766,""
MAIN,110.1,110.0875,FJXT,1:0000778,""
MAIN,112.55,112.50625,FJXT,1:0000795,""
MAIN,112.55,112.50625,FJXT,1:0000805,""
MAIN,112.6,112.588196,FJXT,1:0000794,""
MAIN,112.6,112.588196,FJXT,1:0000804,""
MAIN,114.55,114.50694,FJXT,1:0000941,""
