Model,FedTime,Visa,LoadedDraft,ToTime,ToPurpose,ToLocation,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,MissionID,VoyageNum,Hot
MAIN,18.6,false,16,18.554167,LOAD,QTUP,13.015351,UNKNOWN,LCMT,SEA,T-ACS,5170185,5170185-1,1,false
MAIN,18.65,false,16,18.615278,LOAD,JTVH,16.107143,UNKNOWN,JTVH,SEA,CONT-NSS,6916861,6916861-1,1,false
MAIN,19.05,false,14,19.01146,LOAD,DKSD,13.017157,UNKNOWN,LCMT,SEA,RO/RO,7602247,7602247-1,1,false
MAIN,19.5,false,14,19.497223,LOAD,QTUP,13.055555,UNKNOWN,LCMT,SEA,RO/RO,8211291,8211291-1,1,false
MAIN,20.05,false,18,20,LOAD,DKSD,13.003472,UNKNOWN,RQNK,SEA,RO/RO(T-AKR),7234430,7234430-1,1,false
MAIN,20.35,false,16,20.3,LOAD,WPVT,16.003788,UNKNOWN,NPTU,SEA,CONT-NSS,6820579,6820579-1,1,false
MAIN,20.95,false,16,20.905556,LOAD,JTVH,16.28442,UNKNOWN,UTVT,SEA,CONT-NSS,6828624,6828624-1,1,false
MAIN,21.55,false,15,21.528473,LOAD,QTUP,19.007353,UNKNOWN,RULV,SEA,RO/RO,7324390,7324390-1,1,false
MAIN,21.75,false,17,21.711111,LOAD,DKSD,19.005209,UNKNOWN,RULV,SEA,COMBO,6913429,6913429-1,1,false
MAIN,21.85,false,15,21.815971,LOAD,FQZF,16.106884,UNKNOWN,UTVT,SEA,CONT-NSS,7224306,7224306-1,1,false
MAIN,22.05,false,14,22.00382,LOAD,DKSD,16.349207,UNKNOWN,TNVX,SEA,RO/RO,7506015,7506015-1,1,false
MAIN,22.05,false,18,22.014584,LOAD,UTAC,19.002083,UNKNOWN,SERU,SEA,BARGE(T-AKB),7050248,7050248-1,1,false
MAIN,22.1,false,16,22.054861,LOAD,DKSD,19.007353,UNKNOWN,RULV,SEA,RO/RO,7216854,7216854-1,1,false
MAIN,22.35,false,18,22.339582,LOAD,ZBES,13.006173,UNKNOWN,RRHU,SEA,FSS,7325253,7325253-1,1,false
MAIN,22.7,false,11,22.65,LOAD,DKSD,16.116667,UNKNOWN,"",SEA,RO/RO,7634331,7634331-1,1,false
MAIN,23.1,false,15,23.086805,LOAD,QTUP,13.017157,UNKNOWN,LCMT,SEA,RO/RO,7603497,7603497-1,1,false
MAIN,23.6,false,20,23.595833,LOAD,DKSD,19.036232,UNKNOWN,LCMT,SEA,BARGE(T-AKB),7034335,7034335-1,1,false
MAIN,23.85,false,16,23.807638,LOAD,RUAM,16.00992,UNKNOWN,"",SEA,CONT-NSS,7026259,7026259-1,1,false
MAIN,24,false,19,23.98125,LOAD,DKSD,19.041666,UNKNOWN,LCMT,SEA,BARGE(T-AKB),7320411,7320411-1,1,false
MAIN,24,false,16,23.984722,LOAD,RUAM,16.170454,UNKNOWN,UTVT,SEA,CONT-NSS,6905252,6905252-1,1,false
MAIN,24.15,false,13,24.14375,LOAD,RUAM,17.18125,UNKNOWN,"",SEA,CONT-NSS,7635945,7635945-1,1,false
MAIN,24.4,false,20,24.372917,LOAD,QTUP,19.041666,UNKNOWN,LCMT,SEA,BARGE(T-AKB),7304792,7304792-1,1,false
MAIN,24.55,false,19,24.515278,LOAD,WPVT,3.1041667,UNKNOWN,AMCQ,SEA,COMBO,7717171,7717171-1,1,false
MAIN,24.6,false,22,24.585417,UNLOAD,HNTS,17.638195,LOAD,QTUP,SEA,FSS,7302897,7302897-1,1,false
MAIN,24.75,false,23,24.722918,UNLOAD,HNTS,17.66736,LOAD,ZBES,SEA,FSS,7315571,7315571-1,1,false
MAIN,25.65,false,21,25.614584,UNLOAD,HNTS,18.66736,LOAD,QTUP,SEA,FSS,7236153,7236153-1,1,false
MAIN,26.05,false,14,26.009027,LOAD,QTUP,16,UNKNOWN,"",SEA,CONT-NSS,8902400,8902400-1,1,false
MAIN,26.35,false,19,26.317362,LOAD,QTUP,16.002193,UNKNOWN,CHCY,SEA,CAR TRANS,8320779,8320779-1,1,false
MAIN,26.55,false,16,26.538195,UNLOAD,SEA1,16.29236,LOAD,RULV,SEA,T-ACS,6817845,6817845-1,1,false
MAIN,26.8,false,18,26.759722,UNLOAD,VKNP,17.04236,LOAD,RRRK,SEA,T-ACS,6916433,6916433-1,1,false
MAIN,26.95,false,15,26.904167,UNLOAD,VKNP,19.477083,LOAD,RUAM,SEA,CONT-NSS,1811111,1811111-1,1,false
MAIN,27,false,19,26.971527,UNLOAD,APFD,15.791667,LOAD,QTUP,SEA,RO/RO,7208297,7208297-1,1,false
MAIN,28.15,false,17,28.122223,LOAD,DKSD,16.011574,UNKNOWN,QCFF,SEA,CONT-NSS,90664384,90664384-1,1,false
MAIN,28.55,false,16,28.51875,LOAD,SBEQ,16,UNKNOWN,"",SEA,CONT-SS,9015204,9015204-1,1,false
MAIN,28.6,false,13,28.594444,LOAD,QTUP,16,UNKNOWN,"",SEA,RO/RO,7820423,7820423-1,1,false
MAIN,28.75,false,17,28.747917,UNLOAD,HNTS,18.875,LOAD,QTUP,SEA,T-ACS,5170185,5170185-1,1,false
MAIN,28.9,false,21,28.884722,UNLOAD,VKNP,17.54236,LOAD,DKSD,SEA,RO/RO,7027576,7027576-1,1,false
MAIN,28.95,false,20,28.910418,UNLOAD,HNTS,18.04236,LOAD,DKSD,SEA,RO/RO,0429011,0429011-1,1,false
MAIN,29.1,false,16,29.052084,LOAD,DKSD,13.00625,UNKNOWN,WPVT,SEA,RO/RO,7390117,7390117-1,1,false
MAIN,29.2,false,15,29.160418,LOAD,UTAC,17.35625,UNKNOWN,"",SEA,CONT-NSS,8419154,8419154-1,1,false
MAIN,29.25,false,14,29.234028,LOAD,QTUP,16.070076,UNKNOWN,CHCY,SEA,CONT-NSS,8902395,8902395-1,1,false
MAIN,29.6,false,18,29.596527,LOAD,QTUP,16.013258,UNKNOWN,"",SEA,CONT-NSS,7218462,7218462-1,1,false
MAIN,29.7,false,13,29.683332,LOAD,SBEA,16,UNKNOWN,"",SEA,RO/RO,7820411,7820411-1,1,false
MAIN,29.85,false,23,29.800694,UNLOAD,VKNP,18.458334,LOAD,DKSD,SEA,RO/RO,7229423,7229423-1,1,false
MAIN,29.85,false,10,29.83264,LOAD,QTUP,16,UNKNOWN,"",SEA,RO/RO,8026048,8026048-1,1,false
MAIN,29.95,false,16,29.909721,UNLOAD,VKNP,18.79236,LOAD,JTVH,SEA,CONT-NSS,6916861,6916861-1,1,false
MAIN,30.4,false,14,30.382639,LOAD,DKSD,16.053572,UNKNOWN,LKPE,SEA,RO/RO,7395351,7395351-1,1,false
MAIN,30.45,false,22,30.402779,UNLOAD,HNTS,22.25,LOAD,DKSD,SEA,COMBO,6913429,6913429-1,1,false
MAIN,30.75,false,28,30.73611,UNLOAD,HNTS,22.583334,LOAD,DKSD,SEA,RO/RO(T-AKR),7234430,7234430-1,1,false
MAIN,30.8,false,15,30.791666,UNLOAD,SEA1,22.899305,LOAD,FQZF,SEA,CONT-NSS,7224306,7224306-1,1,false
MAIN,30.85,false,21,30.805555,UNLOAD,HNTS,23.75,LOAD,ZBES,SEA,FSS,7325253,7325253-1,1,false
MAIN,31.25,false,16,31.23611,UNLOAD,VKNP,21.083334,LOAD,JTVH,SEA,CONT-NSS,6828624,6828624-1,1,false
MAIN,31.3,false,18,31.259722,UNLOAD,VKNP,19.91736,LOAD,DKSD,SEA,RO/RO,7602259,7602259-1,1,false
MAIN,31.3,false,13,31.266666,LOAD,QTUP,16,UNKNOWN,"",SEA,CONT-NSS,8221507,8221507-1,1,false
MAIN,31.4,false,15,31.384027,UNLOAD,HNTS,19.875,LOAD,DKSD,SEA,RO/RO,7602247,7602247-1,1,false
MAIN,31.65,false,18,31.640278,UNLOAD,VKNP,22.458334,LOAD,DKSD,SEA,RO/RO,7506015,7506015-1,1,false
MAIN,31.8,false,19,31.79861,LOAD,SBEA,17.403334,UNKNOWN,"",SEA,COMBO,7334204,7334204-1,1,false
MAIN,32.05,false,19,32.045834,LOAD,RUAM,16,UNKNOWN,"",SEA,CONT-NSS,7224904,7224904-1,1,false
MAIN,32.3,false,20,32.29514,LOAD,RUAM,16,UNKNOWN,"",SEA,VISA CONT,9125592,9125592-1,1,false
MAIN,32.6,false,12,32.574306,LOAD,DKSD,16,UNKNOWN,"",SEA,RO/RO,8412869,8412869-1,1,false
MAIN,32.7,false,18,32.655556,LOAD,FQZF,16,UNKNOWN,"",SEA,CONT-SS,8221545,8221545-1,1,false
MAIN,32.75,false,21,32.741665,UNLOAD,VKNP,24.35625,LOAD,DKSD,SEA,BARGE(T-AKB),7034335,7034335-1,1,false
MAIN,32.8,false,22,32.793056,UNLOAD,VKNP,20.481945,LOAD,QTUP,SEA,RO/RO,8211291,8211291-1,1,false
MAIN,32.85,false,16,32.831944,UNLOAD,VKNP,25.068056,LOAD,RUAM,SEA,CONT-NSS,6905252,6905252-1,1,false
MAIN,33.05,false,16,33.022915,UNLOAD,VKNP,24.890972,LOAD,RUAM,SEA,CONT-NSS,7026259,7026259-1,1,false
MAIN,33.1,false,19,33.070488,LOAD,ZBES,16.04386,UNKNOWN,ALRF,SEA,CONT-NSS,8200711,8200711-1,1,false
MAIN,33.25,false,20,33.225693,UNLOAD,VKNP,17.66736,LOAD,JTVH,SEA,RO/RO,8211306,8211306-1,1,false
MAIN,33.8,false,13,33.7625,UNLOAD,VKNP,25.227083,LOAD,RUAM,SEA,CONT-NSS,7635945,7635945-1,1,false
MAIN,33.8,false,14,33.76389,LOAD,AVBU,17.013258,UNKNOWN,"",SEA,CONT-NSS,7617905,7617905-1,1,false
MAIN,34.05,false,17,34.03264,UNLOAD,HNTS,23,LOAD,QTUP,SEA,RO/RO,7324390,7324390-1,1,false
MAIN,34.45,false,19,34.404167,UNLOAD,HNTS,24.625,LOAD,DKSD,SEA,BARGE(T-AKB),7320411,7320411-1,1,false
MAIN,34.5,false,20,34.458332,UNLOAD,HNTS,25.083334,LOAD,QTUP,SEA,BARGE(T-AKB),7304792,7304792-1,1,false
MAIN,34.6,false,17,34.550694,UNLOAD,VKNP,23.208334,LOAD,DKSD,SEA,RO/RO,7216854,7216854-1,1,false
MAIN,35,false,14,34.952778,UNLOAD,HNTS,26.425694,LOAD,QTUP,SEA,CONT-NSS,8902400,8902400-1,1,false
MAIN,35.1,false,19,35.085415,UNLOAD,VKNP,18.25,LOAD,NPTU,SEA,CONT-NSS,9002037,9002037-1,1,false
MAIN,36.05,false,16,36.038887,LOAD,NPTU,13.015351,UNKNOWN,LCMT,SEA,T-ACS,5386605,5386605-1,1,false
MAIN,36.1,false,20,36.074306,UNLOAD,HNTS,25.041666,LOAD,QTUP,SEA,RO/RO,7603497,7603497-1,1,false
MAIN,36.35,false,13,36.308334,UNLOAD,VKNP,23.458334,LOAD,DKSD,SEA,RO/RO,7634331,7634331-1,1,false
MAIN,36.55,false,16,36.51736,UNLOAD,VKNP,16.16736,LOAD,NPTU,SEA,T-ACS,6510899,6510899-1,1,false
MAIN,37.15,false,22,37.122917,UNLOAD,HNTS,27.25,LOAD,QTUP,SEA,CAR TRANS,8320779,8320779-1,1,false
MAIN,37.4,false,15,37.39375,LOAD,RUAM,27.208334,UNLOAD,VKNP,SEA,CONT-NSS,1811111,1811111-2,2,false
MAIN,37.45,false,16,37.40278,UNLOAD,HNTS,29,LOAD,SBEQ,SEA,CONT-SS,9015204,9015204-1,1,false
MAIN,37.45,false,17,37.446877,LOAD,UTAC,16.32197,UNKNOWN,"",SEA,CONT-NSS,7233278,7233278-1,1,false
MAIN,37.75,false,16,37.716667,LOAD,UTAC,16.348484,UNKNOWN,UTVT,SEA,CONT-NSS,6708379,6708379-1,1,false
MAIN,37.85,false,14,37.814583,UNLOAD,VKNP,29.416666,LOAD,QTUP,SEA,CONT-NSS,8902395,8902395-1,1,false
MAIN,38.35,false,18,38.31875,UNLOAD,HNTS,29.791666,LOAD,QTUP,SEA,CONT-NSS,7218462,7218462-1,1,false
MAIN,38.95,false,16,38.941666,LOAD,RUAM,16,UNKNOWN,"",SEA,CONT-NSS,7635933,7635933-1,1,false
MAIN,39.25,false,17,39.249306,UNLOAD,VKNP,28.538889,LOAD,DKSD,SEA,CONT-NSS,90664384,90664384-1,1,false
MAIN,39.3,false,17,39.263195,LOAD,DKSD,16.24537,UNKNOWN,"",SEA,CONT-NSS,9064267,9064267-1,1,false
MAIN,39.6,false,14,39.585415,UNLOAD,HNTS,29.166666,LOAD,QTUP,SEA,RO/RO,7820423,7820423-1,1,false
MAIN,39.75,false,16,39.722916,UNLOAD,HNTS,20.5,LOAD,WPVT,SEA,CONT-NSS,6820579,6820579-1,1,false
MAIN,40.3,false,17,40.266666,LOAD,DKSD,30.916666,UNLOAD,HNTS,SEA,COMBO,6913429,6913429-2,2,false
MAIN,40.35,false,15,40.3125,UNLOAD,HNTS,30.041666,LOAD,SBEA,SEA,RO/RO,7820411,7820411-1,1,false
MAIN,40.6,false,19,40.570488,UNLOAD,HNTS,30.791666,LOAD,DKSD,SEA,RO/RO,7390117,7390117-1,1,false
MAIN,40.6,false,20,40.585766,UNLOAD,SEA1,33.37847,LOAD,RUAM,SEA,VISA CONT,9125592,9125592-1,1,false
MAIN,40.75,false,18,40.734722,LOAD,RRRK,16.027779,UNKNOWN,JJRP,SEA,CONT-NSS,8322789,8322789-1,1,false
MAIN,40.9,false,20,40.893055,UNLOAD,VKNP,33.129166,LOAD,RUAM,SEA,CONT-NSS,7224904,7224904-1,1,false
MAIN,40.95,false,18,40.902084,UNLOAD,HNTS,22.5,LOAD,UTAC,SEA,BARGE(T-AKB),7050248,7050248-1,1,false
MAIN,40.95,false,26,40.939583,UNLOAD,HNTS,33.541668,LOAD,SBEA,SEA,COMBO,7334204,7334204-1,1,false
MAIN,41.55,false,17,41.52639,LOAD,DKSD,17.37963,UNKNOWN,"",SEA,CONT-NSS,9007817,9007817-1,1,false
MAIN,41.55,false,11,41.53264,UNLOAD,VKNP,30.666666,LOAD,QTUP,SEA,RO/RO,8026048,8026048-1,1,false
MAIN,41.8,false,22,41.765278,UNLOAD,VKNP,32.583332,LOAD,DKSD,SEA,RO/RO,7395351,7395351-1,1,false
MAIN,41.8,false,9,41.78611,UNLOAD,VKNP,9.125,LOAD,NPTU,SEA,RO/RO,5432112,5432112-1,1,false
MAIN,42.55,false,16,42.50486,LOAD,SBEA,16,UNKNOWN,"",SEA,CONT-NSS,7714349,7714349-1,1,false
MAIN,42.65,false,15,42.62014,UNLOAD,HNTS,18.04236,LOAD,WPVT,SEA,RO/RO,7909968,7909968-1,1,false
MAIN,42.9,false,11,42.86597,LOAD,QTUP,3.0104167,UNKNOWN,FGDD,SEA,BREAKBULK,9137349,9137349-1,1,false
MAIN,43,false,19,42.984722,LOAD,RUAM,16.111742,UNKNOWN,UTVT,SEA,CONT-NSS,7729459,7729459-1,1,false
MAIN,43.05,false,13,43.002777,UNLOAD,VKNP,31.458334,LOAD,QTUP,SEA,CONT-NSS,8221507,8221507-1,1,false
MAIN,43.3,false,19,43.27639,UNLOAD,HNTS,33.25,LOAD,ZBES,SEA,CONT-NSS,8200711,8200711-1,1,false
MAIN,43.55,false,14,43.500694,UNLOAD,HNTS,34.84722,LOAD,AVBU,SEA,CONT-NSS,7617905,7617905-1,1,false
MAIN,43.65,false,18,43.611805,LOAD,FQZF,16.021826,UNKNOWN,"",SEA,CONT-NSS,7116315,7116315-1,1,false
MAIN,43.7,false,18,43.696877,UNLOAD,VKNP,33.738888,LOAD,FQZF,SEA,CONT-SS,8221545,8221545-1,1,false
MAIN,43.9,false,16,43.858334,LOAD,RUAM,31.416666,UNLOAD,VKNP,SEA,CONT-NSS,6828624,6828624-2,2,false
MAIN,45,false,15,44.991665,LOAD,FQZF,16.160418,UNKNOWN,"",SEA,CONT-NSS,8419142,8419142-1,1,false
MAIN,45.5,false,19,45.472916,LOAD,QTUP,35.041668,UNLOAD,HNTS,SEA,BARGE(T-AKB),7320411,7320411-2,2,false
MAIN,45.65,false,13,45.633335,UNLOAD,VKNP,33.583332,LOAD,DKSD,SEA,RO/RO,8412869,8412869-1,1,false
MAIN,45.9,false,15,45.858334,LOAD,RUAM,30.833334,UNLOAD,SEA1,SEA,CONT-NSS,7224306,7224306-2,2,false
MAIN,45.95,false,15,45.904167,UNLOAD,VKNP,38.476738,LOAD,RUAM,SEA,CONT-NSS,1811111,1811111-2,2,false
MAIN,46.6,false,14,46.56389,LOAD,SBEA,19.002604,UNKNOWN,SERU,SEA,RO/RO,8450665,8450665-1,1,false
MAIN,47.75,false,15,47.735416,UNLOAD,HNTS,29.333334,LOAD,UTAC,SEA,CONT-NSS,8419154,8419154-1,1,false
MAIN,48.2,false,19,48.18125,UNLOAD,HNTS,24.916666,LOAD,WPVT,SEA,COMBO,7717171,7717171-1,1,false
MAIN,48.6,false,16,48.560417,UNLOAD,VKNP,40.024654,LOAD,RUAM,SEA,CONT-NSS,7635933,7635933-1,1,false
MAIN,49,false,16,48.974304,LOAD,AVBU,16.549242,UNKNOWN,"",SEA,CONT-NSS,6812211,6812211-1,1,false
MAIN,49.15,false,18,49.117363,UNLOAD,VKNP,41.083332,LOAD,DKSD,SEA,COMBO,6913429,6913429-2,2,false
MAIN,50.35,false,17,50.32639,UNLOAD,HNTS,39.458332,LOAD,DKSD,SEA,CONT-NSS,9064267,9064267-1,1,false
MAIN,50.8,false,18,50.75903,UNLOAD,VKNP,41.041668,LOAD,RRRK,SEA,CONT-NSS,8322789,8322789-1,1,false
MAIN,50.85,false,16,50.80764,LOAD,RUAM,33.333332,UNLOAD,VKNP,SEA,CONT-NSS,7026259,7026259-2,2,false
MAIN,51.85,false,19,51.831944,UNLOAD,VKNP,44.068054,LOAD,RUAM,SEA,CONT-NSS,7729459,7729459-1,1,false
MAIN,52.25,false,18,52.227085,LOAD,DKSD,41.166668,UNLOAD,HNTS,SEA,BARGE(T-AKB),7050248,7050248-2,2,false
MAIN,52.4,false,16,52.36875,UNLOAD,VKNP,44.941666,LOAD,RUAM,SEA,CONT-NSS,6828624,6828624-2,2,false
MAIN,52.45,false,17,52.41875,UNLOAD,VKNP,41.708332,LOAD,DKSD,SEA,CONT-NSS,9007817,9007817-1,1,false
MAIN,52.55,false,15,52.54375,LOAD,QTUP,16.35625,UNKNOWN,"",SEA,CONT-NSS,8419166,8419166-1,1,false
MAIN,52.65,false,20,52.645832,LOAD,WPVT,33.083332,UNLOAD,VKNP,SEA,BARGE(T-AKB),7034335,7034335-2,2,false
MAIN,53,false,16,52.979168,UNLOAD,HNTS,42.708332,LOAD,SBEA,SEA,CONT-NSS,7714349,7714349-1,1,false
MAIN,53.05,false,14,53.045834,LOAD,RUAM,35.208332,UNLOAD,HNTS,SEA,CONT-NSS,8902400,8902400-2,2,false
MAIN,53.25,false,18,53.23264,UNLOAD,VKNP,44.695137,LOAD,FQZF,SEA,CONT-NSS,7116315,7116315-1,1,false
MAIN,53.45,false,14,53.43264,LOAD,RUAM,38,UNLOAD,VKNP,SEA,CONT-NSS,8902395,8902395-2,2,false
MAIN,54.4,false,15,54.36875,UNLOAD,VKNP,46.941666,LOAD,RUAM,SEA,CONT-NSS,7224306,7224306-2,2,false
MAIN,54.5,false,17,54.455555,UNLOAD,HNTS,37.625,LOAD,UTAC,SEA,CONT-NSS,7233278,7233278-1,1,false
MAIN,54.55,false,20,54.5,LOAD,UTAC,35,UNLOAD,HNTS,SEA,BARGE(T-AKB),7304792,7304792-2,2,false
MAIN,54.75,false,16,54.747223,UNLOAD,HNTS,37.916668,LOAD,UTAC,SEA,CONT-NSS,6708379,6708379-1,1,false
MAIN,55.05,false,15,55.035416,UNLOAD,VKNP,46.075,LOAD,FQZF,SEA,CONT-NSS,8419142,8419142-1,1,false
MAIN,55.5,false,18,55.478474,LOAD,RUAM,38.5,UNLOAD,HNTS,SEA,CONT-NSS,7218462,7218462-2,2,false
MAIN,55.55,false,16,55.542362,UNLOAD,VKNP,36.208332,LOAD,NPTU,SEA,T-ACS,5386605,5386605-1,1,false
MAIN,55.6,false,19,55.583332,UNLOAD,HNTS,46.208332,LOAD,QTUP,SEA,BARGE(T-AKB),7320411,7320411-2,2,false
MAIN,57.45,false,16,57.448612,LOAD,RUAM,30.083334,UNLOAD,VKNP,SEA,CONT-NSS,6916861,6916861-2,2,false
MAIN,58.4,false,18,58.389584,LOAD,JTVH,26.958334,UNLOAD,HNTS,SEA,FSS,7315571,7315571-2,2,false
MAIN,58.5,false,11,58.47222,UNLOAD,VKNP,43.083332,LOAD,QTUP,SEA,BREAKBULK,9137349,9137349-1,1,false
MAIN,58.6,false,16,58.581944,UNLOAD,VKNP,50.05764,LOAD,AVBU,SEA,CONT-NSS,6812211,6812211-1,1,false
MAIN,58.95,false,17,58.930557,UNLOAD,HNTS,47.375,LOAD,SBEA,SEA,RO/RO,8450665,8450665-1,1,false
MAIN,59.45,false,19,59.433334,LOAD,FQZF,41.458332,UNLOAD,VKNP,SEA,CONT-NSS,7224904,7224904-2,2,false
MAIN,59.8,false,18,59.79028,LOAD,RUAM,25.916666,UNLOAD,HNTS,SEA,FSS,7302897,7302897-2,2,false
MAIN,60.05,false,16,60.022915,UNLOAD,VKNP,51.890972,LOAD,RUAM,SEA,CONT-NSS,7026259,7026259-2,2,false
MAIN,61,false,23,60.965973,LOAD,RUAM,44,UNKNOWN,"",SEA,VISA CONT,9074391,9074391-1,1,false
MAIN,61.4,false,15,61.39375,LOAD,RUAM,46.125,UNLOAD,VKNP,SEA,CONT-NSS,1811111,1811111-3,3,false
MAIN,61.8,false,18,61.79028,LOAD,RUAM,26.833334,UNLOAD,HNTS,SEA,FSS,7236153,7236153-2,2,false
MAIN,61.9,false,14,61.893055,UNLOAD,VKNP,54.129166,LOAD,RUAM,SEA,CONT-NSS,8902400,8902400-2,2,false
MAIN,62,false,15,61.983334,UNLOAD,VKNP,52.75,LOAD,QTUP,SEA,CONT-NSS,8419166,8419166-1,1,false
MAIN,62.2,false,18,62.195835,UNLOAD,HNTS,52.416668,LOAD,DKSD,SEA,BARGE(T-AKB),7050248,7050248-2,2,false
MAIN,62.3,false,14,62.27986,UNLOAD,VKNP,54.515972,LOAD,RUAM,SEA,CONT-NSS,8902395,8902395-2,2,false
MAIN,64.15,false,18,64.102776,LOAD,RUAM,32,UNLOAD,HNTS,SEA,FSS,7325253,7325253-2,2,false
MAIN,64.35,false,18,64.32569,UNLOAD,VKNP,56.561806,LOAD,RUAM,SEA,CONT-NSS,7218462,7218462-2,2,false
MAIN,65.9,false,16,65.85833,LOAD,RUAM,52.583332,UNLOAD,VKNP,SEA,CONT-NSS,6828624,6828624-3,3,false
MAIN,66.5,false,13,66.48785,LOAD,QTUP,40.166668,UNLOAD,HNTS,SEA,RO/RO,7820423,7820423-2,2,false
MAIN,66.7,false,16,66.66389,UNLOAD,VKNP,58.531944,LOAD,RUAM,SEA,CONT-NSS,6916861,6916861-2,2,false
MAIN,66.9,false,15,66.85833,LOAD,RUAM,54.583332,UNLOAD,VKNP,SEA,CONT-NSS,7224306,7224306-3,3,false
MAIN,67.25,false,18,67.23125,UNLOAD,VKNP,58.583332,LOAD,JTVH,SEA,FSS,7315571,7315571-2,2,false
MAIN,68.2,false,18,68.1993,UNLOAD,VKNP,61.87361,LOAD,RUAM,SEA,FSS,7302897,7302897-2,2,false
MAIN,68.7,false,19,68.66805,UNLOAD,VKNP,60.516666,LOAD,FQZF,SEA,CONT-NSS,7224904,7224904-2,2,false
MAIN,69,false,23,68.97014,UNLOAD,SEA1,62.049305,LOAD,RUAM,SEA,VISA CONT,9074391,9074391-1,1,false
MAIN,69.1,false,16,69.09653,LOAD,RUAM,54.916668,UNLOAD,HNTS,SEA,CONT-NSS,6708379,6708379-2,2,false
MAIN,69.95,false,15,69.90417,UNLOAD,VKNP,62.477085,LOAD,RUAM,SEA,CONT-NSS,1811111,1811111-3,3,false
MAIN,70.15,false,17,70.140274,LOAD,RUAM,54.625,UNLOAD,HNTS,SEA,CONT-NSS,7233278,7233278-2,2,false
MAIN,70.2,false,18,70.1993,UNLOAD,VKNP,63.87361,LOAD,RUAM,SEA,FSS,7236153,7236153-2,2,false
MAIN,71,false,16,70.984375,LOAD,RUAM,33.166668,UNLOAD,VKNP,SEA,CONT-NSS,6905252,6905252-2,2,false
MAIN,71.3,false,20,71.265274,UNLOAD,HNTS,52.833332,LOAD,WPVT,SEA,BARGE(T-AKB),7034335,7034335-2,2,false
MAIN,72.55,false,18,72.5118,UNLOAD,VKNP,66.18611,LOAD,RUAM,SEA,FSS,7325253,7325253-2,2,false
MAIN,73.4,false,20,73.36007,UNLOAD,HNTS,54.958332,LOAD,UTAC,SEA,BARGE(T-AKB),7304792,7304792-2,2,false
MAIN,74.05,false,14,74.00208,LOAD,DKSD,14.095,UNKNOWN,"",SEA,RO/RO,6801664,6801664-1,1,false
MAIN,74.05,false,19,74.04757,LOAD,RRRK,56.333332,UNLOAD,HNTS,SEA,BARGE(T-AKB),7320411,7320411-3,3,false
MAIN,74.4,false,16,74.36875,UNLOAD,VKNP,66.941666,LOAD,RUAM,SEA,CONT-NSS,6828624,6828624-3,3,false
MAIN,74.85,false,16,74.80764,LOAD,RUAM,60.25,UNLOAD,VKNP,SEA,CONT-NSS,7026259,7026259-3,3,false
