Model,FedTime,AssetID,MissionID,Rln,CargoType,Amount,FromLoc,AssetArrivalTime,ToLoc
MAIN,30.8,7390117,7390117-1,1:0TAEC,STONS,6.8000030517578125,DKSD,29.052084,HNTS
MAIN,30.8,7390117,7390117-1,1:0EBRC,STONS,12.5001220703125,DKSD,29.052084,HNTS
MAIN,30.8,7390117,7390117-1,1:03AGC,STONS,7.973365783691406,DKSD,29.052084,HNTS
MAIN,30.8,7390117,7390117-1,1:0EBQC,STONS,0.3826904296875,DKSD,29.052084,HNTS
MAIN,31.5,8221507,8221507-1,1:03AUC,CONTAINER_20,1.0,QTUP,31.266666,VKNP
MAIN,32.6,7395351,7395351-1,1:0ZHFC,STONS,90.36961364746094,DKSD,30.382639,VKNP
MAIN,32.6,7395351,7395351-1,1:0ZHCC,STONS,64.95153659582138,DKSD,30.382639,VKNP
MAIN,32.6,7395351,7395351-1,1:0ZHCC,STONS,104.79999542236328,DKSD,30.382639,VKNP
MAIN,32.6,7395351,7395351-1,1:0ZHCC,STONS,190.84881591796875,DKSD,30.382639,VKNP
MAIN,32.6,7395351,7395351-1,1:0ZHFC,STONS,371.1251220703125,DKSD,30.382639,VKNP
MAIN,32.6,7395351,7395351-1,1:0YBCC,STONS,4.099998474121094,DKSD,30.382639,VKNP
MAIN,33.55,7334204,7334204-1,1:0YCCC,STONS,29.69999846816063,SBEA,31.79861,HNTS
MAIN,33.55,7334204,7334204-1,1:0LBGC,STONS,0.39999961853027344,SBEA,31.79861,HNTS
MAIN,33.55,7334204,7334204-1,1:0LBGC,CONTAINER_20,1.0,SBEA,31.79861,HNTS
MAIN,33.6,8412869,8412869-1,1:0YBLC,STONS,4.2557525634765625,DKSD,32.574306,VKNP
MAIN,33.6,8412869,8412869-1,1:0YBWC,STONS,14.700000286102295,DKSD,32.574306,VKNP
MAIN,33.6,8412869,8412869-1,1:0ZHFC,STONS,114.17507553100586,DKSD,32.574306,VKNP
MAIN,33.6,8412869,8412869-1,1:0ZHFC,STONS,0.43038320541381836,DKSD,32.574306,VKNP
MAIN,33.6,8412869,8412869-1,1:0YBCC,STONS,4.099998474121094,DKSD,32.574306,VKNP
MAIN,33.6,8412869,8412869-1,1:0ZHFC,STONS,371.1251220703125,DKSD,32.574306,VKNP
MAIN,33.6,8412869,8412869-1,1:0ZHFC,STONS,44.7016716003418,DKSD,32.574306,VKNP
MAIN,41.1,6913429,6913429-2,1:0ZHFC,STONS,0.6679420471191406,DKSD,40.266666,VKNP
MAIN,41.1,6913429,6913429-2,1:0ZHFC,STONS,42.13205337524414,DKSD,40.266666,VKNP
