Model,FedTime,AssetID,VoyageNum,MissionID,AssetLocation,AssetType,LocationType,BerthName,BerthTime
MAIN,24.55,7717171,1,7717171-1,WPVT,COMBO,POE,TACOMA berth group-WPVT,24.59861183166504
MAIN,24.6,7302897,1,7302897-1,HNTS,FSS,POD,BG Gabes berth1,24.668750762939453
MAIN,24.75,7315571,1,7315571-1,HNTS,FSS,POD,BG Gabes berth1,24.806251525878906
MAIN,25.65,7236153,1,7236153-1,HNTS,FSS,POD,BG Gabes berth2,25.697917938232422
MAIN,26.05,8902400,1,8902400-1,QTUP,CONT-NSS,POE,MOREHEAD CITY BG-QTUP -19792,26.092361450195312
MAIN,26.35,8320779,1,8320779-1,QTUP,CAR TRANS,POE,MOREHEAD CITY BG-QTUP -19792,26.40069580078125
MAIN,26.8,6916433,1,6916433-1,VKNP,T-ACS,POD,BG Safaqis cont-1 berth,26.843055725097656
MAIN,26.95,1811111,1,1811111-1,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,26.98750114440918
MAIN,27,7208297,1,7208297-1,APFD,RO/RO,POD,InStreamAnchor1,27.054861068725586
MAIN,28.15,90664384,1,90664384-1,DKSD,CONT-NSS,POE,Charleston-DKSD Terminal-19777,28.205556869506836
MAIN,28.55,9015204,1,9015204-1,SBEQ,CONT-SS,POE,SBEQ,28.602083206176758
MAIN,28.6,7820423,1,7820423-1,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,28.677778244018555
MAIN,28.75,5170185,1,5170185-1,HNTS,T-ACS,POD,BG Gabes berth1,28.83125114440918
MAIN,28.9,7027576,1,7027576-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,28.968055725097656
MAIN,28.95,0429011,1,0429011-1,HNTS,RO/RO,POD,BG Gabes berth1,28.993751525878906
MAIN,29.1,7390117,1,7390117-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,29.135417938232422
MAIN,29.2,8419154,1,8419154-1,UTAC,CONT-NSS,POE,SAN DIEGO berth group-UTAC,29.243751525878906
MAIN,29.25,8902395,1,8902395-1,QTUP,CONT-NSS,POE,MOREHEAD CITY BG-QTUP -19792,29.31736183166504
MAIN,29.6,7218462,1,7218462-1,QTUP,CONT-NSS,POE,MOREHEAD CITY BG-QTUP -19792,29.679861068725586
MAIN,29.7,7820411,1,7820411-1,SBEA,RO/RO,POE,NORFOLK berth group-SBEA,29.766666412353516
MAIN,29.85,7229423,1,7229423-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,29.8840274810791
MAIN,29.85,8026048,1,8026048-1,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,29.915973663330078
MAIN,29.95,6916861,1,6916861-1,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,29.99305534362793
MAIN,30.4,7395351,1,7395351-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,30.465972900390625
MAIN,30.45,6913429,1,6913429-1,HNTS,COMBO,POD,BG Gabes berth1,30.486112594604492
MAIN,30.75,7234430,1,7234430-1,HNTS,RO/RO(T-AKR),POD,BG Gabes berth1,30.81944465637207
MAIN,30.85,7325253,1,7325253-1,HNTS,FSS,POD,BG Gabes berth1,30.88888931274414
MAIN,31.25,6828624,1,6828624-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,31.31944465637207
MAIN,31.3,7602259,1,7602259-1,VKNP,RO/RO,POD,BG Safaqis cont-2 berth,31.343055725097656
MAIN,31.3,8221507,1,8221507-1,QTUP,CONT-NSS,POE,MOREHEAD CITY BG-QTUP -19792,31.350000381469727
MAIN,31.4,7602247,1,7602247-1,HNTS,RO/RO,POD,BG Gabes berth1,31.467361450195312
MAIN,31.65,7506015,1,7506015-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,31.72361183166504
MAIN,31.8,7334204,1,7334204-1,SBEA,COMBO,POE,NORFOLK berth group-SBEA,31.88194465637207
MAIN,32.05,7224904,1,7224904-1,RUAM,CONT-NSS,POE,Unconstrained,32.12916564941406
MAIN,32.3,9125592,1,9125592-1,RUAM,VISA CONT,POE,Unconstrained,32.37847137451172
MAIN,32.6,8412869,1,8412869-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,32.65763854980469
MAIN,32.7,8221545,1,8221545-1,FQZF,CONT-SS,POE,Unconstrained,32.738887786865234
MAIN,32.75,7034335,1,7034335-1,VKNP,BARGE(T-AKB),POD,BG Safaqis cont-1 berth,32.82499694824219
MAIN,32.8,8211291,1,8211291-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,32.87638854980469
MAIN,32.85,6905252,1,6905252-1,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,32.91527557373047
MAIN,33.1,8200711,1,8200711-1,ZBES,CONT-NSS,POE,WILMINGTON berth group-ZBES,33.1538200378418
MAIN,33.1,7026259,1,7026259-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,33.166664123535156
MAIN,33.25,8211306,1,8211306-1,VKNP,RO/RO,POD,BG Safaqis cont-2 berth,33.309024810791016
MAIN,33.8,7635945,1,7635945-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,33.84583282470703
MAIN,33.8,7617905,1,7617905-1,AVBU,CONT-NSS,POE,Unconstrained,33.84722137451172
MAIN,34.05,7324390,1,7324390-1,HNTS,RO/RO,POD,BG Gabes berth1,34.115970611572266
MAIN,34.45,7320411,1,7320411-1,HNTS,BARGE(T-AKB),POD,BG Gabes berth1,34.48749923706055
MAIN,34.5,7304792,1,7304792-1,HNTS,BARGE(T-AKB),POD,BG Gabes berth2,34.541664123535156
MAIN,34.6,7216854,1,7216854-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,34.63402557373047
MAIN,35.05,8902400,1,8902400-1,HNTS,CONT-NSS,POD,BG Gabes berth2,35.08333206176758
MAIN,35.1,9002037,1,9002037-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,35.16874694824219
MAIN,36.05,5386605,1,5386605-1,NPTU,T-ACS,POE,LONG BEACH berth group-NPTU,36.12221908569336
MAIN,36.1,7603497,1,7603497-1,HNTS,RO/RO,POD,BG Gabes berth1,36.15763854980469
MAIN,36.35,7634331,1,7634331-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,36.391666412353516
MAIN,36.55,6510899,1,6510899-1,VKNP,T-ACS,POD,BG Safaqis cont-1 berth,36.60069274902344
MAIN,37.15,8320779,1,8320779-1,HNTS,CAR TRANS,POD,BG Gabes berth1,37.20624923706055
MAIN,37.4,1811111,2,1811111-2,RUAM,CONT-NSS,POE,Unconstrained,37.477081298828125
MAIN,37.45,9015204,1,9015204-1,HNTS,CONT-SS,POD,BG Gabes berth1,37.48611068725586
MAIN,37.45,7233278,1,7233278-1,UTAC,CONT-NSS,POE,SAN DIEGO berth group-UTAC,37.530208587646484
MAIN,37.75,6708379,1,6708379-1,UTAC,CONT-NSS,POE,SAN DIEGO berth group-UTAC,37.79999923706055
MAIN,37.85,8902395,1,8902395-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,37.89791488647461
MAIN,38.35,7218462,1,7218462-1,HNTS,CONT-NSS,POD,BG Gabes berth1,38.40208053588867
MAIN,38.95,7635933,1,7635933-1,RUAM,CONT-NSS,POE,Unconstrained,39.02499771118164
MAIN,39.25,90664384,1,90664384-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,39.332637786865234
MAIN,39.3,9064267,1,9064267-1,DKSD,CONT-NSS,POE,Charleston-DKSD Terminal-19777,39.346527099609375
MAIN,39.6,7820423,1,7820423-1,HNTS,RO/RO,POD,BG Gabes berth1,39.66874694824219
MAIN,39.75,6820579,1,6820579-1,HNTS,CONT-NSS,POD,BG Gabes berth1,39.80624771118164
MAIN,40.3,6913429,2,6913429-2,DKSD,COMBO,POE,Charleston-DKSD Terminal-19777,40.349998474121094
MAIN,40.35,7820411,1,7820411-1,HNTS,RO/RO,POD,BG Gabes berth1,40.39583206176758
MAIN,40.6,7390117,1,7390117-1,HNTS,RO/RO,POD,BG Gabes berth1,40.6538200378418
MAIN,40.75,8322789,1,8322789-1,RRRK,CONT-NSS,POE,NEW YORK berth group-RRRK,40.81805419921875
MAIN,40.9,7224904,1,7224904-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,40.97638702392578
MAIN,40.95,7050248,1,7050248-1,HNTS,BARGE(T-AKB),POD,BG Gabes berth1,40.985416412353516
MAIN,40.95,7334204,1,7334204-1,HNTS,COMBO,POD,BG Gabes berth2,41.02291488647461
MAIN,41.55,9007817,1,9007817-1,DKSD,CONT-NSS,POE,Charleston-DKSD Terminal-19777,41.60972213745117
MAIN,41.55,8026048,1,8026048-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,41.615970611572266
MAIN,41.8,7395351,1,7395351-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,41.848609924316406
MAIN,41.8,5432112,1,5432112-1,VKNP,RO/RO,POD,BG Safaqis cont-2 berth,41.869441986083984
MAIN,42.55,7714349,1,7714349-1,SBEA,CONT-NSS,POE,NORFOLK berth group-SBEA,42.588191986083984
MAIN,42.65,7909968,1,7909968-1,HNTS,RO/RO,POD,BG Gabes berth1,42.70347213745117
MAIN,42.9,9137349,1,9137349-1,QTUP,BREAKBULK,POE,MOREHEAD CITY BG-QTUP -19792,42.949302673339844
MAIN,43,7729459,1,7729459-1,RUAM,CONT-NSS,POE,Unconstrained,43.06805419921875
MAIN,43.05,8221507,1,8221507-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,43.08610916137695
MAIN,43.3,8200711,1,8200711-1,HNTS,CONT-NSS,POD,BG Gabes berth1,43.35972213745117
MAIN,43.55,7617905,1,7617905-1,HNTS,CONT-NSS,POD,BG Gabes berth1,43.58402633666992
MAIN,43.65,7116315,1,7116315-1,FQZF,CONT-NSS,POE,Unconstrained,43.69513702392578
MAIN,43.7,8221545,1,8221545-1,VKNP,CONT-SS,POD,BG Safaqis cont-1 berth,43.780208587646484
MAIN,43.9,6828624,2,6828624-2,RUAM,CONT-NSS,POE,Unconstrained,43.94166564941406
MAIN,45,8419142,1,8419142-1,FQZF,CONT-NSS,POE,Unconstrained,45.07499694824219
MAIN,45.5,7320411,2,7320411-2,QTUP,BARGE(T-AKB),POE,MOREHEAD CITY BG-QTUP -19792,45.55624771118164
MAIN,45.65,8412869,1,8412869-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,45.71666717529297
MAIN,45.9,7224306,2,7224306-2,RUAM,CONT-NSS,POE,Unconstrained,45.94166564941406
MAIN,45.95,1811111,2,1811111-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,45.98749923706055
MAIN,46.6,8450665,1,8450665-1,SBEA,RO/RO,POE,NORFOLK berth group-SBEA,46.647220611572266
MAIN,47.75,8419154,1,8419154-1,HNTS,CONT-NSS,POD,BG Gabes berth1,47.818748474121094
MAIN,48.2,7717171,1,7717171-1,HNTS,COMBO,POD,BG Gabes berth1,48.264583587646484
MAIN,48.6,7635933,1,7635933-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,48.64374923706055
MAIN,49,6812211,1,6812211-1,AVBU,CONT-NSS,POE,Unconstrained,49.05763626098633
MAIN,49.15,6913429,2,6913429-2,VKNP,COMBO,POD,BG Safaqis cont-1 berth,49.2006950378418
MAIN,50.35,9064267,1,9064267-1,HNTS,CONT-NSS,POD,BG Gabes berth1,50.40972137451172
MAIN,50.8,8322789,1,8322789-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,50.84236145019531
MAIN,50.85,7026259,2,7026259-2,RUAM,CONT-NSS,POE,Unconstrained,50.89097213745117
MAIN,51.85,7729459,1,7729459-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,51.91527557373047
MAIN,52.25,7050248,2,7050248-2,DKSD,BARGE(T-AKB),POE,Charleston-DKSD Terminal-19777,52.31041717529297
MAIN,52.4,6828624,2,6828624-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,52.452083587646484
MAIN,52.45,9007817,1,9007817-1,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,52.50208282470703
MAIN,52.55,8419166,1,8419166-1,QTUP,CONT-NSS,POE,MOREHEAD CITY BG-QTUP -19792,52.62708282470703
MAIN,52.65,7034335,2,7034335-2,WPVT,BARGE(T-AKB),POE,TACOMA berth group-WPVT,52.729164123535156
MAIN,53,7714349,1,7714349-1,HNTS,CONT-NSS,POD,BG Gabes berth1,53.0625
MAIN,53.05,8902400,2,8902400-2,RUAM,CONT-NSS,POE,Unconstrained,53.12916564941406
MAIN,53.25,7116315,1,7116315-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,53.31597137451172
MAIN,53.45,8902395,2,8902395-2,RUAM,CONT-NSS,POE,Unconstrained,53.51597213745117
MAIN,54.4,7224306,2,7224306-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,54.452083587646484
MAIN,54.5,7233278,1,7233278-1,HNTS,CONT-NSS,POD,BG Gabes berth1,54.53888702392578
MAIN,54.55,7304792,2,7304792-2,UTAC,BARGE(T-AKB),POE,SAN DIEGO berth group-UTAC,54.58333206176758
MAIN,54.75,6708379,1,6708379-1,HNTS,CONT-NSS,POD,BG Gabes berth1,54.8305549621582
MAIN,55.05,8419142,1,8419142-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,55.11874771118164
MAIN,55.5,7218462,2,7218462-2,RUAM,CONT-NSS,POE,Unconstrained,55.561805725097656
MAIN,55.55,5386605,1,5386605-1,VKNP,T-ACS,POD,BG Safaqis cont-1 berth,55.625694274902344
MAIN,55.6,7320411,2,7320411-2,HNTS,BARGE(T-AKB),POD,BG Gabes berth1,55.666664123535156
MAIN,57.45,6916861,2,6916861-2,RUAM,CONT-NSS,POE,Unconstrained,57.531944274902344
MAIN,58.4,7315571,2,7315571-2,JTVH,FSS,POE,GULFPORT BG-JTVH Terminal-19783,58.47291564941406
MAIN,58.5,9137349,1,9137349-1,VKNP,BREAKBULK,POD,BG Safaqis cont-1 berth,58.5555534362793
MAIN,58.6,6812211,1,6812211-1,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,58.66527557373047
MAIN,58.95,8450665,1,8450665-1,HNTS,RO/RO,POD,BG Gabes berth1,59.01388931274414
MAIN,59.45,7224904,2,7224904-2,FQZF,CONT-NSS,POE,Unconstrained,59.516666412353516
MAIN,59.8,7302897,2,7302897-2,RUAM,FSS,POE,Unconstrained,59.87361145019531
MAIN,60.05,7026259,2,7026259-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,60.10624694824219
MAIN,61,9074391,1,9074391-1,RUAM,VISA CONT,POE,Unconstrained,61.0493049621582
MAIN,61.4,1811111,3,1811111-3,RUAM,CONT-NSS,POE,Unconstrained,61.477081298828125
MAIN,61.8,7236153,2,7236153-2,RUAM,FSS,POE,Unconstrained,61.87361145019531
MAIN,61.9,8902400,2,8902400-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,61.97638702392578
MAIN,62,8419166,1,8419166-1,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,62.06666564941406
MAIN,62.2,7050248,2,7050248-2,HNTS,BARGE(T-AKB),POD,BG Gabes berth1,62.27916717529297
MAIN,62.3,8902395,2,8902395-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,62.36319351196289
MAIN,64.15,7325253,2,7325253-2,RUAM,FSS,POE,Unconstrained,64.18611145019531
MAIN,64.35,7218462,2,7218462-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,64.40902709960938
MAIN,65.9,6828624,3,6828624-3,RUAM,CONT-NSS,POE,Unconstrained,65.94166564941406
MAIN,66.5,7820423,2,7820423-2,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,66.57118225097656
MAIN,66.7,6916861,2,6916861-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,66.74722290039062
MAIN,66.9,7224306,3,7224306-3,RUAM,CONT-NSS,POE,Unconstrained,66.94166564941406
MAIN,67.25,7315571,2,7315571-2,VKNP,FSS,POD,BG Safaqis cont-1 berth,67.31458282470703
MAIN,68.2,7302897,2,7302897-2,VKNP,FSS,POD,BG Safaqis cont-1 berth,68.28263854980469
MAIN,68.7,7224904,2,7224904-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,68.75138854980469
MAIN,69.1,6708379,2,6708379-2,RUAM,CONT-NSS,POE,Unconstrained,69.17986297607422
MAIN,69.95,1811111,3,1811111-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,69.98750305175781
MAIN,70.15,7233278,2,7233278-2,RUAM,CONT-NSS,POE,Unconstrained,70.2236099243164
MAIN,70.2,7236153,2,7236153-2,VKNP,FSS,POD,BG Safaqis cont-1 berth,70.28263854980469
MAIN,71,6905252,2,6905252-2,RUAM,CONT-NSS,POE,Unconstrained,71.06771087646484
MAIN,71.3,7034335,2,7034335-2,HNTS,BARGE(T-AKB),POD,BG Gabes berth1,71.3486099243164
MAIN,72.55,7325253,2,7325253-2,VKNP,FSS,POD,BG Safaqis cont-1 berth,72.59513854980469
MAIN,73.4,7304792,2,7304792-2,HNTS,BARGE(T-AKB),POD,BG Gabes berth1,73.44340515136719
MAIN,74.05,6801664,1,6801664-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,74.08541870117188
MAIN,74.05,7320411,3,7320411-3,RRRK,BARGE(T-AKB),POE,NEW YORK berth group-RRRK,74.13090515136719
MAIN,74.4,6828624,3,6828624-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,74.45208740234375
MAIN,74.85,7026259,3,7026259-3,RUAM,CONT-NSS,POE,Unconstrained,74.89097595214844
MAIN,75.4,7224306,3,7224306-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,75.46875
MAIN,77,7820423,2,7820423-2,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,77.05278015136719
MAIN,77.95,6708379,2,6708379-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,78.02708435058594
MAIN,78.45,8902395,3,8902395-3,RUAM,CONT-NSS,POE,Unconstrained,78.51597595214844
MAIN,78.65,7315571,3,7315571-3,RUAM,FSS,POE,Unconstrained,78.71666717529297
MAIN,79,7233278,2,7233278-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,79.07048797607422
MAIN,79.05,8902400,3,8902400-3,RUAM,CONT-NSS,POE,Unconstrained,79.12916564941406
MAIN,79.8,7302897,3,7302897-3,RUAM,FSS,POE,Unconstrained,79.87361145019531
MAIN,79.85,6905252,2,6905252-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,79.91493225097656
MAIN,81,9074389,1,9074389-1,RUAM,VISA CONT,POE,Unconstrained,81.04930877685547
MAIN,81.8,7236153,3,7236153-3,RUAM,FSS,POE,Unconstrained,81.87361145019531
MAIN,82.05,6801664,1,6801664-1,VKNP,RO/RO,POD,BG Safaqis cont-1 berth,82.09097290039062
MAIN,83.1,7320411,3,7320411-3,VKNP,BARGE(T-AKB),POD,BG Safaqis cont-1 berth,83.16041564941406
MAIN,83.4,1811111,4,1811111-4,RUAM,CONT-NSS,POE,Unconstrained,83.47673797607422
MAIN,84.05,7026259,3,7026259-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,84.10694885253906
MAIN,84.45,6916861,3,6916861-3,RUAM,CONT-NSS,POE,Unconstrained,84.53194427490234
MAIN,84.85,6913259,1,6913259-1,RUAM,CONT-NSS,POE,Unconstrained,84.89305877685547
MAIN,87.05,7315571,3,7315571-3,VKNP,FSS,POD,BG Safaqis cont-1 berth,87.12569427490234
MAIN,87.3,8902395,3,8902395-3,VKNP,CONT-NSS,POD,BG Safaqis cont-2 berth,87.3638916015625
MAIN,87.4,7002071,1,7002071-1,RUAM,CONT-NSS,POE,Unconstrained,87.46458435058594
MAIN,87.9,6828624,4,6828624-4,RUAM,CONT-NSS,POE,Unconstrained,87.94166564941406
MAIN,87.9,8902400,3,8902400-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,87.97604370117188
MAIN,88.2,7302897,3,7302897-3,VKNP,FSS,POD,BG Safaqis cont-1 berth,88.28263854980469
MAIN,88.9,7224306,4,7224306-4,RUAM,CONT-NSS,POE,Unconstrained,88.94166564941406
MAIN,89.5,7218462,3,7218462-3,RUAM,CONT-NSS,POE,Unconstrained,89.56180572509766
MAIN,90.2,7236153,3,7236153-3,VKNP,FSS,POD,BG Safaqis cont-1 berth,90.28263854980469
MAIN,90.45,7802718,1,7802718-1,RUAM,CONT-NSS,POE,Unconstrained,90.50590515136719
MAIN,91.95,1811111,4,1811111-4,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,91.98750305175781
MAIN,93,6905252,3,6905252-3,RUAM,CONT-NSS,POE,Unconstrained,93.06806182861328
MAIN,93.05,7304792,3,7304792-3,RRRK,BARGE(T-AKB),POE,NEW YORK berth group-RRRK,93.13125610351562
MAIN,93.35,6913259,1,6913259-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,93.40416717529297
MAIN,93.7,6916861,3,6916861-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,93.74722290039062
MAIN,94,9085522,1,9085522-1,RUAM,VISA CONT,POE,Unconstrained,94.04930877685547
MAIN,94.15,7233278,3,7233278-3,RUAM,CONT-NSS,POE,Unconstrained,94.2236099243164
MAIN,94.45,6820579,2,6820579-2,FQZF,CONT-NSS,POE,Unconstrained,94.53055572509766
MAIN,95.1,6708379,3,6708379-3,RUAM,CONT-NSS,POE,Unconstrained,95.17986297607422
MAIN,95.9,7002071,1,7002071-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,95.97500610351562
MAIN,96.4,6828624,4,6828624-4,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,96.46875
MAIN,96.85,7026259,4,7026259-4,RUAM,CONT-NSS,POE,Unconstrained,96.89097595214844
MAIN,97.4,7224306,4,7224306-4,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,97.45208740234375
MAIN,98.15,7325253,3,7325253-3,RUAM,FSS,POE,Unconstrained,98.18611145019531
MAIN,98.35,7218462,3,7218462-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,98.43055725097656
MAIN,98.95,7802718,1,7802718-1,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,99.01736450195312
MAIN,101.85,6905252,3,6905252-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,101.915283203125
MAIN,102.1,7304792,3,7304792-3,VKNP,BARGE(T-AKB),POD,BG Safaqis cont-1 berth,102.16041564941406
MAIN,102.7,8902395,4,8902395-4,RRRK,CONT-NSS,POE,NEW YORK berth group-RRRK,102.78194427490234
MAIN,103,7233278,3,7233278-3,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,103.07083892822266
MAIN,103.7,6820579,2,6820579-2,VKNP,CONT-NSS,POD,BG Safaqis cont-1 berth,103.7652816772461
