Model,FedTime,CargoID,RlnID,PalletID,PalletReq,Stons,Mtons,Ccc,CargoCommodity,NumItems,Hot,ConsolidationGeo,MultiRln
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT49,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT50,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT51,1:0000002,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT52,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT53,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT54,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT55,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT56,1:0000002,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT57,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT58,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT59,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT60,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT61,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT62,1:0000002,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT63,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT64,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT65,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT66,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT67,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT68,1:0000002,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT69,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT70,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT71,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT72,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT73,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT74,1:0000002,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT75,1:0000002,0.6000022888183594,1.2000045776367188,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT75,1:0000002,0.3999977111816406,0.7999954223632815,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT1,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT2,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT3,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT4,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT5,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT6,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT7,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT8,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT9,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT10,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT11,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT12,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT13,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT14,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT15,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT16,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT17,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT18,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT19,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT20,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
