Event Day,Port,Fleet,Restriction
40,AVBU,FF-LINER,true
40,AVYX,FF-LINER,true
40,BBNQ,FF-LINER,true
40,BBNV,FF-LINER,true
40,BQWA,FF-LINER,true
40,BSRL,FF-LINER,true
40,CHCY,FF-LINER,true
40,CWCP,FF-LINER,true
40,CWGV,FF-LINER,true
40,DKSD,FF-LINER,true
40,DRUG,FF-LINER,true
40,EDME,FF-LINER,true
40,EGNN,FF-LINER,true
40,ENCN,FF-LINER,true
40,EZMU,FF-LINER,true
40,FGDB,FF-LINER,true
40,FGDD,FF-LINER,true
40,FGTW,FF-LINER,true
40,FMAZ,FF-LINER,true
40,FNLD,FF-LINER,true
40,FNSH,FF-LINER,true
40,FQZF,FF-LINER,true
40,GPEN,FF-LINER,true
40,GWZP,FF-LINER,true
40,HAGC,FF-LINER,true
40,HMGB,FF-LINER,true
40,HNTS,FF-LINER,true
40,HUPR,FF-LINER,true
40,JJRP,FF-LINER,true
40,JSSN,FF-LINER,true
40,JTVH,FF-LINER,true
40,JWJY,FF-LINER,true
40,JWTD,FF-LINER,true
40,JXKM,FF-LINER,true
40,JYPN,FF-LINER,true
40,KZPH,FF-LINER,true
40,KZTZ,FF-LINER,true
40,LCMT,FF-LINER,true
40,LKPE,FF-LINER,true
40,LRNC,FF-LINER,true
40,LSGM,FF-LINER,true
40,LUTP,FF-LINER,true
40,LWEV,FF-LINER,true
40,LYAP,FF-LINER,true
40,LYRV,FF-LINER,true
40,LYTM,FF-LINER,true
40,MKAG,FF-LINER,true
40,MLDL,FF-LINER,true
40,MMGH,FF-LINER,true
40,MZJK,FF-LINER,true
40,NBDY,FF-LINER,true
40,NLFL,FF-LINER,true
40,NNWH,FF-LINER,true
40,NPTU,FF-LINER,true
40,NSAN,FF-LINER,true
40,PAXM,FF-LINER,true
40,PCFC,FF-LINER,true
40,PCFG,FF-LINER,true
40,PKVP,FF-LINER,true
40,PPSH,FF-LINER,true
40,QCFF,FF-LINER,true
40,QHPB,FF-LINER,true
40,QHPD,FF-LINER,true
40,QHPF,FF-LINER,true
40,QNPW,FF-LINER,true
40,QTUP,FF-LINER,true
40,RCYQ,FF-LINER,true
40,RCYT,FF-LINER,true
40,RELG,FF-LINER,true
40,REPV,FF-LINER,true
40,RGJW,FF-LINER,true
40,RQNK,FF-LINER,true
40,RRHU,FF-LINER,true
40,RRRK,FF-LINER,true
40,RUAM,FF-LINER,true
40,RUAQ,FF-LINER,true
40,RULV,FF-LINER,true
40,SBEA,FF-LINER,true
40,SBEQ,FF-LINER,true
40,SEA1,FF-LINER,true
40,SERU,FF-LINER,true
40,SMXS,FF-LINER,true
40,STRM,FF-LINER,true
40,SVCN,FF-LINER,true
40,SYZZ,FF-LINER,true
40,TGWS,FF-LINER,true
40,TKDW,FF-LINER,true
40,TNVX,FF-LINER,true
40,TNZY,FF-LINER,true
40,TPPR,FF-LINER,true
40,TPRW,FF-LINER,true
40,TQKG,FF-LINER,true
40,TRZP,FF-LINER,true
40,TVJD,FF-LINER,true
40,TVXA,FF-LINER,true
40,TZL4,FF-LINER,true
40,TZYR,FF-LINER,true
40,UMXA,FF-LINER,true
40,UNAP,FF-LINER,true
40,UTAC,FF-LINER,true
