StartName,StartGeo,EndName,EndGeo,Time
LOS ANGELES,ACJP,CONCORD,EGNN,0.7
LOS ANGELES,ACJP,CORPUS CHRISTI NA,ENCN,2.8
LOS ANGELES,ACJP,EARLE NWS,FQZF,5.3
LOS ANGELES,ACJP,EL TORO MCAS,FUZD,0.1
LOS ANGELES,ACJP,FREEPORT,HAGC,3.0
LOS ANGELES,ACJP,GULFPORT,JTVH,3.7
LOS ANGELES,ACJP,HOUSTON,LCMT,3.0
LOS ANGELES,ACJP,INDIAN ISLAND,LKPE,2.2
LOS ANGELES,ACJP,JACKSONVILLE,LSGM,4.7
LOS ANGELES,ACJP,LONG BEACH,NPTU,0.0
LOS ANGELES,ACJP,LOS ANGELES,NSAN,0.0
LOS ANGELES,ACJP,MAYPORT NAVAL ST,PPSH,4.7
LOS ANGELES,ACJP,MIAMI,QCFF,5.1
LOS ANGELES,ACJP,MOREHEAD CITY,QTUP,5.1
LOS ANGELES,ACJP,NEW ORLEANS,RQNK,3.6
LOS ANGELES,ACJP,NEW YORK,RRHU,5.3
LOS ANGELES,ACJP,NEW YORK PORT EMB,RRRK,5.3
LOS ANGELES,ACJP,NEWPORT,RUAM,5.6
LOS ANGELES,ACJP,NEWPORT T2,RUAQ,5.6
LOS ANGELES,ACJP,NEWPORT NEWS,RULV,5.1
LOS ANGELES,ACJP,NORFOLK,SBEA,5.1
LOS ANGELES,ACJP,NORFOLK T2,SBEQ,5.1
LOS ANGELES,ACJP,OAKLAND SEALAND T,SERU,0.8
LOS ANGELES,ACJP,PORT EVERGLADES,TNVX,5.1
LOS ANGELES,ACJP,PORT HUENEME NCBC,TNZY,0.1
LOS ANGELES,ACJP,PORTLAND,TQKG,1.8
LOS ANGELES,ACJP,SAN DIEGO,UTAC,0.2
LOS ANGELES,ACJP,SAN PEDRO,UULX,0.0
LOS ANGELES,ACJP,SAVANNAH,UZXJ,4.7
LOS ANGELES,ACJP,SEATTLE,VFVN,2.1
LOS ANGELES,ACJP,SOUTHPORT MILITAR,WMPT,5.0
LOS ANGELES,ACJP,TACOMA,WPVT,2.0
LOS ANGELES,ACJP,VANCOUVER,XUDT,1.8
LOS ANGELES,ACJP,WILMINGTON,ZBES,5.0
AIEA,ACWE,HONOLULU INTL,KZTV,0.0
AIEA,ACWE,HONOLULU,KZTZ,0.0
AIEA,ACWE,PEARL HARBOR NAD,SYZZ,0.0
AKRON,ADHB,BALTIMORE OUTPORT,AVBU,0.6
AKRON,ADHB,BEAUMONT T2,BBNQ,2.3
AKRON,ADHB,BEAUMONT,BBNV,2.3
