Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
BFHX,STRATEGIC,CH47,0,true,,,false
BFHX,STRATEGIC,KC-10,0,true,,,false
BFMV,STRATEGIC,B-747P,0,true,,,false
BFMV,STRATEGIC,C-17,0,true,,,false
BFMV,STRATEGIC,C-5A,0,true,,,false
BFMV,STRATEGIC,CH47,0,true,,,false
BFMV,STRATEGIC,KC-10,0,true,,,false
BJHZ,STRATEGIC,B-747P,0,true,,,false
BJHZ,STRATEGIC,C-17,0,true,,,false
BJHZ,STRATEGIC,C-5A,0,true,,,false
BJHZ,STRATEGIC,CH47,0,true,,,false
BJHZ,STRATEGIC,KC-10,0,true,,,false
BKTZ,STRATEGIC,B-747P,0,true,,,false
BKTZ,STRATEGIC,C-17,0,true,,,false
BKTZ,STRATEGIC,C-5A,0,true,,,false
BKTZ,STRATEGIC,CH47,0,true,,,false
BKTZ,STRATEGIC,KC-10,0,true,,,false
BPWZ,STRATEGIC,B-747P,0,true,,,false
BPWZ,STRATEGIC,C-17,0,true,,,false
BPWZ,STRATEGIC,C-5A,0,true,,,false
BPWZ,STRATEGIC,CH47,0,true,,,false
BPWZ,STRATEGIC,KC-10,0,true,,,false
BQWK,STRATEGIC,B-747P,0,true,,,false
BQWK,STRATEGIC,C-17,0,true,,,false
BQWK,STRATEGIC,C-5A,0,true,,,false
BQWK,STRATEGIC,CH47,0,true,,,false
BQWK,STRATEGIC,KC-10,0,true,,,false
BRKR,STRATEGIC,B-747P,0,true,,,false
BRKR,STRATEGIC,C-17,0,true,,,false
BRKR,STRATEGIC,C-5A,0,true,,,false
BRKR,STRATEGIC,CH47,0,true,,,false
BRKR,STRATEGIC,KC-10,0,true,,,false
BSEM,STRATEGIC,B-747P,0,true,,,false
BSEM,STRATEGIC,C-17,0,true,,,false
BSEM,STRATEGIC,C-5A,0,true,,,false
BSEM,STRATEGIC,CH47,0,true,,,false
BSEM,STRATEGIC,KC-10,0,true,,,false
BSRR,STRATEGIC,B-747P,0,true,,,false
BSRR,STRATEGIC,C-17,0,true,,,false
BSRR,STRATEGIC,C-5A,0,true,,,false
BSRR,STRATEGIC,CH47,0,true,,,false
BSRR,STRATEGIC,KC-10,0,true,,,false
BVGM,STRATEGIC,B-747P,0,true,,,false
BVGM,STRATEGIC,C-17,0,true,,,false
BVGM,STRATEGIC,C-5A,0,true,,,false
BVGM,STRATEGIC,CH47,0,true,,,false
BVGM,STRATEGIC,KC-10,0,true,,,false
BWBU,STRATEGIC,B-747P,0,true,,,false
BWBU,STRATEGIC,C-17,0,true,,,false
BWBU,STRATEGIC,C-5A,0,true,,,false
BWBU,STRATEGIC,CH47,0,true,,,false
BWBU,STRATEGIC,KC-10,0,true,,,false
BWKR,STRATEGIC,B-747P,0,true,,,false
BWKR,STRATEGIC,C-17,0,true,,,false
BWKR,STRATEGIC,C-5A,0,true,,,false
BWKR,STRATEGIC,CH47,0,true,,,false
BWKR,STRATEGIC,KC-10,0,true,,,false
BXRH,STRATEGIC,B-747P,0,true,,,false
BXRH,STRATEGIC,C-17,0,true,,,false
BXRH,STRATEGIC,C-5A,0,true,,,false
BXRH,STRATEGIC,CH47,0,true,,,false
BXRH,STRATEGIC,KC-10,0,true,,,false
BXUR,STRATEGIC,B-747P,0,true,,,false
BXUR,STRATEGIC,C-17,0,true,,,false
BXUR,STRATEGIC,C-5A,0,true,,,false
BXUR,STRATEGIC,CH47,0,true,,,false
BXUR,STRATEGIC,KC-10,0,true,,,false
BYKA,STRATEGIC,B-747P,0,true,,,false
BYKA,STRATEGIC,C-17,0,true,,,false
BYKA,STRATEGIC,C-5A,0,true,,,false
BYKA,STRATEGIC,CH47,0,true,,,false
BYKA,STRATEGIC,KC-10,0,true,,,false
CAAP,STRATEGIC,B-747P,0,true,,,false
CAAP,STRATEGIC,C-17,0,true,,,false
CAAP,STRATEGIC,C-5A,0,true,,,false
CAAP,STRATEGIC,CH47,0,true,,,false
CAAP,STRATEGIC,KC-10,0,true,,,false
CAAY,STRATEGIC,B-747P,0,true,,,false
CAAY,STRATEGIC,C-17,0,true,,,false
CAAY,STRATEGIC,C-5A,0,true,,,false
CAAY,STRATEGIC,CH47,0,true,,,false
CAAY,STRATEGIC,KC-10,0,true,,,false
CEKT,STRATEGIC,B-747P,0,true,,,false
CEKT,STRATEGIC,C-17,0,true,,,false
CEKT,STRATEGIC,C-5A,0,true,,,false
CEKT,STRATEGIC,CH47,0,true,,,false
CEKT,STRATEGIC,KC-10,0,true,,,false
CLAG,STRATEGIC,B-747P,0,true,,,false
CLAG,STRATEGIC,C-17,0,true,,,false
CLAG,STRATEGIC,C-5A,0,true,,,false
CLAG,STRATEGIC,CH47,0,true,,,false
CLAG,STRATEGIC,KC-10,0,true,,,false
CNBC,STRATEGIC,B-747P,0,true,,,false
CNBC,STRATEGIC,C-17,0,true,,,false
CNBC,STRATEGIC,C-5A,0,true,,,false
CNBC,STRATEGIC,CH47,0,true,,,false
CNBC,STRATEGIC,KC-10,0,true,,,false
CQLW,STRATEGIC,B-747P,0,true,,,false
CQLW,STRATEGIC,C-17,0,true,,,false
CQLW,STRATEGIC,C-5A,0,true,,,false
CQLW,STRATEGIC,CH47,0,true,,,false
CQLW,STRATEGIC,KC-10,0,true,,,false
CRWU,STRATEGIC,B-747P,0,true,,,false
CRWU,STRATEGIC,C-17,0,true,,,false
CRWU,STRATEGIC,C-5A,0,true,,,false
CRWU,STRATEGIC,CH47,0,true,,,false
CRWU,STRATEGIC,KC-10,0,true,,,false
CTCN,STRATEGIC,B-747P,0,true,,,false
