"Delivery of Breakbulk, RORO and Containers at Locations "
Time<Time>,Required at POE<Float>,Origin<Float>,Port of Embarkation<Float>,Delivered of Required: POE<Float>
159.0,193423.77,0.0,193090.56,193090.6
160.0,193923.77,0.0,193540.56,193540.6
161.0,193973.77,0.0,193910.56,193910.6
162.0,194473.77,0.0,194086.56,194086.6
163.0,194973.77,0.0,194676.56,194676.6
164.0,195473.77,0.0,195090.56,195090.6
165.0,195973.77,0.0,195910.56,195910.6
166.0,196523.77,0.0,196089.14,196089.17
167.0,196635.78,0.0,196566.77,196566.8
168.0,197135.78,0.0,196752.58,196752.61
169.0,197235.78,0.0,197172.58,197172.61
170.0,198135.78,0.0,198072.58,198072.61
171.0,198185.78,0.0,198122.58,198122.61
172.0,198235.78,0.0,198122.58,198122.61
173.0,198285.78,0.0,198222.58,198222.61
174.0,198335.78,0.0,198222.58,198222.61
175.0,198335.78,0.0,198222.58,198222.61
176.0,198335.78,0.0,198322.58,198322.61
177.0,198335.78,0.0,198322.58,198322.61
178.0,198335.78,0.0,198322.58,198322.61
179.0,198335.78,0.0,198322.58,198322.61
180.0,198335.78,0.0,198322.58,198322.61
