Berth Group Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,PORT NAME<String>,BERTH GROUP<String>,Time<Day>,BERTH LENGTH<Ft>,MIN FEET USED<Ft>,MIN LENGTH USE<Percent>,AVG FEET USED<Ft>,AVG LENGTH USE<Percent>,MAX FEET USED<Ft>,MAX LENGTH USE<Percent>,MIN SHIPS ON<Ship>,AVG SHIPS ON<Ship>,MAX SHIPS ON<Ship>
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,101.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,102.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,103.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,104.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,105.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,106.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,107.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,108.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,109.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,110.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,111.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,112.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,113.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,114.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,115.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,116.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,117.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,118.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,119.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,120.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,121.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,122.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
