Vehicle Backlog
ASSET POOL<String>,VEHICLE TYPE<String>,Time<Day>,Vehicle Backlog<Integer>
ten,commercial boxcar,133,0
ten,commercial boxcar,134,0
ten,commercial boxcar,135,0
ten,commercial boxcar,136,0
ten,commercial boxcar,137,0
ten,commercial boxcar,138,0
ten,commercial boxcar,139,0
ten,commercial boxcar,140,0
ten,commercial boxcar,141,0
ten,commercial boxcar,142,0
ten,commercial boxcar,143,0
ten,commercial boxcar,144,0
ten,commercial boxcar,145,0
ten,commercial boxcar,146,0
ten,commercial boxcar,147,0
ten,commercial boxcar,148,0
ten,commercial boxcar,149,0
ten,commercial boxcar,150,0
ten,commercial boxcar,151,0
ten,commercial boxcar,152,0
ten,commercial boxcar,153,0
ten,commercial boxcar,154,0
ten,commercial boxcar,155,0
ten,commercial boxcar,156,0
ten,commercial boxcar,157,0
ten,commercial boxcar,158,0
ten,commercial boxcar,159,0
ten,commercial boxcar,160,0
ten,commercial boxcar,161,0
ten,commercial boxcar,162,0
ten,commercial boxcar,163,0
ten,commercial boxcar,164,0
ten,commercial boxcar,165,0
ten,commercial boxcar,166,0
ten,commercial boxcar,167,0
ten,commercial boxcar,168,0
ten,commercial boxcar,169,0
ten,commercial boxcar,170,0
ten,commercial boxcar,171,0
ten,commercial boxcar,172,0
ten,commercial boxcar,173,0
ten,commercial boxcar,174,0
ten,commercial boxcar,175,0
ten,commercial boxcar,176,0
ten,commercial boxcar,177,0
ten,commercial boxcar,178,0
ten,commercial boxcar,179,0
ten,commercial boxcar,180,0
ten,commercial boxcar,181,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,0,7
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,1,7
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,2,7
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,3,7
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,4,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,5,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,6,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,7,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,8,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,9,24
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,10,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,11,4
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,12,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,13,0
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,14,21
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,15,7
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,16,7
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,17,25
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,18,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,19,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,20,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,21,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,22,35
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,23,38
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,24,42
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,25,36
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,26,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,27,42
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,28,46
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,29,43
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,30,42
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,31,42
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,32,46
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,33,49
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,34,46
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,35,46
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,36,40
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,37,46
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,38,40
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,39,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,40,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,41,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,42,35
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,43,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,44,36
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,45,27
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,46,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,47,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,48,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,49,27
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,50,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,51,27
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,52,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,53,35
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,54,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,55,36
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,56,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,57,39
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,58,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,59,43
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,60,40
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,61,25
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,62,38
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,63,34
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,64,17
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,65,35
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,66,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,67,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,68,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,69,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,70,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,71,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,72,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,73,34
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,74,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,75,19
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,76,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,77,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,78,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,79,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,80,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,81,19
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,82,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,83,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,84,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,85,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,86,34
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,87,19
