Geoloc,BerthGroup,Day,Enabled,Description,EventPhase,Data
UNAP,UNAPBBULK/RORO05,0,true,,,1
UNAP,UNAPBBULK/RORO06,0,true,,,1
UNAP,UNAPBBULK/RORO07,0,true,,,1
UNAP,UNAPBBULK/RORO08,0,true,,,1
UNAP,UNAPBBULK/RORO09,0,true,,,1
UNAP,UNAPBBULK/RORO10,0,true,,,1
UNAP,UNAPBBULK/RORO11,0,true,,,1
UNAP,UNAPBBULK/RORO12,0,true,,,1
UNAP,UNAPBBULK/RORO13,0,true,,,1
UNAP,UNAPBBULK/RORO14,0,true,,,1
UNAP,UNAPBBULK/RORO15,0,true,,,1
UNAP,UNAPBBULK/RORO16,0,true,,,1
UNAP,UNAPBBULK/RORO17,0,true,,,1
UNAP,UNAPBBULK/RORO18,0,true,,,1
UNAP,UNAPBBULK/RORO19,0,true,,,1
UNAP,UNAPBBULK/RORO20,0,true,,,1
UNAP,UNAPBBULK/RORO21,0,true,,,1
UNAP,UNAPBBULK/RORO22,0,true,,,1
UNAP,UNAPBBULK/RORO23,0,true,,,1
UNAP,UNAPBBULK/RORO24,0,true,,,1
UNAP,UNAPBBULK/RORO25,0,true,,,1
UNAP,UNAPGENERAL PU01,0,true,,,1
UNAP,UNAPGENERAL PU02,0,true,,,1
UNAP,UNAPGENERAL PU03,0,true,,,1
UNAP,UNAPGENERAL PU04,0,true,,,1
UNAP,UNAPGENERAL PU05,0,true,,,1
UNAP,UNAPGENERAL PU06,0,true,,,1
UNAP,UNAPGENERAL PU07,0,true,,,1
UNAP,UNAPGENERAL PU08,0,true,,,1
UNAP,UNAPVISA      01,0,true,,,1
UTVT,UTVTGENERAL PU01,0,true,,,1
UTVT,UTVTVISA      01,0,true,,,1
UULA,UULAVISA      01,0,true,,,1
UULB,UULBVISA      01,0,true,,,1
UULX,UULXVISA      01,0,true,,,1
UYQR,UYQRBREAKBULK 01,0,true,,,1
UYQR,UYQRGENERAL PU01,0,true,,,1
UZXJ,SAVANNAH berth group-UZXJ,0,true,,,1
VFVN,VFVNGENERAL PU01,0,true,,,1
VFVN,VFVNGENERAL PU02,0,true,,,1
VFVN,VFVNGENERAL PU03,0,true,,,1
VFVN,VFVNVISA      01,0,true,,,1
VKNP,BG Safaqis cont-1 berth,0,true,,,1
