KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I95+ 15045-1614,1614,42,42,,,,,,,,,,,intersection 2225,intersection 248,,,,,,,,
I95+ 15046-141,141,42,42,,,,,,,,,,,intersection 248,intersection 249,,,,,,,,
I95+ 15054-1496,1496,42,42,,,,,,,,,,,intersection 1658,intersection 2099,,,,,,,,
I95+ 15056-4766,4766,42,42,,,,,,,,,,,intersection 2099,intersection 1763,,,,,,,,
I95+ 15064-1388,1388,42,42,,,,,,,,,,,intersection 1763,intersection 1640,,,,,,,,
I95+ 15068-1103,1103,42,42,,,,,,,,,,,intersection 1640,intersection 845,,,,,,,,
I95+ 15606-3860,3860,44,44,,,,,,,,,,,intersection 448,intersection 3582,,,,,,,,
I95+ 15613-261,261,44,44,,,,,,,,,,,intersection 448,intersection 449,,,,,,,,
I95+ 15615-3217,3217,44,44,,,,,,,,,,,intersection 2659,intersection 449,,,,,,,,
I95+ 15618-2150,2150,44,44,,,,,,,,,,,intersection 2659,intersection 2660,,,,,,,,
I95+ 15620-4430,4430,44,44,,,,,,,,,,,intersection 2008,intersection 3509,,,,,,,,
I95+ 15642-839,839,44,44,,,,,,,,,,,intersection 1296,intersection 1297,,,,,,,,
I95+ 15644-4551,4551,44,44,,,,,,,,,,,intersection 2108,intersection 1297,,,,,,,,
I95+ 15651-2245,2245,44,44,,,,,,,,,,,intersection 1506,intersection 2108,,,,,,,,
I95+ 15659-3050,3050,44,44,,,,,,,,,,,intersection 1963,intersection 1506,,,,,,,,
I95+ 15664-1370,1370,44,44,,,,,,,,,,,intersection 1963,intersection 1964,,,,,,,,
I95+ 15666-4647,4647,44,44,,,,,,,,,,,intersection 3480,intersection 2663,,,,,,,,
I95+ 15780-4452,4452,37,37,,,,,,,,,,,intersection 2502,intersection 3179,,,,,,,,
I95+ 15816-5060,5060,45,45,,,,,,,,,,,intersection 3178,intersection 298,,,,,,,,
I95+ 15832-2648,2648,45,45,,,,,,,,,,,intersection 1421,intersection 3020,,,,,,,,
I95+ 15882-927,927,45,45,,,,,,,,,,,intersection 1420,intersection 1421,,,,,,,,
I95+ 15917-286,286,45,45,,,,,,,,,,,intersection 488,intersection 489,,,,,,,,
I95+ 15919-3214,3214,45,45,,,,,,,,,,,intersection 1841,intersection 489,,,,,,,,
I95+ 15927-1268,1268,45,45,,,,,,,,,,,intersection 1577,intersection 1841,,,,,,,,
I95+ 15975-1050,1050,45,45,,,,,,,,,,,intersection 1133,intersection 1577,,,,,,,,
I95+ 15983-725,725,45,45,,,,,,,,,,,intersection 1132,intersection 1133,,,,,,,,
I95+ 18658-2678,2678,24,24,,,,,,,,,,,intersection 1032,intersection 1563,,,,,,,,
I95+ 18662-1974,1974,51,51,,,,,,,,,,,intersection 1563,intersection 1933,,,,,,,,
I95+ 18664-5310,5310,51,51,,,,,,,,,,,intersection 176,intersection 3012,,,,,,,,
I95+ 18667-101,101,51,51,,,,,,,,,,,intersection 176,intersection 177,,,,,,,,
I95+ 18669-3440,3440,51,51,,,,,,,,,,,intersection 3440,intersection 177,,,,,,,,
I95+ 18677-5532,5532,51,51,,,,,,,,,,,intersection 3672,intersection 2021,,,,,,,,
I95+ 18730-5339,5339,51,51,,,,,,,,,,,intersection 3213,intersection 3672,,,,,,,,
I95+ 18767-3536,3536,51,51,,,,,,,,,,,intersection 3475,intersection 3213,,,,,,,,
I95+ 18777-5464,5464,51,51,,,,,,,,,,,intersection 3475,intersection 872,,,,,,,,
I95+ 18798-1364,1364,51,51,,,,,,,,,,,intersection 1468,intersection 1955,,,,,,,,
I95+ 18825-964,964,51,51,,,,,,,,,,,intersection 942,intersection 1468,,,,,,,,
