PARKING_NAME,AIRPORT_NAME, HOT_CARGO, NARROWBODY_PARKING_MOG, NARROWBODY_WORKING_MOG, NUMBER_FUEL_HYDRANTS, SMALLBODY_PARKING_MOG, SMALLBODY_WORKING_MOG, WIDEBODY_PARKING_MOG, WIDEBODY_WORKING_MOG, PRIORITY, MODIFY
F E WARREN -GHLN-MAP-PARKING,F E WARREN -GHLN-MAP,,,,,,,,,0,
WICHITA MID CONTI -YXKB-CAP-PARKING,WICHITA MID CONTI -YXKB-CAP,,,,,,,,,0,
ROSECRANS MEM -ULYB-JAP-PARKING,ROSECRANS MEM -ULYB-JAP,,,,,,,,,0,
BELLOWS AFS -BFMV-AFS-PARKING,BELLOWS AFS -BFMV-AFS,,,,,,,,,0,
CECIL FIELD NAS -DGAB-MAP-PARKING,CECIL FIELD NAS -DGAB-MAP,,,,,,,,,0,
LEHIGH VALLEY INT -AFMS-CAP-PARKING,LEHIGH VALLEY INT -AFMS-CAP,,,,,,,,,0,
ORLANDO INTERNATI -PSAX-CAP-PARKING,ORLANDO INTERNATI -PSAX-CAP,,,,,,,,,0,
WILLOW GROVE NAS -ZAWN-MAP-PARKING,WILLOW GROVE NAS -ZAWN-MAP,,,,,,,,,0,
JOHNSTOWN CAMBRIA -LVQX-CAP-PARKING,JOHNSTOWN CAMBRIA -LVQX-CAP,,,,,,,,,0,
CHERRY POINT -DNNH-AFS-PARKING,CHERRY POINT -DNNH-AFS,,,,,,,,,0,
MINOT INTL -QJWG-CAP-PARKING,MINOT INTL -QJWG-CAP,,,,,,,,,0,
MORENO VALLEY -QTXL-AFD-PARKING,MORENO VALLEY -QTXL-AFD,,,,,,,,,0,
FORT WAYNE INTL -ATQZ-IAP-PARKING,FORT WAYNE INTL -ATQZ-IAP,,,,,,,,,0,
TOLEDO EXPRESS -WYTD-JAP-PARKING,TOLEDO EXPRESS -WYTD-JAP,,,,,,,,,0,
ALAMOGORDO WHITE -ADQM-CAP-PARKING,ALAMOGORDO WHITE -ADQM-CAP,,,,,,,,,0,
WHEELER SACK AAF -YVGQ-MAP-PARKING,WHEELER SACK AAF -YVGQ-MAP,,,,,,,,,0,
HALL -JXPJ-AGS-PARKING,HALL -JXPJ-AGS,,,,,,,,,0,
TUNIS-CARTHAGE -XJJD-IAP-parking,CARTHAGE -XJJD-IAP,,,,,,,,,0,
GULFPORT BILOXI R -JTVE-JAP-PARKING,GULFPORT BILOXI R -JTVE-JAP,,,,,,,,,0,
FALLON NAS -GLRZ-MAP-PARKING,FALLON NAS -GLRZ-MAP,,,,,,,,,0,
ALEXANDRIA ESLER -GEQZ-CAP-PARKING,ALEXANDRIA ESLER -GEQZ-CAP,,,,,,,,,0,
DANNELLY FIELD -FAKZ-JAP-PARKING,DANNELLY FIELD -FAKZ-JAP,,,,,,,,,0,
MONASTIR-HABIB BO -QNVA-IAP-parking,HABIB BOURGUIBA I -QNVA-IAP,,,,,,,,,0,
FAIRBANKS INTERNA -GJFZ-CAP-PARKING,FAIRBANKS INTERNA -GJFZ-CAP,,,,,,,,,0,
VOLK FIELD -YAQF-MAP-PARKING,VOLK FIELD -YAQF-MAP,,,,,,,,,0,
BISMARCK MUNI -BSEM-JAP-PARKING,BISMARCK MUNI -BSEM-JAP,,,,,,,,,0,
DALLAS-FORT WORTH -EZSE-CAP-PARKING,DALLAS-FORT WORTH -EZSE-CAP,,,,,,,,,0,
DOVER AFB -FJXT-MAP-PARKING,DOVER AFB -FJXT-MAP,,,,,,,,,0,
BIR EL ATER -BQWK-APT-parking,BIR EL ATER -BQWK-APT,,,,,,,,,0,
WRIGHT AAF -NEYU-MAP-PARKING,WRIGHT AAF -NEYU-MAP,,,,,,,,,0,
MALMSTROM AFB -NZAS-MAP-PARKING,MALMSTROM AFB -NZAS-MAP,,,,,,,,,0,
LOUISVILLE -NSQG-APT-PARKING,LOUISVILLE -NSQG-APT,,,,,,,,,0,
ALEXANDRIA INTL -GAMH-MAP-PARKING,ALEXANDRIA INTL -GAMH-MAP,,,,,,,,,0,
WITHAM FIELD -WJAE-CAP-PARKING,WITHAM FIELD -WJAE-CAP,,,,,,,,,0,
MACDILL AFB -NVZR-MAP-PARKING,MACDILL AFB -NVZR-MAP,,,,,,,,,0,
MONTESSEUR -QRAW-APT-parking,MONTESSEUR -QRAW-APT,,,,,,,,,0,
FORT WORTH NAS -DDPF-MAP-PARKING,FORT WORTH NAS -DDPF-MAP,,,,,,,,,0,
READING MUNI -UABY-CAP-PARKING,READING MUNI -UABY-CAP,,,,,,,,,0,
ALBANY COUNTY -ADVM-IAP-PARKING,ALBANY COUNTY -ADVM-IAP,,,,,,,,,0,
NEDERLAND -RJVF-AGS-PARKING,NEDERLAND -RJVF-AGS,,,,,,,,,0,
TINKER AFB -WWYK-MAP-PARKING,TINKER AFB -WWYK-MAP,,,,,,,,,0,
ALAMEDA NAS -ADND-MAP-PARKING,ALAMEDA NAS -ADND-MAP,,,,,,,,,0,
CHARLESTON AFB-IN -DKFX-JAP-PARKING,CHARLESTON AFB-IN -DKFX-JAP,,,,,,,,,0,
WILL ROGERS WORLD -YZEU-JAP-PARKING,WILL ROGERS WORLD -YZEU-JAP,,,,,,,,,0,
MINNEAPOLIS ST PA -QJKL-JAP-PARKING,MINNEAPOLIS ST PA -QJKL-JAP,,,,,,,,,0,
KEY FIELD -MDVL-JAP-PARKING,KEY FIELD -MDVL-JAP,,,,,,,,,0,
TRACY MUNI -XCQN-APT-PARKING,TRACY MUNI -XCQN-APT,,,,,,,,,0,
AMARILLO INTERNAT -AGWF-CAP-PARKING,AMARILLO INTERNAT -AGWF-CAP,,,,,,,,,0,
RAY S MILLER AAF -UGCF-MAP-PARKING,RAY S MILLER AAF -UGCF-MAP,,,,,,,,,0,
K I SAWYER AFB -LWRC-MAP-PARKING,K I SAWYER AFB -LWRC-MAP,,,,,,,,,0,
LITTLE RIVER -PYVR-APT-PARKING,LITTLE RIVER -PYVR-APT,,,,,,,,,0,
MOUNTAIN HOME AFB -QYZH-MAP-PARKING,MOUNTAIN HOME AFB -QYZH-MAP,,,,,,,,,0,
GEN B MITCHELL -HTUV-AGS-PARKING,GEN B MITCHELL -HTUV-AGS,,,,,,,,,0,
GREENVILLE SPARTA -JPPK-CAP-PARKING,GREENVILLE SPARTA -JPPK-CAP,,,,,,,,,0,
WACO REGIONAL -YEQW-CAP-PARKING,WACO REGIONAL -YEQW-CAP,,,,,,,,,0,
CINCINNATI-NORTHE -DTVB-CAP-PARKING,CINCINNATI-NORTHE -DTVB-CAP,,,,,,,,,0,
VINT HILL FARM -XZPR-AFS-PARKING,VINT HILL FARM -XZPR-AFS,,,,,,,,,0,
BERGSTROM ARS -BJHZ-MAP-PARKING,BERGSTROM ARS -BJHZ-MAP,,,,,,,,,0,
UNION CITY -XNSM-AFS-PARKING,UNION CITY -XNSM-AFS,,,,,,,,,0,
MATHER AFB -PLXL-MAP-PARKING,SACRAMENTO MATHER -PLXL-MAP,,,,,,,,,0,
NO SMITHFIELD -SAEJ-AGS-PARKING,NO SMITHFIELD -SAEJ-AGS,,,,,,,,,0,
KANSAS CITY INTL -LYNM-IAP-PARKING,KANSAS CITY INTL -LYNM-IAP,,,,,,,,,0,
SEYMOUR JOHNSON A -VKAG-MAP-PARKING,SEYMOUR JOHNSON A -VKAG-MAP,,,,,,,,,0,
BEAUFORT MCAS -BBJM-MAP-PARKING,BEAUFORT MCAS -BBJM-MAP,,,,,,,,,0,
GREEN BAY INTERNA -ASCE-CAP-PARKING,GREEN BAY INTERNA -ASCE-CAP,,,,,,,,,0,
MIRAMAR NAS parking-QKJA-19791,MIRAMAR NAS -QKJA-MAP,,,,,,,,,1,A
GABES -HNTK-APT-parking,GABES -HNTK-APT,,,,,,,,,0,
CHARLESTON EXECUT -LVDB-CAP-PARKING,CHARLESTON EXECUT -LVDB-CAP,,,,,,,,,0,
BUSH FIELD -ARNW-JAP-PARKING,BUSH FIELD -ARNW-JAP,,,,,,,,,0,
WHITEMAN parking-YWHG-19805,WHITEMAN AFB -YWHG-MAP,,,,,,,,,1,A
MC ENTIRE ANG BAS -PSTE-MAP-PARKING,MC ENTIRE ANG BAS -PSTE-MAP,,,,,,,,,0,
