KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
ROAD LINK - 14005-2566,2566,null,null,1.94,,,,3964.706,25.0,,,,small road,geos-WWYK,ints-1749,,,,,,,,
ROAD LINK - 14008-1610,1610,null,null,2.11,,,,3964.706,25.0,,,,small road,geos-PQEK,ints-5949,,,,,,,,
ROAD LINK - 14011+-5900,5900,null,null,1.55,,,,3964.706,25.0,,,,small road,geos-AGGN,ints-6093,,,,,,,,
ROAD LINK - 1407-4998,4998,null,null,0.36,,,,6376.471,30.0,,,,small road,ints-5941,ints-2932,,,,,,,,
ROAD LINK - 14365-1477,1477,null,null,0.37,,,,3964.706,25.0,,,,small road,ints-688,ints-1951,,,,,,,,
ROAD LINK - 14366+-2138,2138,null,null,4.51,,,,6917.647,25.0,,,,small road,ints-1621,ints-1951,,,,,,,,
ROAD LINK - 14372-4260,4260,null,null,0.15,,,,3964.706,25.0,,,,small road,geos-TQKG,ints-688,,,,,,,,
ROAD LINK - 14444-533,533,null,null,0.68,,,,6917.647,25.0,,,,small road,ints-3301,ints-2950,,,,,,,,
ROAD LINK - 14452+-1715,1715,null,null,9.69,,,,20576.47,32.0,,,,medium road,ints-3355,ints-2950,,,,,,,,
ROAD LINK - 1456+-2598,2598,null,null,32.63,,,,9847.059,35.0,,,,small road,geos-HFXZ,ints-3741,,,,,,,,
ROAD LINK - 14963-4212,4212,null,null,0.95,,,,9847.059,35.0,,,,small road,ints-3562,ints-1290,,,,,,,,
ROAD LINK - 14974-1350,1350,null,null,0.75,,,,6917.647,25.0,,,,small road,ints-92,ints-3562,,,,,,,,
ROAD LINK - 15047-359,359,null,null,0.7,,,,20576.47,32.0,,,,medium road,ints-1052,ints-373,,,,,,,,
ROAD LINK - 1519-445,445,null,null,0.3,,,,20576.47,32.0,,,,medium road,ints-4796,ints-4628,,,,,,,,
ROAD LINK - 1520-1764,1764,null,null,0.04,,,,20576.47,32.0,,,,medium road,geos-NPTU,ints-4796,,,,,,,,
ROAD LINK - 15243-1314,1314,null,null,0.99,,,,20576.47,32.0,,,,medium road,ints-779,ints-5539,,,,,,,,
ROAD LINK - 1526+-2319,2319,null,null,9.0,,,,9847.059,35.0,,,,small road,ints-4526,ints-3741,,,,,,,,
ROAD LINK - 15265-1427,1427,null,null,0.2,,,,37952.94,42.0,,,,large road,ints-5794,ints-1155,,,,,,,,
ROAD LINK - 15272-3453,3453,null,null,0.5,,,,10188.235,40.0,,,,small road,ints-5524,ints-2103,,,,,,,,
ROAD LINK - 15273-1853,1853,null,null,0.09,,,,10188.235,40.0,,,,small road,ints-2103,ints-1966,,,,,,,,
ROAD LINK - 15293-4552,4552,null,null,1.46,,,,20576.47,32.0,,,,medium road,ints-1436,ints-4518,,,,,,,,
ROAD LINK - 15335-764,764,null,null,0.13,,,,29352.941,42.0,,,,medium road,ints-2769,ints-5345,,,,,,,,
ROAD LINK - 15336-2083,2083,null,null,0.96,,,,37952.94,42.0,,,,large road,ints-1155,ints-2769,,,,,,,,
ROAD LINK - 15337-5717,5717,null,null,1.08,,,,10188.235,40.0,,,,small road,ints-5524,ints-263,,,,,,,,
ROAD LINK - 15338-1182,1182,null,null,0.05,,,,37952.94,42.0,,,,large road,ints-263,ints-1339,,,,,,,,
ROAD LINK - 15339-2409,2409,null,null,0.49,,,,37952.94,42.0,,,,large road,ints-1062,ints-5345,,,,,,,,
ROAD LINK - 15340-6043,6043,null,null,0.37,,,,37952.94,42.0,,,,large road,ints-1339,ints-1062,,,,,,,,
ROAD LINK - 15341-1829,1829,null,null,0.24,,,,6917.647,25.0,,,,small road,ints-1401,ints-4479,,,,,,,,
ROAD LINK - 15342-3508,3508,null,null,0.86,,,,29352.941,42.0,,,,medium road,ints-4479,ints-5794,,,,,,,,
ROAD LINK - 15635+-5276,5276,null,null,0.96,,,,6917.647,25.0,,,,small road,ints-4135,ints-2531,,,,,,,,
ROAD LINK - 15673+-1265,1265,null,null,1.2,,,,20576.47,32.0,,,,medium road,ints-6180,ints-6459,,,,,,,,
ROAD LINK - 15997-2111,2111,null,null,0.46,,,,20576.47,32.0,,,,medium road,ints-6463,ints-838,,,,,,,,
ROAD LINK - 16003-3826,3826,null,null,0.81,,,,20576.47,32.0,,,,medium road,ints-545,ints-3055,,,,,,,,
ROAD LINK - 16006+-2633,2633,null,null,1.53,,,,6917.647,25.0,,,,small road,ints-1899,ints-1379,,,,,,,,
ROAD LINK - 16015+-4556,4556,null,null,0.66,,,,20576.47,32.0,,,,medium road,ints-3758,ints-6463,,,,,,,,
ROAD LINK - 16016+-2632,2632,null,null,2.77,,,,20576.47,32.0,,,,medium road,geos-DKGJ,ints-3758,,,,,,,,
ROAD LINK - 16018-1873,1873,null,null,0.19,,,,20576.47,32.0,,,,medium road,ints-3758,ints-242,,,,,,,,
ROAD LINK - 16019+-1546,1546,null,null,6.54,,,,20576.47,32.0,,,,medium road,ints-4052,ints-228,,,,,,,,
ROAD LINK - 16022+-3510,3510,null,null,0.88,,,,6917.647,25.0,,,,small road,ints-322,ints-1899,,,,,,,,
ROAD LINK - 16025-2302,2302,null,null,0.78,,,,20576.47,32.0,,,,medium road,ints-4976,ints-322,,,,,,,,
ROAD LINK - 16026-5715,5715,null,null,0.2,,,,3964.706,25.0,,,,small road,ints-4810,ints-322,,,,,,,,
ROAD LINK - 16027-4126,4126,null,null,0.44,,,,3964.706,25.0,,,,small road,ints-4579,ints-4810,,,,,,,,
ROAD LINK - 16028-2842,2842,null,null,0.14,,,,3964.706,25.0,,,,small road,geos-DKSD,ints-4579,,,,,,,,
ROAD LINK - 16068+-5787,5787,null,null,2.78,,,,9847.059,35.0,,,,small road,geos-FXBM,ints-3786,,,,,,,,
ROAD LINK - 16077-3296,3296,null,null,2.01,,,,6917.647,25.0,,,,small road,ints-78,ints-324,,,,,,,,
ROAD LINK - 16078+-1683,1683,null,null,1.99,,,,20576.47,32.0,,,,medium road,ints-78,ints-2724,,,,,,,,
ROAD LINK - 16081+-5236,5236,null,null,49.82,,,,20576.47,32.0,,,,medium road,ints-3912,ints-2724,,,,,,,,
ROAD LINK - 16703-1396,1396,null,null,0.27,,,,6917.647,25.0,,,,small road,ints-5386,ints-2378,,,,,,,,
ROAD LINK - 1723-1223,1223,null,null,0.32,,,,6376.471,30.0,,,,small road,ints-1834,ints-4889,,,,,,,,
ROAD LINK - 1730-3714,3714,null,null,0.07,,,,20576.47,32.0,,,,medium road,ints-1096,ints-4857,,,,,,,,
ROAD LINK - 1732+-3698,3698,null,null,3.86,,,,20576.47,32.0,,,,medium road,ints-4857,ints-2873,,,,,,,,
ROAD LINK - 17435+-2078,2078,null,null,1.46,,,,20576.47,32.0,,,,medium road,ints-3660,ints-3319,,,,,,,,
ROAD LINK - 17890-3899,3899,null,null,2.48,,,,6917.647,25.0,,,,small road,ints-1754,ints-2328,,,,,,,,
ROAD LINK - 17979-1975,1975,null,null,0.61,,,,20576.47,32.0,,,,medium road,ints-3610,ints-6160,,,,,,,,
ROAD LINK - 18032-6038,6038,null,null,0.12,,,,6917.647,25.0,,,,small road,ints-4555,ints-4273,,,,,,,,
ROAD LINK - 18235-616,616,null,null,0.05,,,,6917.647,25.0,,,,small road,ints-5396,ints-2084,,,,,,,,
ROAD LINK - 18237-1296,1296,null,null,0.06,,,,20576.47,32.0,,,,medium road,ints-6029,ints-5757,,,,,,,,
ROAD LINK - 18347+-5966,5966,null,null,1.44,,,,6917.647,25.0,,,,small road,ints-5787,ints-3632,,,,,,,,
ROAD LINK - 18349+-1655,1655,null,null,3.91,,,,6917.647,25.0,,,,small road,ints-4770,geos-BBNV,,,,,,,,
ROAD LINK - 18357+-1875,1875,null,null,1.63,,,,6917.647,25.0,,,,small road,ints-1435,ints-506,,,,,,,,
ROAD LINK - 18359+-6082,6082,null,null,1.87,,,,6917.647,25.0,,,,small road,ints-3008,ints-3070,,,,,,,,
ROAD LINK - 18367-5144,5144,null,null,0.69,,,,3964.706,25.0,,,,small road,ints-1558,ints-1039,,,,,,,,
ROAD LINK - 18368-3692,3692,null,null,0.04,,,,3964.706,25.0,,,,small road,geos-HFTZ,ints-1558,,,,,,,,
ROAD LINK - 18370-5148,5148,null,null,0.69,,,,3964.706,25.0,,,,small road,ints-1558,ints-1039,,,,,,,,
ROAD LINK - 18371-735,735,null,null,0.04,,,,3964.706,25.0,,,,small road,geos-HFTZ,ints-1558,,,,,,,,
ROAD LINK - 18377+-3428,3428,null,null,4.72,,,,3964.706,25.0,,,,small road,geos-UHGN,ints-5338,,,,,,,,
ROAD LINK - 18380-4969,4969,null,null,3.96,,,,20576.47,32.0,,,,medium road,ints-4169,ints-4217,,,,,,,,
ROAD LINK - 18381-204,204,null,null,1.3,,,,20576.47,32.0,,,,medium road,ints-1139,ints-4169,,,,,,,,
ROAD LINK - 18382-4107,4107,null,null,0.27,,,,3964.706,25.0,,,,small road,geos-HQLL,ints-4169,,,,,,,,
ROAD LINK - 18383-5554,5554,null,null,0.2,,,,20576.47,32.0,,,,medium road,ints-3548,ints-729,,,,,,,,
ROAD LINK - 18384-5488,5488,null,null,1.17,,,,20576.47,32.0,,,,medium road,ints-1969,ints-3548,,,,,,,,
ROAD LINK - 18385-688,688,null,null,1.16,,,,3964.706,25.0,,,,small road,geos-LCMT,ints-3548,,,,,,,,
ROAD LINK - 18592-3820,3820,null,null,0.76,,,,3964.706,25.0,,,,small road,geos-XABT,ints-1029,,,,,,,,
ROAD LINK - 18827+-4745,4745,null,null,17.78,,,,6917.647,25.0,,,,small road,ints-2958,ints-5774,,,,,,,,
ROAD LINK - 1885+-3872,3872,null,null,0.17,,,,20576.47,32.0,,,,medium road,ints-4963,ints-6362,,,,,,,,
ROAD LINK - 1887+-1480,1480,null,null,0.97,,,,20576.47,32.0,,,,medium road,ints-35,ints-4963,,,,,,,,
ROAD LINK - 1890+-1857,1857,null,null,4.1,,,,20576.47,32.0,,,,medium road,ints-4628,ints-35,,,,,,,,
ROAD LINK - 19145+-2629,2629,null,null,5.26,,,,20576.47,32.0,,,,medium road,geos-HCHL,ints-732,,,,,,,,
ROAD LINK - 19158-2482,2482,null,null,2.8,,,,6917.647,25.0,,,,small road,ints-4496,ints-5562,,,,,,,,
ROAD LINK - 19173+-2874,2874,null,null,2.54,,,,9847.059,35.0,,,,small road,ints-3171,ints-118,,,,,,,,
ROAD LINK - 19193+-4929,4929,null,null,2.03,,,,10188.235,40.0,,,,small road,ints-5505,ints-215,,,,,,,,
ROAD LINK - 19201+-5961,5961,null,null,1.44,,,,3964.706,25.0,,,,small road,geos-MUHJ,ints-352,,,,,,,,
ROAD LINK - 19202-436,436,null,null,1.78,,,,3964.706,25.0,,,,small road,geos-HERT,ints-5880,,,,,,,,
ROAD LINK - 19203+-828,828,null,null,0.56,,,,3964.706,25.0,,,,small road,ints-5880,ints-3267,,,,,,,,
ROAD LINK - 19205-2291,2291,null,null,0.15,,,,3964.706,25.0,,,,small road,geos-TQUH,ints-6217,,,,,,,,
ROAD LINK - 19209-1167,1167,null,null,0.33,,,,3964.706,25.0,,,,small road,ints-6217,ints-326,,,,,,,,
ROAD LINK - 19210-1913,1913,null,null,0.33,,,,3964.706,25.0,,,,small road,ints-3279,ints-5696,,,,,,,,
ROAD LINK - 19211-603,603,null,null,0.33,,,,3964.706,25.0,,,,small road,geos-RULV,ints-3279,,,,,,,,
ROAD LINK - 19212-5382,5382,null,null,0.12,,,,3964.706,25.0,,,,small road,geos-SBEA,ints-215,,,,,,,,
ROAD LINK - 19507+-3225,3225,null,null,1.92,,,,20576.47,32.0,,,,medium road,geos-PQWY,ints-5980,,,,,,,,
ROAD LINK - 19508-5352,5352,null,null,0.05,,,,20576.47,32.0,,,,medium road,ints-3424,ints-4765,,,,,,,,
ROAD LINK - 19545-2091,2091,null,null,3.11,,,,9847.059,35.0,,,,small road,ints-6345,ints-5781,,,,,,,,
ROAD LINK - 19546+-5740,5740,null,null,7.35,,,,6917.647,25.0,,,,small road,ints-4357,ints-4556,,,,,,,,
ROAD LINK - 19635+-3422,3422,null,null,0.93,,,,29352.941,42.0,,,,medium road,ints-4819,ints-889,,,,,,,,
ROAD LINK - 19636+-6060,6060,null,null,0.29,,,,10188.235,40.0,,,,small road,ints-889,ints-3776,,,,,,,,
ROAD LINK - 19638-4211,4211,null,null,0.77,,,,29352.941,42.0,,,,medium road,ints-889,ints-2948,,,,,,,,
ROAD LINK - 19691+-5992,5992,null,null,0.48,,,,20576.47,32.0,,,,medium road,ints-68,ints-6439,,,,,,,,
ROAD LINK - 19696+-5627,5627,null,null,1.27,,,,20576.47,32.0,,,,medium road,ints-6439,ints-5139,,,,,,,,
ROAD LINK - 19704-4196,4196,null,null,0.12,,,,20576.47,32.0,,,,medium road,ints-2839,ints-3458,,,,,,,,
ROAD LINK - 19705-5835,5835,null,null,0.07,,,,20576.47,32.0,,,,medium road,ints-390,ints-2839,,,,,,,,
ROAD LINK - 19721-471,471,null,null,1.71,,,,9847.059,35.0,,,,small road,ints-2364,ints-5387,,,,,,,,
ROAD LINK - 19723+-2917,2917,null,null,8.88,,,,20576.47,32.0,,,,medium road,ints-3697,ints-4349,,,,,,,,
ROAD LINK - 19726-1539,1539,null,null,0.12,,,,3964.706,25.0,,,,small road,geos-VFVN,ints-6447,,,,,,,,
ROAD LINK - 19727-6094,6094,null,null,0.3,,,,20576.47,32.0,,,,medium road,ints-6447,ints-2948,,,,,,,,
ROAD LINK - 19728-4443,4443,null,null,1.99,,,,20576.47,32.0,,,,medium road,ints-1768,ints-6447,,,,,,,,
ROAD LINK - 19729+-5725,5725,null,null,2.3,,,,20576.47,32.0,,,,medium road,ints-5229,ints-4312,,,,,,,,
ROAD LINK - 19733-2320,2320,null,null,1.87,,,,3964.706,25.0,,,,small road,geos-HGUH,ints-5703,,,,,,,,
ROAD LINK - 20088+-1609,1609,null,null,20.47,,,,3964.706,25.0,,,,small road,ints-3760,geos-ETMB,,,,,,,,
ROAD LINK - 20100-2700,2700,null,null,1.63,,,,3964.706,25.0,,,,small road,geos-YAQF,ints-111,,,,,,,,
ROAD LINK - 20450-4578,4578,null,null,0.94,,,,3964.706,25.0,,,,small road,geos-HCRL,ints-1897,,,,,,,,
ROAD LINK - 20451+-1560,1560,null,null,1.93,,,,20576.47,32.0,,,,medium road,ints-1723,ints-757,,,,,,,,
ROAD LINK - 20453-1698,1698,null,null,2.09,,,,20576.47,32.0,,,,medium road,ints-1897,ints-1723,,,,,,,,
ROAD LINK - 20456-5209,5209,null,null,0.21,,,,3964.706,25.0,,,,small road,geos-BPWZ,ints-1723,,,,,,,,
ROAD LINK - 20457-423,423,null,null,1.27,,,,9847.059,35.0,,,,small road,ints-899,ints-4511,,,,,,,,
ROAD LINK - 20612-5792,5792,null,null,0.61,,,,3964.706,25.0,,,,small road,ints-5463,ints-4312,,,,,,,,
ROAD LINK - 20613-2585,2585,null,null,0.21,,,,10188.235,40.0,,,,small road,geos-WPVT,ints-5463,,,,,,,,
ROAD LINK - 20614-4082,4082,null,null,0.21,,,,10188.235,40.0,,,,small road,ints-6107,geos-UTAC,,,,,,,,
ROAD LINK - 20615-5530,5530,null,null,0.21,,,,10188.235,40.0,,,,small road,ints-2808,geos-LCMT,,,,,,,,
ROAD LINK - 20616-1559,1559,null,null,0.21,,,,10188.235,40.0,,,,small road,ints-5181,geos-HQLL,,,,,,,,
ROAD LINK - 20617-3007,3007,null,null,0.21,,,,10188.235,40.0,,,,small road,geos-QMFZ,ints-2561,,,,,,,,
ROAD LINK - 20619-5915,5915,null,null,0.21,,,,7717.647,25.0,,,,small road,geos-NSAN,ints-6092,,,,,,,,
ROAD LINK - 20620-5372,5372,null,null,0.21,,,,10188.235,40.0,,,,small road,ints-3802,geos-VFVN,,,,,,,,
ROAD LINK - 20621-570,570,null,null,0.21,,,,10188.235,40.0,,,,small road,ints-1473,geos-BBNV,,,,,,,,
ROAD LINK - 20622-2027,2027,null,null,1.08,,,,6917.647,25.0,,,,small road,ints-3280,ints-620,,,,,,,,
ROAD LINK - 20623-1954,1954,null,null,0.21,,,,10188.235,40.0,,,,small road,geos-UZXJ,ints-3280,,,,,,,,
ROAD LINK - 20624-5774,5774,null,null,0.79,,,,6917.647,25.0,,,,small road,ints-4908,ints-3506,,,,,,,,
ROAD LINK - 20625-987,987,null,null,0.21,,,,10188.235,40.0,,,,small road,geos-ENCN,ints-4908,,,,,,,,
ROAD LINK - 20627-3920,3920,null,null,0.21,,,,10188.235,40.0,,,,small road,geos-EGNN,ints-6072,,,,,,,,
ROAD LINK - 20628-6169,6169,null,null,2.2,,,,,,,,,road,geos-ZRVL,ints-4062,,,,,,,,
ROAD LINK - 20629-1412,1412,null,null,3.74,,,,,,,,,road,geos-ZRUZ,ints-5582,,,,,,,,
ROAD LINK - 20630-6071,6071,null,null,1.43,,,,,,,,,road,geos-ZRCE,ints-779,,,,,,,,
ROAD LINK - 20631-1281,1281,null,null,1.43,,,,,,,,,road,geos-ZRBF,ints-779,,,,,,,,
ROAD LINK - 20632-3515,3515,null,null,0.32,,,,,,,,,road,geos-ZQLL,ints-85,,,,,,,,
ROAD LINK - 20633-4945,4945,null,null,7.11,,,,,,,,,road,geos-ZQEL,ints-4694,,,,,,,,
ROAD LINK - 20634-5299,5299,null,null,7.11,,,,,,,,,road,geos-ZQEA,ints-4694,,,,,,,,
ROAD LINK - 20635-81,81,null,null,0.81,,,,,,,,,road,geos-ZQAJ,ints-4825,,,,,,,,
ROAD LINK - 20636-2317,2317,null,null,0.81,,,,,,,,,road,geos-ZQAH,ints-4825,,,,,,,,
ROAD LINK - 20637-3804,3804,null,null,0.81,,,,,,,,,road,geos-ZQAF,ints-4825,,,,,,,,
ROAD LINK - 20638-5253,5253,null,null,0.81,,,,,,,,,road,geos-ZQAE,ints-4825,,,,,,,,
ROAD LINK - 20639-467,467,null,null,27.19,,,,,,,,,road,geos-ZNHL,ints-3452,,,,,,,,
ROAD LINK - 20640-1019,1019,null,null,1.35,,,,,,,,,road,geos-ZLJW,ints-3411,,,,,,,,
ROAD LINK - 20641-2673,2673,null,null,0.49,,,,,,,,,road,geos-ZLJS,ints-4956,,,,,,,,
ROAD LINK - 20642-5115,5115,null,null,3.41,,,,,,,,,road,geos-ZLJP,ints-6066,,,,,,,,
ROAD LINK - 20643-535,535,null,null,3.35,,,,,,,,,road,geos-ZKPY,ints-5920,,,,,,,,
ROAD LINK - 20644-2196,2196,null,null,0.92,,,,,,,,,road,geos-ZHUE,ints-776,,,,,,,,
ROAD LINK - 20645-2299,2299,null,null,1.01,,,,,,,,,road,geos-ZHTP,ints-776,,,,,,,,
ROAD LINK - 20646-3205,3205,null,null,26.09,,,,,,,,,road,geos-ZHBP,ints-1931,,,,,,,,
ROAD LINK - 20647-4853,4853,null,null,0.15,,,,,,,,,road,geos-ZHAP,ints-2264,,,,,,,,
ROAD LINK - 20648-215,215,null,null,1.47,,,,,,,,,road,geos-ZHAH,ints-4753,,,,,,,,
ROAD LINK - 20649-1868,1868,null,null,12.4,,,,,,,,,road,geos-ZFTU,ints-5953,,,,,,,,
ROAD LINK - 20650-2623,2623,null,null,0.56,,,,,,,,,road,geos-ZFNU,ints-3684,,,,,,,,
ROAD LINK - 20651-4307,4307,null,null,15.52,,,,,,,,,road,geos-ZDXA,ints-4748,,,,,,,,
ROAD LINK - 20652-488,488,null,null,1.61,,,,,,,,,road,geos-ZDLG,ints-2755,,,,,,,,
ROAD LINK - 20653-2152,2152,null,null,2.28,,,,,,,,,road,geos-ZBVU,ints-184,,,,,,,,
ROAD LINK - 20654-3809,3809,null,null,14.44,,,,,,,,,road,geos-ZBUL,ints-5098,,,,,,,,
ROAD LINK - 20655-5484,5484,null,null,0.69,,,,,,,,,road,geos-ZBEN,ints-44,,,,,,,,
ROAD LINK - 20656-4807,4807,null,null,0.57,,,,,,,,,road,geos-ZBBU,ints-537,,,,,,,,
ROAD LINK - 20657-33,33,null,null,0.89,,,,,,,,,road,geos-ZAWN,ints-6146,,,,,,,,
ROAD LINK - 20658-1898,1898,null,null,0.96,,,,,,,,,road,geos-ZAWA,ints-6146,,,,,,,,
ROAD LINK - 20659-3370,3370,null,null,1.24,,,,,,,,,road,geos-ZABF,ints-294,,,,,,,,
ROAD LINK - 20660-4252,4252,null,null,1.24,,,,,,,,,road,geos-ZABA,ints-294,,,,,,,,
ROAD LINK - 20661-5696,5696,null,null,16.26,,,,,,,,,road,geos-YZJU,ints-4143,,,,,,,,
ROAD LINK - 20662-2102,2102,null,null,1.57,,,,,,,,,road,geos-YZEU,ints-5462,,,,,,,,
ROAD LINK - 20663-3598,3598,null,null,1.69,,,,,,,,,road,geos-YXKB,ints-2361,,,,,,,,
ROAD LINK - 20664-5408,5408,null,null,3.0,,,,,,,,,road,geos-YWHG,ints-1277,,,,,,,,
ROAD LINK - 20665-615,615,null,null,0.86,,,,,,,,,road,geos-YVPG,ints-5781,,,,,,,,
ROAD LINK - 20666-1693,1693,null,null,0.51,,,,,,,,,road,geos-YVEW,ints-4924,,,,,,,,
ROAD LINK - 20667-1635,1635,null,null,11.18,,,,,,,,,road,geos-YUPT,ints-6330,,,,,,,,
ROAD LINK - 20668-3530,3530,null,null,8.4,,,,,,,,,road,geos-YUAC,ints-883,,,,,,,,
ROAD LINK - 20669-4962,4962,null,null,1.63,,,,,,,,,road,geos-YTPM,ints-4753,,,,,,,,
ROAD LINK - 20670-5858,5858,null,null,1.6,,,,,,,,,road,geos-YSYV,ints-1788,,,,,,,,
ROAD LINK - 20672-3707,3707,null,null,1.93,,,,,,,,,road,geos-YRLZ,ints-3491,,,,,,,,
ROAD LINK - 20673-5146,5146,null,null,5.07,,,,,,,,,road,geos-YQPQ,ints-932,,,,,,,,
ROAD LINK - 20674-750,750,null,null,14.07,,,,,,,,,road,geos-YPEA,ints-1129,,,,,,,,
ROAD LINK - 20675-2230,2230,null,null,3.96,,,,,,,,,road,geos-YNWK,ints-5489,,,,,,,,
ROAD LINK - 20676-3308,3308,null,null,0.6,,,,,,,,,road,geos-YNJF,ints-518,,,,,,,,
ROAD LINK - 20677-4768,4768,null,null,2.97,,,,,,,,,road,geos-YNEF,ints-5481,,,,,,,,
ROAD LINK - 20678-4691,4691,null,null,6.72,,,,,,,,,road,geos-YMXZ,ints-2223,,,,,,,,
ROAD LINK - 20679-149,149,null,null,1.45,,,,,,,,,road,geos-YMXT,ints-2223,,,,,,,,
ROAD LINK - 20680-5557,5557,null,null,0.46,,,,,,,,,road,geos-YMSM,ints-5436,,,,,,,,
ROAD LINK - 20681-2484,2484,null,null,1.77,,,,,,,,,road,geos-YMMK,ints-1649,,,,,,,,
ROAD LINK - 20682-5378,5378,null,null,1.25,,,,,,,,,road,geos-YMGC,ints-2179,,,,,,,,
ROAD LINK - 20684-1963,1963,null,null,5.24,,,,,,,,,road,geos-YMBF,ints-4146,,,,,,,,
ROAD LINK - 20685-3646,3646,null,null,47.02,,,,,,,,,road,geos-YMAG,ints-2452,,,,,,,,
ROAD LINK - 20686-4899,4899,null,null,27.42,,,,,,,,,road,geos-YLZT,ints-792,,,,,,,,
ROAD LINK - 20687-356,356,null,null,13.07,,,,,,,,,road,geos-YLQH,ints-3634,,,,,,,,
ROAD LINK - 20688-1591,1591,null,null,0.29,,,,,,,,,road,geos-YLQG,ints-5840,,,,,,,,
ROAD LINK - 20689-1745,1745,null,null,1.02,,,,,,,,,road,geos-YLMY,ints-1291,,,,,,,,
ROAD LINK - 20690-915,915,null,null,1.02,,,,,,,,,road,geos-YLLN,ints-1291,,,,,,,,
ROAD LINK - 20691-2372,2372,null,null,1.17,,,,,,,,,road,geos-YLLM,ints-6038,,,,,,,,
ROAD LINK - 20692-703,703,null,null,1.09,,,,,,,,,road,geos-YLJF,ints-5719,,,,,,,,
ROAD LINK - 20693-2205,2205,null,null,0.29,,,,,,,,,road,geos-YLHU,ints-5840,,,,,,,,
ROAD LINK - 20694-3682,3682,null,null,4.27,,,,,,,,,road,geos-YLDM,ints-2664,,,,,,,,
ROAD LINK - 20695-5121,5121,null,null,0.64,,,,,,,,,road,geos-YKVG,ints-6226,,,,,,,,
ROAD LINK - 20696-260,260,null,null,3.01,,,,,,,,,road,geos-YKRS,ints-38,,,,,,,,
ROAD LINK - 20697-1924,1924,null,null,0.94,,,,,,,,,road,geos-YKLF,ints-5182,,,,,,,,
ROAD LINK - 20698-3196,3196,null,null,19.46,,,,,,,,,road,geos-YJQA,ints-2894,,,,,,,,
ROAD LINK - 20699-4850,4850,null,null,1.47,,,,,,,,,road,geos-YHAJ,ints-4753,,,,,,,,
ROAD LINK - 2070+-1342,1342,null,null,1.57,,,,10188.235,40.0,,,,small road,ints-3298,ints-1329,,,,,,,,
ROAD LINK - 20700-4915,4915,null,null,1.53,,,,,,,,,road,geos-YFXQ,ints-128,,,,,,,,
ROAD LINK - 20701-3652,3652,null,null,1.63,,,,,,,,,road,geos-YFWT,ints-1936,,,,,,,,
ROAD LINK - 20702-3763,3763,null,null,0.76,,,,,,,,,road,geos-YFKW,ints-4924,,,,,,,,
ROAD LINK - 20703-2278,2278,null,null,7.27,,,,,,,,,road,geos-YEQW,ints-1432,,,,,,,,
ROAD LINK - 20704-5523,5523,null,null,1.65,,,,,,,,,road,geos-YEAF,ints-4568,,,,,,,,
ROAD LINK - 20705-4010,4010,null,null,0.59,,,,,,,,,road,geos-YDBR,ints-2577,,,,,,,,
ROAD LINK - 20706-2527,2527,null,null,5.89,,,,,,,,,road,geos-XZPR,ints-3127,,,,,,,,
ROAD LINK - 20707-1114,1114,null,null,5.65,,,,,,,,,road,geos-XYBW,ints-5153,,,,,,,,
ROAD LINK - 20708-5903,5903,null,null,0.63,,,,,,,,,road,geos-XXDC,ints-4078,,,,,,,,
ROAD LINK - 20709-4476,4476,null,null,5.58,,,,,,,,,road,geos-XUMU,ints-1443,,,,,,,,
ROAD LINK - 20710-3511,3511,null,null,0.17,,,,,,,,,road,geos-XUEX,ints-5663,,,,,,,,
ROAD LINK - 20711-1836,1836,null,null,32.89,,,,,,,,,road,geos-XTLF,ints-3430,,,,,,,,
ROAD LINK - 20712-775,775,null,null,1.1,,,,,,,,,road,geos-XTBT,ints-647,,,,,,,,
ROAD LINK - 20713-679,679,null,null,3.0,,,,,,,,,road,geos-XSHO,ints-1514,,,,,,,,
ROAD LINK - 20714-4093,4093,null,null,4.78,,,,,,,,,road,geos-XSHL,ints-5307,,,,,,,,
ROAD LINK - 20715-2406,2406,null,null,3.19,,,,,,,,,road,geos-XRSP,ints-3585,,,,,,,,
ROAD LINK - 20716-1200,1200,null,null,3.27,,,,,,,,,road,geos-XQPZ,ints-1524,,,,,,,,
ROAD LINK - 20717-5756,5756,null,null,1.2,,,,,,,,,road,geos-XQKZ,ints-1331,,,,,,,,
ROAD LINK - 20718-4455,4455,null,null,5.79,,,,,,,,,road,geos-XPRF,ints-1906,,,,,,,,
ROAD LINK - 20720-1887,1887,null,null,9.49,,,,,,,,,road,geos-XLSN,ints-343,,,,,,,,
ROAD LINK - 20721-563,563,null,null,4.91,,,,,,,,,road,geos-XLFR,ints-4449,,,,,,,,
ROAD LINK - 20724-2436,2436,null,null,4.91,,,,,,,,,road,geos-XKZA,ints-4449,,,,,,,,
ROAD LINK - 20725-791,791,null,null,2.46,,,,,,,,,road,geos-XHZG,ints-483,,,,,,,,
ROAD LINK - 20726-5779,5779,null,null,1.44,,,,,,,,,road,geos-XHZA,ints-4260,,,,,,,,
ROAD LINK - 20727-4141,4141,null,null,10.28,,,,,,,,,road,geos-XHWN,ints-6099,,,,,,,,
