KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I10 15192-5042,5042,null,null,0.7,,,,49717.65,50.0,,,,large road,ints-3925,ints-414,,,,,,,,
I10 15193-3618,3618,null,null,4.96,,,,49717.65,50.0,,,,large road,ints-1995,ints-1332,,,,,,,,
I10 15194-2139,2139,null,null,11.33,,,,38223.53,50.0,,,,large road,ints-6409,ints-2030,,,,,,,,
I10 15202-5035,5035,null,null,7.23,,,,49717.65,50.0,,,,large road,ints-3372,ints-6409,,,,,,,,
I10 15203-1247,1247,null,null,0.8,,,,49717.65,50.0,,,,large road,ints-1334,ints-2221,,,,,,,,
I10 15204-1686,1686,null,null,9.88,,,,49717.65,50.0,,,,large road,ints-1454,ints-3372,,,,,,,,
I10 15206-5431,5431,null,null,0.42,,,,49717.65,50.0,,,,large road,ints-1494,ints-1334,,,,,,,,
I10 15207-29,29,null,null,1.58,,,,49717.65,50.0,,,,large road,ints-4547,ints-1494,,,,,,,,
I10 15208-2032,2032,null,null,0.55,,,,49717.65,50.0,,,,large road,ints-2298,ints-4547,,,,,,,,
I10 15209-3755,3755,null,null,1.31,,,,49717.65,50.0,,,,large road,ints-702,ints-2298,,,,,,,,
I10 15210-4103,4103,null,null,0.42,,,,49717.65,50.0,,,,large road,ints-5765,ints-702,,,,,,,,
I10 15211-6067,6067,null,null,1.47,,,,49717.65,50.0,,,,large road,ints-496,ints-5765,,,,,,,,
I10 15212-1564,1564,null,null,0.73,,,,49717.65,50.0,,,,large road,ints-4403,ints-496,,,,,,,,
I10 15213-2834,2834,null,null,2.07,,,,49717.65,50.0,,,,large road,ints-650,ints-4403,,,,,,,,
I10 15214-4499,4499,null,null,1.02,,,,49717.65,50.0,,,,large road,ints-4187,ints-650,,,,,,,,
I10 15215-4960,4960,null,null,2.01,,,,49717.65,50.0,,,,large road,ints-2129,ints-4187,,,,,,,,
I10 15216-390,390,null,null,6.61,,,,38223.53,50.0,,,,large road,ints-1084,ints-4143,,,,,,,,
I10 15217-1653,1653,null,null,0.57,,,,38223.53,50.0,,,,large road,ints-947,ints-1084,,,,,,,,
I10 15218-3290,3290,null,null,9.56,,,,38223.53,50.0,,,,large road,ints-684,ints-947,,,,,,,,
I10 15221-1333,1333,null,null,8.49,,,,38223.53,50.0,,,,large road,ints-3387,ints-684,,,,,,,,
I10 15222-2363,2363,null,null,1.25,,,,49717.65,50.0,,,,large road,ints-1284,ints-3387,,,,,,,,
I10 15223-4621,4621,null,null,2.02,,,,49717.65,50.0,,,,large road,ints-1964,ints-1284,,,,,,,,
I10 15227-4257,4257,null,null,1.21,,,,38223.53,50.0,,,,large road,ints-4898,ints-1964,,,,,,,,
I10 15229-523,523,null,null,1.22,,,,38223.53,50.0,,,,large road,ints-1869,ints-4898,,,,,,,,
I10 15231-270,270,null,null,0.23,,,,38223.53,50.0,,,,large road,ints-4864,ints-1869,,,,,,,,
I10 15232-5065,5065,null,null,10.32,,,,49717.65,50.0,,,,large road,ints-2368,ints-4864,,,,,,,,
I10 15235-660,660,null,null,1.15,,,,38223.53,50.0,,,,large road,ints-5384,ints-2368,,,,,,,,
I10 15245-6111,6111,null,null,21.58,,,,38223.53,50.0,,,,large road,ints-2931,ints-5384,,,,,,,,
I10 15246-4120,4120,null,null,8.11,,,,38223.53,50.0,,,,large road,ints-6382,ints-2931,,,,,,,,
I10 15247-2424,2424,null,null,6.28,,,,38223.53,50.0,,,,large road,ints-3211,ints-6382,,,,,,,,
I10 15248-1206,1206,null,null,3.96,,,,38223.53,50.0,,,,large road,ints-2123,ints-840,,,,,,,,
I10 15249-5752,5752,null,null,2.04,,,,38223.53,50.0,,,,large road,ints-226,ints-3211,,,,,,,,
I10 15250-3258,3258,null,null,6.36,,,,38223.53,50.0,,,,large road,ints-266,ints-2123,,,,,,,,
I10 15251-4360,4360,null,null,1.31,,,,38223.53,50.0,,,,large road,ints-5998,ints-226,,,,,,,,
I10 15252-363,363,null,null,4.44,,,,38223.53,50.0,,,,large road,ints-2330,ints-266,,,,,,,,
I10 15253-1438,1438,null,null,7.05,,,,38223.53,50.0,,,,large road,ints-840,ints-3370,,,,,,,,
I10 15254-5959,5959,null,null,1.17,,,,38223.53,50.0,,,,large road,ints-4266,ints-5998,,,,,,,,
I10 15255-3913,3913,null,null,2.8,,,,49717.65,50.0,,,,large road,ints-1190,ints-4266,,,,,,,,
I10 15256-3045,3045,null,null,11.97,,,,38223.53,50.0,,,,large road,ints-3845,ints-2330,,,,,,,,
I10 15257-1038,1038,null,null,1.31,,,,49717.65,50.0,,,,large road,ints-4668,ints-1190,,,,,,,,
I10 15258-5591,5591,null,null,4.13,,,,38223.53,50.0,,,,large road,ints-4282,ints-3845,,,,,,,,
I10 15259-3581,3581,null,null,0.9,,,,49717.65,50.0,,,,large road,ints-4867,ints-4668,,,,,,,,
I10 15260-1843,1843,null,null,1.13,,,,49717.65,50.0,,,,large road,ints-2858,ints-4867,,,,,,,,
I10 15261-377,377,null,null,8.35,,,,38223.53,50.0,,,,large road,ints-455,ints-4282,,,,,,,,
I10 15262-1262,1262,null,null,1.06,,,,49717.65,50.0,,,,large road,ints-3999,ints-2858,,,,,,,,
I10 15263-6046,6046,null,null,8.7,,,,38223.53,50.0,,,,large road,ints-418,ints-3370,,,,,,,,
I10 15264-4586,4586,null,null,0.99,,,,49717.65,50.0,,,,large road,ints-5843,ints-3999,,,,,,,,
I10 15266-849,849,null,null,1.04,,,,49717.65,50.0,,,,large road,ints-6187,ints-5843,,,,,,,,
I10 15267-5622,5622,null,null,0.6,,,,49717.65,50.0,,,,large road,ints-3932,ints-6187,,,,,,,,
I10 15268-4178,4178,null,null,0.74,,,,49717.65,50.0,,,,large road,ints-4181,ints-3932,,,,,,,,
I10 15270-39,39,null,null,4.56,,,,38223.53,50.0,,,,large road,ints-418,ints-5808,,,,,,,,
I10 15274-2749,2749,null,null,0.43,,,,49717.65,50.0,,,,large road,ints-1966,ints-335,,,,,,,,
I10 15275-905,905,null,null,0.57,,,,38223.53,50.0,,,,large road,ints-2511,ints-6377,,,,,,,,
I10 15276-6066,6066,null,null,2.13,,,,38223.53,50.0,,,,large road,ints-6211,ints-2511,,,,,,,,
I10 15278-2340,2340,null,null,1.11,,,,49717.65,50.0,,,,large road,ints-2597,ints-6211,,,,,,,,
I10 15280-2694,2694,null,null,2.37,,,,38223.53,50.0,,,,large road,ints-4088,ints-2597,,,,,,,,
I10 15281-637,637,null,null,4.96,,,,38223.53,50.0,,,,large road,ints-1033,ints-4088,,,,,,,,
I10 15282-5630,5630,null,null,6.21,,,,38223.53,50.0,,,,large road,ints-5692,ints-1033,,,,,,,,
I10 15283-3549,3549,null,null,24.87,,,,38223.53,50.0,,,,large road,ints-5808,ints-4899,,,,,,,,
I10 15284-2248,2248,null,null,14.51,,,,38223.53,50.0,,,,large road,ints-3091,ints-5692,,,,,,,,
I10 15285-305,305,null,null,6.16,,,,38223.53,50.0,,,,large road,ints-1750,ints-3091,,,,,,,,
I10 15299-4735,4735,null,null,0.21,,,,38223.53,50.0,,,,large road,ints-1711,ints-6273,,,,,,,,
I10 15300-1762,1762,null,null,0.11,,,,38223.53,50.0,,,,large road,ints-6377,ints-1966,,,,,,,,
I10 15305-2460,2460,null,null,3.96,,,,49717.65,50.0,,,,large road,ints-1332,ints-3934,,,,,,,,
I10 15306-792,792,null,null,0.05,,,,49717.65,50.0,,,,large road,ints-3934,ints-5362,,,,,,,,
I10 15307-5780,5780,null,null,2.02,,,,49717.65,50.0,,,,large road,ints-5362,ints-1454,,,,,,,,
I10 15314-2471,2471,null,null,0.2,,,,49717.65,50.0,,,,large road,ints-5917,ints-1995,,,,,,,,
I10 15315-5341,5341,null,null,2.83,,,,49717.65,50.0,,,,large road,ints-2217,ints-5917,,,,,,,,
I10 15316-5800,5800,null,null,0.57,,,,49717.65,50.0,,,,large road,ints-5952,ints-2129,,,,,,,,
I10 15317-3929,3929,null,null,0.45,,,,49717.65,50.0,,,,large road,ints-5983,ints-5952,,,,,,,,
I10 15318-2919,2919,null,null,2.82,,,,38223.53,50.0,,,,large road,ints-3968,ints-5983,,,,,,,,
I10 15319-1075,1075,null,null,0.52,,,,49717.65,50.0,,,,large road,ints-2820,ints-6026,,,,,,,,
I10 15320-5539,5539,null,null,0.27,,,,49717.65,50.0,,,,large road,ints-6273,ints-2820,,,,,,,,
I10 15321-4649,4649,null,null,4.22,,,,38223.53,50.0,,,,large road,ints-4143,ints-3968,,,,,,,,
I10 15326-1816,1816,null,null,1.54,,,,49717.65,50.0,,,,large road,ints-2405,ints-2425,,,,,,,,
I10 15327-138,138,null,null,0.58,,,,49717.65,50.0,,,,large road,ints-2221,ints-5234,,,,,,,,
I10 15328-4715,4715,null,null,0.07,,,,49717.65,50.0,,,,large road,ints-5234,ints-2115,,,,,,,,
I10 15329-3846,3846,null,null,0.92,,,,49717.65,50.0,,,,large road,ints-2115,ints-2405,,,,,,,,
I10 15343-4368,4368,null,null,0.84,,,,49717.65,50.0,,,,large road,ints-5559,ints-4181,,,,,,,,
I10 15344-2901,2901,null,null,1.34,,,,49717.65,50.0,,,,large road,ints-335,ints-5559,,,,,,,,
I10 15347-3202,3202,null,null,3.8,,,,38223.53,50.0,,,,large road,ints-4899,ints-5493,,,,,,,,
I10 15348-1733,1733,null,null,0.97,,,,38223.53,50.0,,,,large road,ints-5493,ints-1750,,,,,,,,
I10 17700-6073,6073,null,null,0.61,,,,49717.65,50.0,,,,large road,ints-3632,ints-758,,,,,,,,
I10 17719-677,677,null,null,0.56,,,,49717.65,50.0,,,,large road,ints-5227,ints-4216,,,,,,,,
