KEY,SHAPE_ROW,BerthLength,ShipSpacing,BerthDepth,BerthWidth,ApronWidth,AvailableMilitary,TankerOnOffPerShip,type,HotCargo,Overhang,Pumps,PrevBerth,NextBerth,Port,BerthGroup,FromDay,ToDay,Available,TerminalName,Modified,DifferentCSC,TotalNEWLimit
BEAUMONT -BBNV-PRT:BBNVGENERAL PU03,134217727,1450.0,50.0,36.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU03,0.0,99999.0,false,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU04,134217727,580.0,50.0,30.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU04,0.0,99999.0,false,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU05,134217727,1000.0,50.0,42.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU05,0.0,99999.0,true,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU06,134217727,1000.0,50.0,42.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU06,0.0,99999.0,true,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU07,134217727,1000.0,50.0,42.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU07,0.0,99999.0,true,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU08,134217727,1000.0,50.0,42.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU08,0.0,99999.0,true,,M,false,
BEAUMONT -BBNV-PRT:BBNVGENERAL PU09,134217727,1000.0,50.0,42.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT -BBNV-PRT,BBNVGENERAL PU09,0.0,99999.0,true,,M,false,
BEAUMONT T2 -BBNQ-PRT:BBNQ BG,0,1000.0,50.0,50.0,800.0,120.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BEAUMONT T2 -BBNQ-PRT,BBNQ BG,0.0,99999.0,true,,M,false,
BIZERTE -BSRL-PRT:BSRL berth container,4,4000.0,50.0,90.0,800.0,180.0,true,2000.0,CONTAINER,Both,0.0,0,null,null,BIZERTE -BSRL-PRT,BG BSRL berth container,-999.0,99999.0,true,BIZERTE -BSRL-PRT,M,false,
BIZERTE -BSRL-PRT:BSRL berth general purpose,5,4000.0,50.0,90.0,800.0,180.0,true,2000.0,GENERAL PURP,Both,0.0,0,null,null,BIZERTE -BSRL-PRT,BG BSRL berth general purpose,-999.0,99999.0,true,BIZERTE -BSRL-PRT,M,false,
BREMERHAVEN -CHCY-PRT:CHCYBBULK/RORO01,134217727,5000.0,50.0,35.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,BREMERHAVEN -CHCY-PRT,CHCYBBULK/RORO01,0.0,99999.0,false,,M,false,
BREMERHAVEN -CHCY-PRT:CHCYBBULK/RORO02,134217727,6300.0,50.0,28.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,BREMERHAVEN -CHCY-PRT,CHCYBBULK/RORO02,0.0,99999.0,false,,M,false,
BREMERHAVEN -CHCY-PRT:CHCYBBULK/RORO03,134217727,738.0,50.0,39.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,BREMERHAVEN -CHCY-PRT,CHCYBBULK/RORO03,0.0,99999.0,false,,M,false,
BREMERHAVEN -CHCY-PRT:CHCYGENERAL PU01,134217727,7200.0,50.0,40.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BREMERHAVEN -CHCY-PRT,CHCYGENERAL PU01,0.0,99999.0,true,,M,false,
BREMERHAVEN -CHCY-PRT:CHCYGENERAL PU02,134217727,1150.0,50.0,40.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BREMERHAVEN -CHCY-PRT,CHCYGENERAL PU02,0.0,99999.0,true,,M,false,
BREMERHAVEN -CHCY-PRT:CHCYGENERAL PU03,134217727,1312.0,50.0,40.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,BREMERHAVEN -CHCY-PRT,CHCYGENERAL PU03,0.0,99999.0,true,,M,false,
CADIZ -CWCP-PRT:CWCPVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,CADIZ -CWCP-PRT,CWCPVISA      01,0.0,99999.0,true,,M,false,
CAGAYAN DE ORO -CWGV-PRT:CWGVVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,CAGAYAN DE ORO -CWGV-PRT,CWGVVISA      01,0.0,99999.0,true,,M,false,
CHARLESTON -DKSD-PRT:Charleston-all-purpose berth-DKSD -19778,18,5000.0,50.0,55.0,800.0,120.0,true,2000.0,ALL-PURPOSE,Both,0.0,0,null,null,CHARLESTON -DKSD-PRT,Charleston-DKSD Terminal-19777,-999.0,99999.0,true,CHARLESTON -DKSD-PRT,M,false,
CHINHAE -DRUG-PRT:DRUGBREAKBULK 01,134217727,600.0,50.0,36.0,800.0,60.0,true,2000.0,BREAKBULK,BOTH,0.0,0,null,null,CHINHAE -DRUG-PRT,DRUGBREAKBULK 01,0.0,99999.0,true,,M,false,
CHINHAE -DRUG-PRT:DRUGGENERAL PU01,134217727,1053.0,50.0,40.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,CHINHAE -DRUG-PRT,DRUGGENERAL PU01,0.0,99999.0,true,,M,false,
COLOMBO -EDME-PRT:EDMEVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,COLOMBO -EDME-PRT,EDMEVISA      01,0.0,99999.0,true,,M,false,
CONCORD -EGNN-PRT:CONCORD NWS -EGNN-NYI:EGNNBBULK/AMMO01,134217727,1180.0,50.0,35.0,800.0,60.0,true,2000.0,BBULK/AMMO,BOTH,0.0,0,null,null,CONCORD NWS -EGNN-NYI,EGNNBBULK/AMMO01,0.0,99999.0,true,,M,false,
CONCORD -EGNN-PRT:CONCORD NWS -EGNN-NYI:EGNNBBULK/AMMO02,134217727,1220.0,50.0,35.0,800.0,60.0,true,2000.0,BBULK/AMMO,BOTH,0.0,0,null,null,CONCORD NWS -EGNN-NYI,EGNNBBULK/AMMO02,0.0,99999.0,true,,M,false,
CONCORD -EGNN-PRT:CONCORD NWS -EGNN-NYI:EGNNCONT/AMMO 01,134217727,1220.0,50.0,35.0,800.0,60.0,true,2000.0,CONT/AMMO,BOTH,0.0,0,null,null,CONCORD NWS -EGNN-NYI,EGNNCONT/AMMO 01,0.0,99999.0,true,,M,false,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNBBULK/RORO01,134217727,1000.0,50.0,36.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,CORPUS CHRISTI -ENCN-PRT,ENCNBBULK/RORO01,0.0,99999.0,true,,M,false,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNBBULK/RORO02,134217727,750.0,50.0,37.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,CORPUS CHRISTI -ENCN-PRT,ENCNBBULK/RORO02,0.0,99999.0,true,,M,false,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNBREAKBULK 01,134217727,700.0,50.0,28.0,800.0,60.0,true,2000.0,BREAKBULK,BOTH,0.0,0,null,null,CORPUS CHRISTI -ENCN-PRT,ENCNBREAKBULK 01,0.0,99999.0,false,,M,false,
CORPUS CHRISTI NA -ENCN-PRT:CORPUS CHRISTI -ENCN-PRT:ENCNGENERAL PU01,134217727,1060.0,50.0,45.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,CORPUS CHRISTI -ENCN-PRT,ENCNGENERAL PU01,0.0,99999.0,true,,M,false,
DAKAR -EZMU-PRT:EZMUVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,DAKAR -EZMU-PRT,EZMUVISA      01,0.0,99999.0,true,,M,false,
DIEGO GARCIA -FGDD-PRT:FGDDBBULK/RORO01,134217727,1000.0,50.0,45.0,800.0,60.0,true,2000.0,BBULK/RORO,BOTH,0.0,0,null,null,DIEGO GARCIA -FGDD-PRT,FGDDBBULK/RORO01,0.0,99999.0,true,,M,false,
DIEGO GARCIA -FGDD-PRT:FGDDGENERAL PU01,134217727,1000.0,50.0,45.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,DIEGO GARCIA -FGDD-PRT,FGDDGENERAL PU01,0.0,99999.0,true,,M,false,
DJERBA -FGTW-PRT:FGTW berth container,0,4000.0,50.0,90.0,800.0,180.0,true,2000.0,CONTAINER,Both,0.0,0,null,null,DJERBA -FGTW-PRT,BG FGTW berth container,-999.0,99999.0,true,DJERBA -FGTW-PRT,M,false,
DJERBA -FGTW-PRT:FGTW berth general purpose,3,4000.0,50.0,90.0,800.0,180.0,true,2000.0,GENERAL PURP,Both,0.0,0,null,null,DJERBA -FGTW-PRT,BG FGTW berth general purpose,-999.0,99999.0,true,DJERBA -FGTW-PRT,M,false,
DUBAI -FMAZ-PRT:DUBAYY -FMAZ-PRT:FMAZVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,DUBAYY -FMAZ-PRT,FMAZVISA      01,0.0,99999.0,true,,M,false,
DURBAN -FNLD-PRT:FNLDGENERAL PU01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,GENERAL PURP,BOTH,0.0,0,null,null,DURBAN -FNLD-PRT,FNLDGENERAL PU01,0.0,99999.0,true,,M,false,
DUTCH HARBOR -FNSH-PRT:DUTCH HARBOR -FNSH-CTY:FNSHVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,DUTCH HARBOR -FNSH-CTY,FNSHVISA      01,0.0,99999.0,true,,M,false,
EARLE NWS -FQZF-PRT:EARLE NWS -FQZF-NYI:all-purpose berth-FQZF Terminal-19855,30,5000.0,50.0,70.0,800.0,120.0,true,2000.0,ALL-PURPOSE,Both,0.0,0,null,null,EARLE NWS -FQZF-NYI,berth group-FQZF Terminal-19854,-999.0,99999.0,true,EARLE NWS -FQZF-NYI,M,false,
ELIZABETH -FVMT-PRT:FVMTBBULK/RORO01,134217727,1374.0,,35.0,,,true,,BBULK/RORO,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTBBULK/RORO01,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTBBULK/RORO02,134217727,1183.0,,38.0,,,true,,BBULK/RORO,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTBBULK/RORO02,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU01,134217727,2500.0,,40.0,,,true,,GENERAL PURP,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTGENERAL PU01,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU02,134217727,2019.0,,38.0,,,true,,GENERAL PURP,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTGENERAL PU02,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU03,134217727,2532.0,,38.0,,,true,,GENERAL PURP,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTGENERAL PU03,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU04,134217727,1000.0,,35.0,,,true,,GENERAL PURP,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTGENERAL PU04,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU05,134217727,2200.0,,35.0,,,true,,GENERAL PURP,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTGENERAL PU05,0.0,,false,,,false,
ELIZABETH -FVMT-PRT:FVMTGENERAL PU06,134217727,2560.0,,35.0,,,true,,GENERAL PURP,BOTH,,,null,null,ELIZABETH -FVMT-PRT,FVMTGENERAL PU06,0.0,,false,,,false,
FELIXSTOWE -GPEN-PRT:GPENVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,FELIXSTOWE -GPEN-PRT,GPENVISA      01,0.0,99999.0,true,,M,false,
FOS -GWZP-PRT:FOS-SUR-MER -GWZP-PRT:GWZPVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,FOS-SUR-MER -GWZP-PRT,GWZPVISA      01,0.0,99999.0,true,,M,false,
FREEPORT -HAGC-PRT:HAGCVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,FREEPORT -HAGC-PRT,HAGCVISA      01,0.0,99999.0,true,,M,false,
FUJAIRAH -HMGB-PRT:FUJAIRA -HMGB-PRT:HMGBVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,FUJAIRA -HMGB-PRT,HMGBVISA      01,0.0,99999.0,true,,M,false,
GABES -HNTS-PRT:Gabes berth1,7,4000.0,50.0,44.0,800.0,180.0,true,2000.0,GENERAL PURP,Both,0.0,0,null,null,GABES -HNTS-PRT,BG Gabes berth1,-999.0,99999.0,true,GABES -HNTS-PRT,M,false,
GABES -HNTS-PRT:Gabes berth2,13,4000.0,50.0,90.0,800.0,180.0,true,2000.0,GENERAL PURP,Both,0.0,0,null,null,GABES -HNTS-PRT,BG Gabes berth2,-999.0,99999.0,true,GABES -HNTS-PRT,M,false,
GABES -HNTS-PRT:Gabes tanker berth,14,1000.0,50.0,44.0,800.0,180.0,true,450.0,TANKER,Both,0.0,2,null,null,GABES -HNTS-PRT,BG Gabes tanker berth,-999.0,99999.0,true,GABES -HNTS-PRT,M,false,
GENOVA -HUPR-PRT:GENOA -HUPR-PRT:HUPRVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,GENOA -HUPR-PRT,HUPRVISA      01,0.0,99999.0,true,,M,false,
GRAVESEND -JJRP-PRT:JJRPVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,GRAVESEND -JJRP-PRT,JJRPVISA      01,0.0,99999.0,true,,M,false,
GUAM PORT -JSSN-RRL:JSSNVISA      01,134217727,9999.0,50.0,99.0,800.0,60.0,true,2000.0,VISA,BOTH,0.0,0,null,null,GUAM PORT -JSSN-RRL,JSSNVISA      01,0.0,99999.0,true,,M,false,
