KEY,SHAPE_ROW,CountryStateCode,Latitude,Longitude
AVPN intersection,8129,,47.68330001831055,-122.75
AVPR intersection,7970,,47.79999923706055,-122.5999984741211
AVPV intersection,8145,,47.79999923706055,-122.5999984741211
AVTB intersection,8046,TN,37.28333282470703,9.883333206176758
AVXS intersection,6799,,21.300600051879883,-158.10000610351562
AVXU intersection,6733,,21.299999237060547,-158.0666961669922
AVXV intersection,6872,,21.309722900390625,-158.07305908203125
AVXW intersection,7807,,21.299999237060547,-158.0666961669922
AWUB intersection,7005,,32.50166702270508,-93.6624984741211
AXQD intersection,6956,,42.157798767089844,-72.71610260009766
AYDE intersection,8003,,34.900001525878906,-117.0
AYDK intersection,7743,,34.900001525878906,-117.0
AYER intersection,8099,DE,46.57609939575195,-118.37860107421875
AYSX intersection,6964,,30.68829917907715,-88.24079895019531
AYYX intersection,7606,,30.41670036315918,-91.05000305175781
AYYY intersection,8104,,30.450000762939453,-91.0999984741211
AYZZ intersection,7604,,42.31669998168945,-85.18329620361328
AZJH intersection,7585,,43.599998474121094,-83.86669921875
AZTE intersection,8204,,40.650001525878906,-74.13330078125
AZTG intersection,8111,,40.68333435058594,-74.0999984741211
BACA intersection,6743,,35.379398345947266,-108.04080200195312
BAEY intersection,7072,,39.136112213134766,-121.44444274902344
BASD intersection,7833,,39.13330078125,-121.43329620361328
BBGP intersection,8055,,34.71670150756836,-76.66670227050781
BBJM intersection,7015,,32.47722244262695,-80.72333526611328
BBJS intersection,7713,,32.43669891357422,-80.66829681396484
BBNR intersection,7243,,30.08329963684082,-94.11669921875
BBNV intersection,8053,,30.08333396911621,-94.08333587646484
BCDZ intersection,7218,,40.75,-80.31670379638672
BDQZ intersection,7173,,34.650001525878906,-106.7833023071289
BEGS intersection,7151,,29.854999542236328,-89.98829650878906
BELL intersection,7137,,33.98030090332031,-118.20030212402344
BFHX intersection,6878,,48.7963981628418,-122.53720092773438
BFMV intersection,6756,,21.366100311279297,-157.7194061279297
BJHZ intersection,7019,,30.19472312927246,-97.67666625976562
BKTZ intersection,6947,,36.13059997558594,-86.681396484375
BLMR intersection,7484,,33.400001525878906,-86.7667007446289
BMGM intersection,7723,,38.98500061035156,-77.0916976928711
BPRE intersection,7635,,36.83330154418945,-82.7833023071289
BPWZ intersection,7103,,31.849445343017578,-106.37944793701172
BQKY intersection,7590,,45.78329849243164,-108.5
BQUG intersection,7602,,42.099998474121094,-75.91670227050781
BQWK intersection,6747,DZ,34.752777099609375,8.076666831970215
BRAE intersection,7729,,47.594398498535156,-122.69029998779297
BRKM intersection,7547,,33.516700744628906,-86.81670379638672
BRKR intersection,6955,,33.567222595214844,-86.74861145019531
BSEH intersection,7226,,46.83330154418945,-100.80000305175781
BSEM intersection,6912,,46.77690124511719,-100.7510986328125
BSRK intersection,7198,TN,36.849998474121094,10.233333587646484
BSRL intersection,8047,TN,37.28333282470703,9.899999618530273
BSRR intersection,6873,TN,37.247501373291016,9.79222297668457
BTHP intersection,7257,,37.08330154418945,-77.94999694824219
BUWC intersection,7129,,40.483299255371094,-88.9832992553711
BVGM intersection,6765,,39.25,-84.38330078125
BVJS intersection,7806,,37.70000076293945,-84.2166976928711
BWBU intersection,6811,,38.03969955444336,-84.60220336914062
BWKR intersection,7033,,35.964168548583984,-89.94583129882812
BXRH intersection,6935,,43.56529998779297,-116.2249984741211
BXRM intersection,7385,,43.63330078125,-116.16670227050781
BXUR intersection,7042,,38.845001220703125,-77.01527404785156
CAAP intersection,7099,,33.295799255371094,-117.36250305175781
CAAY intersection,7098,,28.467199325561523,-80.56670379638672
CAMD intersection,7630,,42.349998474121094,-71.06670379638672
CAMK intersection,8201,,42.36669921875,-71.0
CEKT intersection,6904,,41.9375,-72.68309783935547
CFGM intersection,7138,,32.266700744628906,-89.9832992553711
CHBA intersection,7712,,34.90639877319336,-76.9000015258789
CHBM intersection,7777,,32.79999923706055,-79.94999694824219
CHEV intersection,8148,,47.56669998168945,-122.6500015258789
CHEX intersection,8052,,47.56669998168945,-122.6500015258789
CHJY intersection,7212,,30.149999618530273,-96.4000015258789
CHSY intersection,7225,,35.266700744628906,-82.75
CJJY intersection,7296,,38.78329849243164,-90.4666976928711
CKMQ intersection,8076,,40.099998474121094,-74.86669921875
CLAG intersection,6741,,64.44670104980469,-147.5653076171875
CLCH intersection,7376,,42.099998474121094,-71.0167007446289
CLLH intersection,7367,,36.06669998168945,-95.80000305175781
CLXR intersection,7344,,40.83330154418945,-73.86669921875
CMHF intersection,7343,,44.31669998168945,-96.7833023071289
CMMC intersection,7334,,40.66669845581055,-73.9666976928711
CMXJ intersection,8168,,40.71189880371094,-73.96939849853516
CMZJ intersection,7439,,41.400001525878906,-81.81670379638672
CNBC intersection,7052,,29.346399307250977,-98.43190002441406
CNRA intersection,7452,,30.13330078125,-93.2166976928711
CPBE intersection,7728,,27.68779945373535,-97.26640319824219
CPJF intersection,7511,,40.016700744628906,-79.9000015258789
CPNF intersection,7517,,25.91670036315918,-97.5
CQJP intersection,7480,,31.149999618530273,-81.5
CQLW intersection,7062,,43.892799377441406,-69.93920135498047
CRWU intersection,7093,,39.709999084472656,-104.75749969482422
CSEM intersection,7537,,38.20000076293945,-85.63330078125
CSHW intersection,7792,,42.86669921875,-78.86669921875
CSJF intersection,7531,,45.16669845581055,-93.83329772949219
CSKQ intersection,7523,,42.88330078125,-78.88330078125
CTCN intersection,6751,,38.7578010559082,-104.30780029296875
CTGB intersection,7767,,40.65999984741211,-86.1417007446289
CTGC intersection,7106,,40.64805603027344,-86.1522216796875
CURZ intersection,6890,,44.472801208496094,-73.1532974243164
CVLD intersection,7150,,40.849998474121094,-79.9000015258789
CVLK intersection,7147,,36.13330078125,-78.7667007446289
CVPF intersection,6984,,38.685298919677734,-104.76439666748047
