Airport,Day,Enabled,Description,EventPhase
YAQF,0,true,,
YEQW,0,true,,
YFXQ,0,true,,
YMGC,0,true,,
YMXZ,0,true,,
YRLZ,0,true,,
YTPM,0,true,,
YUAC,0,true,,
YVEW,0,true,,
YVGQ,0,true,,
YVPG,0,true,,
YWHG,0,true,,
YXKB,0,true,,
YZEU,0,true,,
YZJU,0,true,,
ZAWN,0,true,,
ZFKN,0,true,,
ZHAH,0,true,,
ZHTV,0,true,,
ZJXD,0,true,,
ZLJP,0,true,,
ZNRE,0,true,,
ZQEL,0,true,,
ZRCE,0,true,,
ZRUZ,0,true,,
ZRVL,0,true,,
