Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
CRWU,STRATEGIC,KC-10,0,true,,,9999
CTCN,STRATEGIC,B-747P,0,true,,,9999
CTCN,STRATEGIC,C-17,0,true,,,9999
CTCN,STRATEGIC,C-5A,0,true,,,9999
CTCN,STRATEGIC,CH47,0,true,,,0
CTCN,STRATEGIC,KC-10,0,true,,,9999
CTGC,STRATEGIC,B-747P,0,true,,,0
CTGC,STRATEGIC,C-17,0,true,,,0
CTGC,STRATEGIC,C-5A,0,true,,,0
CTGC,STRATEGIC,CH47,0,true,,,0
CTGC,STRATEGIC,KC-10,0,true,,,0
CURZ,STRATEGIC,B-747P,0,true,,,9999
CURZ,STRATEGIC,C-17,0,true,,,9999
CURZ,STRATEGIC,C-5A,0,true,,,9999
CURZ,STRATEGIC,CH47,0,true,,,0
CURZ,STRATEGIC,KC-10,0,true,,,9999
CVPF,STRATEGIC,B-747P,0,true,,,9999
CVPF,STRATEGIC,C-17,0,true,,,9999
CVPF,STRATEGIC,C-5A,0,true,,,9999
CVPF,STRATEGIC,CH47,0,true,,,0
CVPF,STRATEGIC,KC-10,0,true,,,9999
CVVM,STRATEGIC,B-747P,0,true,,,9999
CVVM,STRATEGIC,C-17,0,true,,,9999
CVVM,STRATEGIC,C-5A,0,true,,,9999
CVVM,STRATEGIC,CH47,0,true,,,0
CVVM,STRATEGIC,KC-10,0,true,,,9999
CWKW,STRATEGIC,B-747P,0,true,,,0
CWKW,STRATEGIC,C-17,0,true,,,0
CWKW,STRATEGIC,C-5A,0,true,,,0
CWKW,STRATEGIC,CH47,0,true,,,0
CWKW,STRATEGIC,KC-10,0,true,,,0
CYWF,STRATEGIC,B-747P,0,true,,,0
CYWF,STRATEGIC,C-17,0,true,,,0
CYWF,STRATEGIC,C-5A,0,true,,,0
CYWF,STRATEGIC,CH47,0,true,,,0
CYWF,STRATEGIC,KC-10,0,true,,,0
CZQZ,STRATEGIC,B-747P,0,true,,,0
CZQZ,STRATEGIC,C-17,0,true,,,0
CZQZ,STRATEGIC,C-5A,0,true,,,0
CZQZ,STRATEGIC,CH47,0,true,,,0
CZQZ,STRATEGIC,KC-10,0,true,,,0
DCFT,STRATEGIC,B-747P,0,true,,,9999
DCFT,STRATEGIC,C-17,0,true,,,9999
DCFT,STRATEGIC,C-5A,0,true,,,9999
