Airport,Day,Enabled,Description,EventPhase,B-747P,C-17,C-5A,CH47,KC-10
DPEZ,0,true,,,NO,NO,NO,NO,NO
DPMZ,0,true,,,NO,NO,NO,NO,NO
DPNB,0,true,,,NO,NO,NO,NO,NO
DTVB,0,true,,,NO,NO,NO,NO,NO
DVLK,0,true,,,NO,NO,NO,NO,NO
DYCS,0,true,,,NO,NO,NO,NO,NO
EAZP,0,true,,,NO,NO,NO,NO,NO
EDWC,0,true,,,NO,NO,NO,NO,NO
EEMW,0,true,,,NO,NO,NO,NO,NO
EEPZ,0,true,,,NO,NO,NO,NO,NO
ENCK,0,true,,,NO,NO,NO,NO,NO
EQDF,0,true,,,NO,NO,NO,NO,NO
ETZB,0,true,,,NO,NO,NO,NO,NO
EUBC,0,true,,,NO,NO,NO,NO,NO
EYBD,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
EZSE,0,true,,,NO,NO,NO,NO,NO
EZTH,0,true,,,NO,NO,NO,NO,NO
FAKZ,0,true,,,NO,NO,NO,NO,NO
FAXN,0,true,,,NO,NO,NO,NO,NO
FBMV,0,true,,,NO,NO,NO,NO,NO
FBNV,0,true,,,NO,NO,NO,NO,NO
FERX,0,true,,,NO,NO,NO,NO,NO
FFAR,0,true,,,NO,NO,NO,NO,NO
FGDC,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
FGTZ,0,true,,,NO,NO,NO,NO,NO
FGWB,0,true,,,NO,NO,NO,NO,NO
FJMK,0,true,,,NO,NO,NO,NO,NO
FJRP,0,true,,,NO,NO,NO,NO,NO
FJXT,0,true,,,NO,NO,NO,NO,NO
FKNN,0,true,,,NO,NO,NO,NO,NO
FMJN,0,true,,,NO,NO,NO,NO,NO
FMLH,0,true,,,NO,NO,NO,NO,NO
FNWZ,0,true,,,NO,NO,NO,NO,NO
FPAA,0,true,,,NO,NO,NO,NO,NO
FSJA,0,true,,,NO,NO,NO,NO,NO
FSPM,0,true,,,NO,NO,NO,NO,NO
FTEP,0,true,,,NO,NO,NO,NO,NO
FTEV,0,true,,,NO,NO,NO,NO,NO
FTFA,0,true,,,NO,NO,NO,NO,NO
FTQW,0,true,,,NO,NO,NO,NO,NO
FTZH,0,true,,,NO,NO,NO,NO,NO
FUQN,0,true,,,NO,NO,NO,NO,NO
FUTL,0,true,,,NO,NO,NO,NO,NO
FUZD,0,true,,,NO,NO,NO,NO,NO
FWJH,0,true,,,NO,NO,NO,NO,NO
FXBM,0,true,,,NO,NO,NO,NO,NO
FXSB,0,true,,,NO,NO,NO,NO,NO
GAMH,0,true,,,NO,NO,NO,NO,NO
GEQZ,0,true,,,NO,NO,NO,NO,NO
GHLN,0,true,,,NO,NO,NO,NO,NO
GJFZ,0,true,,,NO,NO,NO,NO,NO
GJKZ,0,true,,,NO,NO,NO,NO,NO
GKVB,0,true,,,NO,NO,NO,NO,NO
GLEN,0,true,,,NO,NO,NO,NO,NO
GLRZ,0,true,,,NO,NO,NO,NO,NO
GPGK,0,true,,,NO,NO,NO,NO,NO
GRAQ,0,true,,,NO,NO,NO,NO,NO
GUQE,0,true,,,NO,NO,NO,NO,NO
GWAW,0,true,,,NO,NO,NO,NO,NO
GWDD,0,true,,,NO,NO,NO,NO,NO
GYRZ,0,true,,,NO,NO,NO,NO,NO
HAWR,0,true,,,NO,NO,NO,NO,NO
HAYW,0,true,,,NO,NO,NO,NO,NO
HBFB,0,true,,,NO,NO,NO,NO,NO
HFZY,0,true,,,NO,NO,NO,NO,NO
HGQC,0,true,,,NO,NO,NO,NO,NO
HKRZ,0,true,,,NO,NO,NO,NO,NO
HNTK,0,true,,,NO,NO,NO,NO,NO
HPBF,0,true,,,NO,NO,NO,NO,NO
HSKD,0,true,,,NO,NO,NO,NO,NO
HTUV,0,true,,,NO,NO,NO,NO,NO
HTUX,0,true,,,NO,NO,NO,NO,NO
HUUA,0,true,,,NO,NO,NO,NO,NO
HXCZ,0,true,,,NO,NO,NO,NO,NO
JAFZ,0,true,,,NO,NO,NO,NO,NO
JBUU,0,true,,,NO,NO,NO,NO,NO
