Airport,Day,Enabled,Description,EventPhase,ACType,WorkingMOG,ParkingMOG,HotCargoStatus,Ramp,MOGEquivalent,HoursHome,HoursUpload,HoursEnroute,HoursDownload,HoursRecovery
ARNW,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ASCE,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ASCE,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ASCE,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
ASCE,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ASHE,0,true,,,B-747P,9,9,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ASHE,0,true,,,C-17,9,9,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ASHE,0,true,,,C-5A,9,9,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
ASHE,0,true,,,KC-10,9,9,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ASPQ,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ASPQ,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ASPQ,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
ASPQ,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ATQZ,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ATQZ,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ATQZ,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
ATQZ,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ATXK,0,true,,,B-747P,10,10,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ATXK,0,true,,,C-17,10,10,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ATXK,0,true,,,C-5A,10,10,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
ATXK,0,true,,,KC-10,10,10,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AVXS,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AVXS,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AVXS,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AVXS,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AVXU,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AVXU,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AVXU,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AVXU,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AVXV,0,true,,,B-747P,10,10,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AVXV,0,true,,,C-17,10,10,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AVXV,0,true,,,C-5A,10,10,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AVXV,0,true,,,KC-10,10,10,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AWUB,0,true,,,B-747P,10,10,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AWUB,0,true,,,C-17,10,10,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AWUB,0,true,,,C-5A,10,10,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AWUB,0,true,,,KC-10,10,10,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AXQD,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AXQD,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AXQD,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AXQD,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AYSX,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AYSX,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AYSX,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AYSX,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
