Key,Day,Enabled,Description,EventPhase,DayIndex,ShiftIndex,OpenHH,OpenMM,CloseHH,CloseMM
YMXZ,0,true,,,0,0,0,0,24,0
YRLZ,0,true,,,0,0,0,0,24,0
YTPM,0,true,,,0,0,0,0,24,0
YUAC,0,true,,,0,0,0,0,24,0
YVEW,0,true,,,0,0,0,0,24,0
YVGQ,0,true,,,0,0,0,0,24,0
YVPG,0,true,,,0,0,0,0,24,0
YWHG,0,true,,,0,0,0,0,24,0
YXKB,0,true,,,0,0,0,0,24,0
YZEU,0,true,,,0,0,0,0,24,0
YZJU,0,true,,,0,0,0,0,24,0
ZAWN,0,true,,,0,0,0,0,24,0
ZFKN,0,true,,,0,0,0,0,24,0
ZHAH,0,true,,,0,0,0,0,24,0
ZHTV,0,true,,,0,0,0,0,24,0
ZJXD,0,true,,,0,0,0,0,24,0
ZLJP,0,true,,,0,0,0,0,24,0
ZNRE,0,true,,,0,0,0,0,24,0
ZQEL,0,true,,,0,0,0,0,24,0
ZRCE,0,true,,,0,0,0,0,24,0
ZRUZ,0,true,,,0,0,0,0,24,0
ZRVL,0,true,,,0,0,0,0,24,0
