block_id,ordering,carry_config,transport_means,distance_permission_type,distance,start_time,end_time
51,0,ALL,50BOX,ANY_DISTANCE,,,
51,1,ALL,60BOX,ANY_DISTANCE,,,
51,2,ALL,commercial boxcar,ANY_DISTANCE,,,
52,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
53,0,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
53,1,ALL,M1074 PLS,ANY_DISTANCE,,,
53,2,ALL,M1075 PLS,ANY_DISTANCE,,,
53,3,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
53,4,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
53,5,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
53,6,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
53,7,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
53,8,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
53,9,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
53,10,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
54,0,ALL,50BOX,ANY_DISTANCE,,,
54,1,ALL,60BOX,ANY_DISTANCE,,,
54,2,ALL,commercial boxcar,ANY_DISTANCE,,,
55,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
56,0,ALL,Pipeline (SELF),ANY_DISTANCE,,,
57,0,ALL,Commercial POL Truck,ANY_DISTANCE,,,
57,1,ALL,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
57,2,ALL,M1088 WWN MTV Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
57,3,ALL,M818 5-Ton Tractor/M969 5000-Gal Tanker,ANY_DISTANCE,,,
57,4,ALL,M818 5-Ton Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
57,5,ALL,M915A2 25-Ton Tractor/M1062 7500-Gal Tanker,ANY_DISTANCE,,,
57,6,ALL,M916 20-Ton Tractor/M969 5000-Gal Tanker,ANY_DISTANCE,,,
57,7,ALL,M916 20-Ton Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
58,0,ALL,6000 Gal POL Rail Car,ANY_DISTANCE,,,
58,1,ALL,commercial POL railcar,ANY_DISTANCE,,,
59,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
60,0,ALL,M1074 PLS,ANY_DISTANCE,,,
60,1,ALL,M1075 PLS,ANY_DISTANCE,,,
60,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
60,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
60,4,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
60,5,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
60,6,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
60,7,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
60,8,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
60,9,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
60,10,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
61,0,ALL,50FLAT,ANY_DISTANCE,,,
61,1,ALL,68FLAT,ANY_DISTANCE,,,
61,2,ALL,75FLAT,ANY_DISTANCE,,,
61,3,ALL,89FLAT,ANY_DISTANCE,,,
61,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
62,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
63,0,ALL,M1074 PLS,ANY_DISTANCE,,,
63,1,ALL,M1075 PLS,ANY_DISTANCE,,,
63,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
63,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
63,4,ALL,M35 2.5-Ton,ANY_DISTANCE,,,
63,5,ALL,M36 2.5-Ton,ANY_DISTANCE,,,
63,6,ALL,M813 5-Ton,ANY_DISTANCE,,,
63,7,ALL,M814 5-Ton,ANY_DISTANCE,,,
63,8,ALL,M923 5-Ton,ANY_DISTANCE,,,
63,9,ALL,M924 5-Ton,ANY_DISTANCE,,,
63,10,ALL,M925 5-Ton,ANY_DISTANCE,,,
63,11,ALL,M926 5-Ton,ANY_DISTANCE,,,
63,12,ALL,M928 5-Ton,ANY_DISTANCE,,,
63,13,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
63,14,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
63,15,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
64,0,ALL,50BOX,ANY_DISTANCE,,,
64,1,ALL,60BOX,ANY_DISTANCE,,,
64,2,ALL,commercial medium railcar,ANY_DISTANCE,,,
64,3,ALL,commercial boxcar,ANY_DISTANCE,,,
65,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
66,0,ALL,M1074 PLS,ANY_DISTANCE,,,
66,1,ALL,M1075 PLS,ANY_DISTANCE,,,
66,2,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,3,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,4,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
