RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
0EBQC,A,7,"ENGR CBT BN, CORPS",,,48AAT,P,,21353,,,,,0,0,BN,0,,,,Y,,,false,false,,,,05035H500
0EBQP,A,7,"ENGR CBT BN, CORPS",,,48AAT,C,,21353,,,,,784,0,BN,784,,,,Y,,,false,false,,,,05035H500
0EBRC,A,7,"ENGR CBT BN, CORPS",,,48AAT,P,,21353,,,,,0,0,BN,0,,,,Y,,,false,false,,,,05035H500
0EBRP,A,7,"ENGR CBT BN, CORPS",,,48AAT,N,,21353,,,,,739,0,BN,791,,,,Y,,,false,false,,,,
0EGBC,A,7,"ENGR CO, LIGHT EQUIP, ABN",,,4M222,P,,,,,,,0,0,CO,0,,,,Y,,,false,false,,,,05443L100
0EGBP,A,7,"ENGR CO, LIGHT EQUIP, ABN",,,4M222,C,,,,,,,176,0,CO,176,,,,Y,,,false,false,,,,05443L100
0HBGC,A,7,TRANS MED WATERCRAFT CO,,,UKBNN,P,,,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55828L000
0HBGP,A,7,TRANS MED WATERCRAFT CO,,,UKBNN,N,,,,,,,24,0,CO,173,,,,Y,,,true,false,,,,
0HBH,A,7,TRANS HEAVY WATERCRAFT CO,,,UMBNN,N,,,,,,,30,0,CO,155,,,,Y,,,true,false,,,,
0HBL,A,7,TRANS MED WATERCRAFT CO,,,UKBNN,N,,,,,,,0,0,CO,0,,,,Y,,,true,false,,,,
0HEDC,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,P,,35690,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55727L100
0HEDP,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,C,,35690,,,,,169,0,CO,169,,,,Y,,,false,false,,,,55727L100
